model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
cl-tohoku/bert-large-japanese-v2,jsnli,5e-05,512.0,0.0,64.0,83.97232681716915,82.63394218851198,82.97807551426276,79.4414652079912,81.68449430358865,5
nlp-waseda/roberta-large-japanese,jsnli,1e-05,128.0,0.0,512.0,84.41913697089385,83.07961287245197,82.62955852470286,79.28357916505534,81.6642501874034,5
nlp-waseda/roberta-large-japanese,nu-snli+mnli,5e-05,512.0,0.0,64.0,83.76618540574029,82.71940102481622,82.83438281775246,79.42237739981071,81.65872041412646,5
nlp-waseda/roberta-large-japanese,nu-snli,3e-05,256.0,0.0,179.2,84.52812109180289,83.20813385880894,82.34373290226542,78.90298908004516,81.48495194703983,5
studio-ousia/luke-japanese-large-lite,nu-snli,1e-05,512.0,0.0,211.2,83.63813300089257,82.56895304724169,82.44813817395533,79.298963406351,81.43868487584935,5
cl-tohoku/bert-large-japanese-v2,nu-snli+mnli,3e-05,512.0,0.0,64.0,82.44081368086327,81.87191480398316,82.81401263201916,79.59188461778645,81.42593735126292,5
cl-tohoku/bert-large-japanese-v2,nu-snli,3e-05,512.0,0.0,96.0,83.6248392207995,82.49231343742863,82.33505302482402,79.19598182244998,81.34111609490087,5
studio-ousia/luke-japanese-large-lite,jsnli,5e-05,512.0,0.0,96.0,83.82292072818441,82.50437739773672,82.23872135680573,78.94157613318848,81.22822496257697,5
studio-ousia/luke-japanese-large-lite,nu-snli+mnli,3e-05,512.0,0.0,64.0,81.79939868692108,80.9624489710206,82.5421326662383,78.69695079128425,80.73384414284772,5
nlp-waseda/roberta-large-japanese,nu-mnli,1e-05,512.0,0.0,96.0,82.61010387471087,82.17715813771295,82.01049829085959,77.9440182487063,80.71055822575961,5
cl-tohoku/bert-base-japanese-v2,jsnli,1e-05,256.0,1.0,601.6,84.19696402979693,83.39329380841399,80.69777496961376,77.03305179332934,80.37470685711902,5
cl-tohoku/bert-large-japanese-char-v2,jsnli,1e-05,256.0,0.0,256.0,83.63301664694235,82.14229343526745,80.87507247551268,77.97402952063295,80.33046514380436,5
cl-tohoku/bert-base-japanese-v2,nu-snli+mnli,1e-05,512.0,0.0,262.4,83.06701612404729,82.3167927130805,80.90320088949557,77.73488606477324,80.31829322244977,5
cl-tohoku/bert-base-japanese-v3,jsnli,5e-05,512.0,0.0,96.0,83.6046361895364,82.65848311641712,80.70156730599925,77.33780083975984,80.23261708739206,5
ku-nlp/roberta-large-japanese-char-wwm,jsnli,1e-05,256.0,0.0,281.6,83.29730454769306,81.86761107687903,80.90360893212547,77.53795399049076,80.10305799983175,5
cl-tohoku/bert-large-japanese-v2,nu-mnli,5e-05,128.0,0.2,716.8,75.65329165661092,75.3920364546158,83.53296057476737,81.12819244925707,80.01772982621341,5
studio-ousia/mluke-large-lite,jsnli,1e-05,128.0,0.0,768.0,84.01869165108285,82.33533065724933,80.0102686684636,77.69007478312236,80.01189136961177,5
cl-tohoku/bert-large-japanese-char-v2,nu-snli,3e-05,512.0,0.0,102.4,83.27566671456512,82.05012608584309,80.30035262521935,77.65538368712586,80.00195413272942,5
ku-nlp/roberta-large-japanese-char-wwm,nu-snli,1e-05,256.0,0.0,243.2,82.95787430333384,81.51771154610596,80.73680951366549,77.71753604558033,79.99068570178393,5
cl-tohoku/bert-base-japanese-v3,nu-snli+mnli,5e-05,512.0,0.0,64.0,82.14641707656052,81.67853444514938,80.41158879455251,77.6811306849457,79.92375130821587,5
studio-ousia/mluke-large-lite,nu-snli,1e-05,512.0,0.8,320.0,84.20267261973655,82.59760274944995,79.7761047887444,77.17079772480993,79.84816842100142,5
nlp-waseda/roberta-large-japanese,janli,5e-05,64.0,2.0,256.0,84.40595911830535,83.58339933617472,80.61937974525662,75.30150988552434,79.83476298898522,5
cl-tohoku/bert-large-japanese,jsnli,5e-05,512.0,0.0,96.0,83.69547339550806,82.53849521977483,80.09069375268452,76.49300376566912,79.70739757937615,5
studio-ousia/mluke-large-lite,nu-snli+mnli,1e-05,512.0,0.0,230.4,82.63108950318247,81.39001793407975,80.01222390482937,77.59232835606691,79.66485673165866,5
xlm-roberta-large,jsnli,1e-05,512.0,1.4,576.0,83.58792416114508,82.04008485088664,79.91194656508365,76.62893656983962,79.5269893286033,5
cl-tohoku/bert-base-japanese-whole-word-masking,nu-snli+mnli,3e-05,512.0,0.0,243.2,81.05889382903588,80.59584472311367,80.28021526859584,77.6828520797346,79.51963735714803,5
ku-nlp/roberta-large-japanese-char-wwm,nu-snli+mnli,3e-05,512.0,0.0,89.6,80.68257729826169,79.7935174670394,80.84772004895986,77.79126203382299,79.47749984994076,5
cl-tohoku/bert-large-japanese-char-v2,nu-snli+mnli,1e-05,512.0,0.0,102.4,81.67075154172771,80.7954441054106,79.96236178058345,77.48185644672631,79.41322077757346,5
cl-tohoku/bert-large-japanese,nu-snli+mnli,3e-05,512.0,0.0,70.4,82.10091671318972,81.65357028073677,79.24289201414665,77.04586536745656,79.31410922078,5
nlp-waseda/roberta-base-japanese,nu-snli,3e-05,512.0,0.0,192.0,82.4393550211582,81.85842034015033,79.55948080920632,76.28767788214306,79.2351930104999,5
cl-tohoku/bert-base-japanese-v3,nu-snli,1e-05,512.0,0.0,198.4,83.23341654784709,82.42544543369107,79.04035980383426,76.18096441057548,79.21558988270027,5
xlm-roberta-large,nu-snli+mnli,1e-05,512.0,0.2,428.8,81.98953130861385,80.74275569902895,79.89684677131916,77.00484797727333,79.21481681587382,5
