model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
bert-base-multilingual-cased,janli,1e-05,64.0,8.2,921.6,80.65052217497036,80.81449690395375,72.06113693036767,66.88058909405918,73.2520743094602,5
bert-base-multilingual-cased,janli,3e-05,64.0,4.0,512.0,80.60974251918091,80.8373107518621,71.96163904494676,66.69678923795853,73.16524634492247,5
bert-base-multilingual-cased,janli,5e-05,64.0,3.8,460.8,80.12305149767198,80.22783385806756,71.59251400750144,66.5597359921755,72.79336128591483,5
bert-base-multilingual-cased,janli,1e-05,128.0,7.8,435.2,80.3906411796292,80.72095504613002,71.67620134095287,66.5870373697542,72.99473125227902,5
bert-base-multilingual-cased,janli,3e-05,128.0,4.0,256.0,80.45512245494294,80.70944395393141,71.63307885464943,66.45662069256267,72.9330478337145,5
bert-base-multilingual-cased,janli,5e-05,128.0,3.6,230.4,80.19845518904904,80.43276910616262,71.12062123011614,66.10381874218486,72.55240302615455,5
bert-base-multilingual-cased,janli,1e-05,256.0,9.6,268.8,80.47185194614545,80.71198883693134,71.70620301992817,66.60493811120459,73.0077099893547,5
bert-base-multilingual-cased,janli,3e-05,256.0,4.0,128.0,80.26996286837453,80.61581433750254,71.0918602734383,66.1275911540524,72.61175525499775,5
bert-base-multilingual-cased,janli,5e-05,256.0,4.0,128.0,80.62884775715017,80.91216638097053,71.33594430588184,66.29881030108652,72.8489736626463,5
bert-base-multilingual-cased,janli,1e-05,512.0,12.0,160.0,80.37606556003892,80.719361704482,71.38197744957856,66.3309554981389,72.8107648840665,5
bert-base-multilingual-cased,janli,3e-05,512.0,7.0,96.0,80.56084341347653,80.8394663202063,71.24845398037391,66.27547437324161,72.78779822460727,5
bert-base-multilingual-cased,janli,5e-05,512.0,5.8,83.2,80.35686199349234,80.6645529316526,71.11153619263206,66.13711751450799,72.63773554626421,5
cl-tohoku/bert-base-japanese,janli,1e-05,64.0,7.4,819.2,80.04275755811061,79.93968206050279,73.29334382786338,69.33861193064024,74.1905459396688,5
cl-tohoku/bert-base-japanese,janli,3e-05,64.0,4.0,512.0,80.1247931699871,80.10196391194779,73.56308806197524,69.4915149946009,74.38552232284131,5
cl-tohoku/bert-base-japanese,janli,5e-05,64.0,2.0,256.0,79.92944437094033,79.73960321932421,73.09653875522197,68.98374742709335,73.93996313387984,5
cl-tohoku/bert-base-japanese,janli,1e-05,128.0,8.2,460.8,80.02679697303128,79.95366741767762,73.2117798236164,69.15177138213623,74.10573954114342,5
cl-tohoku/bert-base-japanese,janli,3e-05,128.0,4.0,256.0,80.10063873781596,79.8984858385918,73.08240405282159,69.15633378332754,74.04574122491364,5
cl-tohoku/bert-base-japanese,janli,5e-05,128.0,3.6,230.4,79.63972271787085,79.52793469024951,73.18546931206171,69.17971995622648,73.96437465284589,5
cl-tohoku/bert-base-japanese,janli,1e-05,256.0,9.6,268.8,79.72898684563945,79.72027505363693,72.76118237656911,68.8717302449646,73.78439589172355,5
cl-tohoku/bert-base-japanese,janli,3e-05,256.0,5.8,166.4,79.75276090457406,79.74715448388125,72.8594663363358,68.8538071654544,73.82014266189049,5
cl-tohoku/bert-base-japanese,janli,5e-05,256.0,4.0,128.0,79.65856027897526,79.61323650295853,72.83446096567602,68.76490017134856,73.73753254666104,5
cl-tohoku/bert-base-japanese,janli,1e-05,512.0,12.4,166.4,79.58315817385399,79.51121145711389,72.70602014687213,68.7389763927004,73.6520693322288,5
