model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
nlp-waseda/roberta-large-japanese,janli,5e-05,64.0,2.0,256.0,84.40595911830535,83.58339933617472,80.61937974525662,75.30150988552434,79.83476298898522,5
studio-ousia/luke-japanese-large-lite,janli,5e-05,512.0,4.0,64.0,81.6807239991801,81.3421811572628,79.4088294524699,74.65818868218935,78.46973309730734,5
cl-tohoku/bert-large-japanese-v2,janli,5e-05,256.0,2.8,89.6,81.1040099162047,80.92489284394571,77.98003916256755,73.41243788723366,77.43912329791564,5
studio-ousia/luke-japanese-base-lite,janli,3e-05,64.0,2.4,307.2,82.30330251005753,81.89742519437536,77.36993480163373,72.18258728987912,77.1499824286294,5
ku-nlp/roberta-large-japanese-char-wwm,janli,1e-05,128.0,4.0,256.0,81.97087893141483,81.27594754282067,77.36023117068464,72.54788201827911,77.06135357726149,5
cl-tohoku/bert-large-japanese-char-v2,janli,3e-05,64.0,3.6,460.8,80.76312397910274,80.19571815390695,77.83780765882912,72.78530672196342,76.93961084489983,5
cl-tohoku/bert-base-japanese-v2,janli,3e-05,64.0,4.0,512.0,82.44506095535387,82.26672145068926,76.4533258827537,70.98950753401014,76.56985162248436,5
studio-ousia/mluke-large-lite,janli,3e-05,64.0,4.6,563.2,81.29921930144481,80.88121161205868,76.49748231287299,71.66315154011711,76.34728182168291,5
cl-tohoku/bert-large-japanese,janli,1e-05,64.0,5.2,614.4,81.46284932717836,81.87906639992863,75.81005887661829,71.27309869296963,76.32074132317219,5
cl-tohoku/bert-base-japanese-v3,janli,5e-05,128.0,2.0,128.0,82.2794751914461,82.1143320250666,75.24036959993026,71.14700538567968,76.16723567022551,5
cl-tohoku/bert-base-japanese-whole-word-masking,janli,3e-05,128.0,4.0,256.0,81.30580827324084,80.99889990203476,75.61884773159636,70.73975205982083,75.78583323115065,5
ku-nlp/deberta-v2-base-japanese,janli,5e-05,64.0,6.4,716.8,78.81307152994,79.13725529551729,76.54490364843376,71.19852208712453,75.6268936770252,5
studio-ousia/mluke-base-lite,janli,3e-05,64.0,4.0,512.0,82.76215030812182,82.14413849626384,74.55097928400478,69.94062224513621,75.54524667513495,5
xlm-roberta-large,janli,1e-05,64.0,40.0,4249.6,80.76186323657089,80.3423505522841,75.3804320318555,70.41064575600811,75.3778094467159,5
ku-nlp/roberta-base-japanese-char-wwm,janli,1e-05,128.0,10.8,588.8,81.03541803796278,80.31857591074368,75.20686584365225,70.17326250419524,75.23290141953039,5
ku-nlp/deberta-v2-large-japanese,janli,5e-05,512.0,15.8,211.2,77.55546400525152,77.05483439910356,76.4118857241718,72.12226997465166,75.19633003264234,5
cl-tohoku/bert-base-japanese,janli,3e-05,64.0,4.0,512.0,80.1247931699871,80.10196391194779,73.56308806197524,69.4915149946009,74.38552232284131,5
cl-tohoku/bert-base-japanese-char-v3,janli,3e-05,64.0,8.6,972.8,77.66433474665253,77.1350891963112,75.06906064263372,69.6721585707998,73.95876946991491,5
cl-tohoku/bert-base-japanese-char-v2,janli,3e-05,64.0,4.0,512.0,80.65413870197418,80.43328041348661,72.59140000150377,68.05432247899016,73.69300096466019,5
bert-base-multilingual-cased,janli,1e-05,64.0,8.2,921.6,80.65052217497036,80.81449690395375,72.06113693036767,66.88058909405918,73.2520743094602,5
cl-tohoku/bert-base-japanese-char,janli,5e-05,512.0,7.0,96.0,79.643663158087,78.71215702882716,71.82462108148783,67.43254446343492,72.65644085791664,5
megagonlabs/roberta-long-japanese,janli,5e-05,256.0,2.0,64.0,78.39786035463203,78.47729848521178,72.21644052408617,66.59970032604856,72.4311464451155,5
nlp-waseda/roberta-base-japanese,janli,5e-05,64.0,5.0,614.4,80.56384406097686,80.707513938116,70.21111439106748,66.2826078107863,72.4004120466566,5
xlm-roberta-base,janli,1e-05,256.0,37.8,998.4,79.20299741482043,78.86664807383593,69.66994845587274,65.11176248359291,71.21611967110053,5
