model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
bert-base-multilingual-cased,nu-mnli,1e-05,64.0,0.6,1740.8,75.10762810146801,75.73953599669741,74.6182868101366,70.79048306913006,73.71610195865469,5
bert-base-multilingual-cased,nu-mnli,3e-05,64.0,0.4,1536.0,76.00481141081085,76.41550099291845,74.43804139166525,70.8751294517578,73.90955727878051,5
bert-base-multilingual-cased,nu-mnli,5e-05,64.0,1.2,3072.0,76.42642151494826,76.45878530279246,75.41465861762963,72.4895402827236,74.78766140104858,5
bert-base-multilingual-cased,nu-mnli,1e-05,128.0,0.4,870.4,76.15306870406191,76.65632922269768,73.94289242042696,70.02239492331746,73.5405388554807,5
bert-base-multilingual-cased,nu-mnli,3e-05,128.0,0.8,1100.8,76.47306283509953,76.80040192586983,76.35353033866352,73.21959842924866,75.457843564594,5
bert-base-multilingual-cased,nu-mnli,5e-05,128.0,0.4,972.8,76.93650381476968,77.19817210737429,75.42237611647965,72.29176452979848,74.97077091788415,5
bert-base-multilingual-cased,nu-mnli,1e-05,256.0,0.2,332.8,76.79695371448449,77.18214168289099,73.90913269794106,69.45402819654515,73.51510085912574,5
bert-base-multilingual-cased,nu-mnli,3e-05,256.0,0.0,153.6,76.80360959298929,77.14896379123559,74.18127715381276,69.84076285212626,73.72366793239154,5
bert-base-multilingual-cased,nu-mnli,5e-05,256.0,0.4,435.2,76.34961096482952,76.41878603805357,75.96414032336902,72.6383136608282,75.00708000741693,5
bert-base-multilingual-cased,nu-mnli,1e-05,512.0,0.0,128.0,77.11897605731058,77.40027238400168,73.29785964783628,68.7870781589389,73.16173673025897,5
bert-base-multilingual-cased,nu-mnli,3e-05,512.0,0.8,358.4,77.11026945620708,77.15327196792659,76.23326361891563,72.80798318342156,75.39817292342126,5
bert-base-multilingual-cased,nu-mnli,5e-05,512.0,0.0,64.0,77.02106428787803,77.27526603663699,73.43532161712605,68.56570163680483,73.09209643018929,5
cl-tohoku/bert-base-japanese,nu-mnli,1e-05,64.0,0.2,972.8,72.60636414758933,72.33526736300287,75.29385658681394,72.24740552828814,73.29217649270166,5
cl-tohoku/bert-base-japanese,nu-mnli,3e-05,64.0,0.2,1075.2,72.761349218775,72.55296763722383,77.07957673255035,74.19379753446448,74.60878063474622,5
cl-tohoku/bert-base-japanese,nu-mnli,5e-05,64.0,0.4,1945.6,73.99620076776804,73.8592880029564,78.9976432726658,76.85820389269296,76.57171172277171,5
cl-tohoku/bert-base-japanese,nu-mnli,1e-05,128.0,0.0,384.0,74.14058256810468,73.78497946952551,75.02382825833187,72.10108346863181,73.63663039882974,5
cl-tohoku/bert-base-japanese,nu-mnli,3e-05,128.0,0.0,128.0,74.54237071882498,73.92034560698978,72.64527930204106,69.34795152710439,71.97119214537841,5
cl-tohoku/bert-base-japanese,nu-mnli,5e-05,128.0,0.0,230.4,74.55523131410109,74.1777573295532,75.48584697434254,72.67137265411915,74.11165898600495,5
cl-tohoku/bert-base-japanese,nu-mnli,1e-05,256.0,0.0,153.6,74.89592796112487,74.28655706984726,73.10336605319381,70.01958400162525,72.46983570822212,5
cl-tohoku/bert-base-japanese,nu-mnli,3e-05,256.0,0.0,128.0,74.82701875197128,74.45129894811615,75.8719467784782,73.24190081422906,74.5217155136078,5
cl-tohoku/bert-base-japanese,nu-mnli,5e-05,256.0,0.0,128.0,75.91433679783596,75.33488266549679,73.66582324307667,70.61807395854888,73.20625995570745,5
cl-tohoku/bert-base-japanese,nu-mnli,1e-05,512.0,0.0,115.2,76.09401661067054,75.54880585892946,73.73575839303018,71.01349402059355,73.43268609085105,5
cl-tohoku/bert-base-japanese,nu-mnli,3e-05,512.0,0.0,64.0,76.7892137113875,76.2068937367814,73.58158308122412,70.97719184384735,73.58855622061762,5
cl-tohoku/bert-base-japanese,nu-mnli,5e-05,512.0,0.2,102.4,75.26673149134874,74.97970568120657,76.43918680952837,74.02631800596315,75.14840349889937,5
cl-tohoku/bert-base-japanese-char,nu-mnli,1e-05,64.0,0.0,460.8,74.76557057358048,73.80678357534593,71.69359415600674,67.62178781670968,71.04072184935413,5
cl-tohoku/bert-base-japanese-char,nu-mnli,3e-05,64.0,0.0,256.0,76.4945583370187,75.4632559762047,71.38570515012962,67.0144231922138,71.28779477284938,5
cl-tohoku/bert-base-japanese-char,nu-mnli,5e-05,64.0,0.0,716.8,74.177431582324,73.57485564508299,75.54901272766772,72.2579806516157,73.7939496747888,5
cl-tohoku/bert-base-japanese-char,nu-mnli,1e-05,128.0,0.0,256.0,76.49304212554713,75.39495188797596,70.98333092623392,66.53957823425631,70.97262034948874,5
cl-tohoku/bert-base-japanese-char,nu-mnli,3e-05,128.0,0.0,128.0,75.90530274731788,74.87788760188548,69.8504833121631,65.43498815642708,70.05445302349187,5
cl-tohoku/bert-base-japanese-char,nu-mnli,5e-05,128.0,0.0,128.0,77.04582541692935,75.91959647304148,71.53379918461773,67.36425330689458,71.60588298818459,5
cl-tohoku/bert-base-japanese-char,nu-mnli,1e-05,256.0,0.0,192.0,77.19472933151413,76.04816451845429,72.14706383220583,67.91492456523443,72.03671763863152,5
cl-tohoku/bert-base-japanese-char,nu-mnli,3e-05,256.0,0.0,128.0,77.21356241281043,76.17743657117305,73.04898370145233,69.17697049939606,72.80113025734047,5
cl-tohoku/bert-base-japanese-char,nu-mnli,5e-05,256.0,0.0,128.0,75.9638791476117,74.9530519239589,70.79442172868713,66.73960010257686,70.8290245850743,5
cl-tohoku/bert-base-japanese-char,nu-mnli,1e-05,512.0,0.0,128.0,77.64038357819116,76.44242394532796,72.40232444598166,68.2434094610945,72.36271928413471,5
cl-tohoku/bert-base-japanese-char,nu-mnli,3e-05,512.0,0.0,76.8,77.06642413257912,75.9398055562206,72.11344519914488,68.18333690459743,72.07886255332097,5
cl-tohoku/bert-base-japanese-char,nu-mnli,5e-05,512.0,0.0,64.0,77.89046590504375,76.70155696683756,72.79094718949679,68.76013734923,72.75088050185477,5
cl-tohoku/bert-base-japanese-char-v2,nu-mnli,1e-05,64.0,0.4,1740.8,74.06414905877911,74.10026635978753,76.81020212123343,73.42563896663127,74.77870248255074,5
cl-tohoku/bert-base-japanese-char-v2,nu-mnli,3e-05,64.0,0.2,1280.0,74.49324980566547,74.65244669666546,78.00566997880352,74.95004658492995,75.86938775346631,5
cl-tohoku/bert-base-japanese-char-v2,nu-mnli,5e-05,64.0,0.4,1996.8,73.73289708670546,74.11968611094889,77.60990532699999,74.716349768963,75.48198040230395,5
cl-tohoku/bert-base-japanese-char-v2,nu-mnli,1e-05,128.0,0.0,358.4,74.76341269187515,74.60537759843847,73.88684153162406,70.01256270445819,72.83492727817358,5
cl-tohoku/bert-base-japanese-char-v2,nu-mnli,3e-05,128.0,0.0,281.6,75.32774879375849,75.07289910018844,74.2059055439552,70.50521171617633,73.26133878677334,5
cl-tohoku/bert-base-japanese-char-v2,nu-mnli,5e-05,128.0,0.0,281.6,75.69140664105537,75.45825947933149,73.95001765550818,70.32244489345715,73.24357400943227,5
cl-tohoku/bert-base-japanese-char-v2,nu-mnli,1e-05,256.0,0.2,345.6,75.57957292856386,75.3752174938631,75.27163256755806,71.64674819259474,74.09786608467195,5
cl-tohoku/bert-base-japanese-char-v2,nu-mnli,3e-05,256.0,0.0,281.6,75.58505576130759,75.5229083410414,77.04398318914252,73.66851275357331,75.41180142791907,5
cl-tohoku/bert-base-japanese-char-v2,nu-mnli,5e-05,256.0,0.0,166.4,76.04567039571009,75.84838269460927,76.00672881559021,72.43706009608556,74.76405720209502,5
cl-tohoku/bert-base-japanese-char-v2,nu-mnli,1e-05,512.0,0.0,128.0,76.48290473448472,76.21564490602596,73.59834529417131,69.85152152727488,73.22183724249071,5
cl-tohoku/bert-base-japanese-char-v2,nu-mnli,3e-05,512.0,0.0,64.0,76.6152505981677,75.89909045716652,71.78474854964065,68.0944986163267,71.92611254104462,5
cl-tohoku/bert-base-japanese-char-v2,nu-mnli,5e-05,512.0,0.0,64.0,77.1814180053639,76.77154356772897,73.84549997480597,70.22840965603075,73.61515106618856,5
cl-tohoku/bert-base-japanese-char-v3,nu-mnli,1e-05,64.0,0.0,716.8,68.45208396551375,68.33405831337012,77.36946700790143,73.4576290733805,73.05371813155068,5
cl-tohoku/bert-base-japanese-char-v3,nu-mnli,3e-05,64.0,0.2,972.8,71.46375927593822,70.93520996802559,77.18759270518785,73.0989139151745,73.74057219612932,5
cl-tohoku/bert-base-japanese-char-v3,nu-mnli,5e-05,64.0,1.0,2969.6,70.24269508165995,70.15785469505524,79.2854673122552,76.66930806196515,75.37087668975853,5
cl-tohoku/bert-base-japanese-char-v3,nu-mnli,1e-05,128.0,0.0,256.0,71.30045707568284,70.54205979352932,75.41725752082789,70.67437051454144,72.21122927629955,5
cl-tohoku/bert-base-japanese-char-v3,nu-mnli,3e-05,128.0,0.0,256.0,69.65823721580391,69.02264116454566,75.69374067002211,71.17335896316142,71.9632469325764,5
cl-tohoku/bert-base-japanese-char-v3,nu-mnli,5e-05,128.0,0.0,128.0,72.94434691027527,72.14057583150296,75.53798950750408,71.03748939693318,72.90535157864674,5
cl-tohoku/bert-base-japanese-char-v3,nu-mnli,1e-05,256.0,0.0,192.0,73.04576781991473,72.3869934843289,76.25175711882386,71.95975548884508,73.53283536399928,5
cl-tohoku/bert-base-japanese-char-v3,nu-mnli,3e-05,256.0,0.2,268.8,72.61392139875946,72.24323514859451,77.7506360233777,74.1053202187438,74.699730463572,5
cl-tohoku/bert-base-japanese-char-v3,nu-mnli,5e-05,256.0,0.0,281.6,70.3020206726769,70.3731740933592,79.47476388771001,76.53338675648047,75.46044157918323,5
cl-tohoku/bert-base-japanese-char-v3,nu-mnli,1e-05,512.0,0.0,128.0,74.11022097370034,73.3884182741781,76.30087965330907,72.0199485267685,73.90308215141854,5
cl-tohoku/bert-base-japanese-char-v3,nu-mnli,3e-05,512.0,0.0,70.4,73.30056012008463,72.28570653878717,74.81995257398196,70.32832490552188,72.47799467276369,5
cl-tohoku/bert-base-japanese-char-v3,nu-mnli,5e-05,512.0,0.0,64.0,75.51548091547059,74.70028847288627,76.1199437540175,72.0407145997635,74.28698227555576,5
cl-tohoku/bert-base-japanese-v2,nu-mnli,1e-05,64.0,0.2,1331.2,75.50215738814146,75.90095762748128,80.55449427076896,77.0677895441106,77.84108048078694,5
cl-tohoku/bert-base-japanese-v2,nu-mnli,3e-05,64.0,0.2,665.6,76.65971593918151,76.68601421283704,79.21502510263952,75.69827068334538,77.19976999960731,5
cl-tohoku/bert-base-japanese-v2,nu-mnli,5e-05,64.0,0.2,1638.4,76.85613081572788,76.87066822597828,79.94474810273228,77.41690099558302,78.07743910809786,5
cl-tohoku/bert-base-japanese-v2,nu-mnli,1e-05,128.0,0.0,256.0,77.43885450948393,77.05028533213758,78.1122904472414,73.93996480849677,76.36751352929193,5
cl-tohoku/bert-base-japanese-v2,nu-mnli,3e-05,128.0,0.0,128.0,77.60011291408598,77.04929656428469,77.03913234247975,72.65106348384708,75.5798307968705,5
cl-tohoku/bert-base-japanese-v2,nu-mnli,5e-05,128.0,0.0,179.2,77.49137187494152,77.44783276069954,79.34824224168453,75.59879423716941,77.4649564131845,5
cl-tohoku/bert-base-japanese-v2,nu-mnli,1e-05,256.0,0.0,192.0,78.07569310946516,77.8500317127436,78.99163419696112,75.19522864281613,77.34563151750694,5
cl-tohoku/bert-base-japanese-v2,nu-mnli,3e-05,256.0,0.0,115.2,76.98485050672839,76.806242154466,78.66323182271164,74.81359987052704,76.76102461590156,5
cl-tohoku/bert-base-japanese-v2,nu-mnli,5e-05,256.0,0.0,64.0,78.56499586985066,77.84600873036038,77.17809191630583,72.86844157288596,75.96418073985072,5
cl-tohoku/bert-base-japanese-v2,nu-mnli,1e-05,512.0,0.0,96.0,78.66273449622672,77.98468017090114,77.33557797484235,73.07770221212061,76.13265345262137,5
cl-tohoku/bert-base-japanese-v2,nu-mnli,3e-05,512.0,0.0,64.0,79.4539979766009,78.73795817876672,77.8899250284293,74.0924888014791,76.90679066955838,5
cl-tohoku/bert-base-japanese-v2,nu-mnli,5e-05,512.0,0.0,64.0,78.51597753330603,78.27949155360412,79.14042913078322,75.66821343307124,77.69604470581953,5
