model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
nlp-waseda/roberta-large-japanese,nu-snli+mnli,5e-05,512.0,0.0,64.0,83.76618540574029,82.71940102481622,82.83438281775246,79.42237739981071,81.65872041412646,5
cl-tohoku/bert-large-japanese-v2,nu-snli+mnli,3e-05,512.0,0.0,64.0,82.44081368086327,81.87191480398316,82.81401263201916,79.59188461778645,81.42593735126292,5
studio-ousia/luke-japanese-large-lite,nu-snli+mnli,3e-05,512.0,0.0,64.0,81.79939868692108,80.9624489710206,82.5421326662383,78.69695079128425,80.73384414284772,5
cl-tohoku/bert-base-japanese-v2,nu-snli+mnli,1e-05,512.0,0.0,262.4,83.06701612404729,82.3167927130805,80.90320088949557,77.73488606477324,80.31829322244977,5
cl-tohoku/bert-base-japanese-v3,nu-snli+mnli,5e-05,512.0,0.0,64.0,82.14641707656052,81.67853444514938,80.41158879455251,77.6811306849457,79.92375130821587,5
studio-ousia/mluke-large-lite,nu-snli+mnli,1e-05,512.0,0.0,230.4,82.63108950318247,81.39001793407975,80.01222390482937,77.59232835606691,79.66485673165866,5
cl-tohoku/bert-base-japanese-whole-word-masking,nu-snli+mnli,3e-05,512.0,0.0,243.2,81.05889382903588,80.59584472311367,80.28021526859584,77.6828520797346,79.51963735714803,5
ku-nlp/roberta-large-japanese-char-wwm,nu-snli+mnli,3e-05,512.0,0.0,89.6,80.68257729826169,79.7935174670394,80.84772004895986,77.79126203382299,79.47749984994076,5
cl-tohoku/bert-large-japanese-char-v2,nu-snli+mnli,1e-05,512.0,0.0,102.4,81.67075154172771,80.7954441054106,79.96236178058345,77.48185644672631,79.41322077757346,5
cl-tohoku/bert-large-japanese,nu-snli+mnli,3e-05,512.0,0.0,70.4,82.10091671318972,81.65357028073677,79.24289201414665,77.04586536745656,79.31410922078,5
xlm-roberta-large,nu-snli+mnli,1e-05,512.0,0.2,428.8,81.98953130861385,80.74275569902895,79.89684677131916,77.00484797727333,79.21481681587382,5
cl-tohoku/bert-base-japanese,nu-snli+mnli,1e-05,512.0,0.2,428.8,81.64131158496454,80.9504732147222,79.45976663100564,77.11924289965664,79.1764942484615,5
ku-nlp/deberta-v2-large-japanese,nu-snli+mnli,1e-05,512.0,0.0,313.6,79.74663131710865,79.16004168227121,79.8241749803218,77.82785838365282,78.93735834874862,5
ku-nlp/roberta-base-japanese-char-wwm,nu-snli+mnli,5e-05,512.0,0.0,217.6,81.38224719852909,79.88930846015455,79.65848823879695,77.08949737035617,78.87909802310256,5
nlp-waseda/roberta-base-japanese,nu-snli+mnli,1e-05,128.0,0.0,512.0,79.67138939210169,79.4248086039983,79.83842122928138,76.75023581632055,78.6711552165334,5
studio-ousia/luke-japanese-base-lite,nu-snli+mnli,1e-05,512.0,0.0,172.8,81.68253432651304,80.69672433692199,79.2250079542496,75.53380703111212,78.48517977409456,5
ku-nlp/deberta-v2-base-japanese,nu-snli+mnli,1e-05,512.0,0.0,390.4,78.00387505549469,77.7869759192296,79.93393125070384,77.5168918829527,78.41259968429537,5
studio-ousia/mluke-base-lite,nu-snli+mnli,3e-05,512.0,0.0,140.8,82.58437246116881,81.32888732399132,77.88010353835242,75.23924823843063,78.14941303359146,5
bert-base-multilingual-cased,nu-snli+mnli,3e-05,512.0,0.0,320.0,82.69083699620708,81.77716478851546,77.59943617599545,74.63668286770664,78.00442794407252,5
cl-tohoku/bert-base-japanese-char-v3,nu-snli+mnli,1e-05,512.0,0.0,236.8,78.97963383853963,78.35073521518305,79.2279413601289,76.27571008767208,77.95146222099469,5
cl-tohoku/bert-base-japanese-char,nu-snli+mnli,5e-05,512.0,0.0,332.8,81.3319228225669,80.12725278282414,77.99744997251767,75.27019161580041,77.79829812371409,5
xlm-roberta-base,nu-snli+mnli,3e-05,512.0,1.0,896.0,80.92206999204339,79.67945162926424,77.79122660764791,75.83276229307157,77.76781350999457,5
cl-tohoku/bert-base-japanese-char-v2,nu-snli+mnli,3e-05,512.0,0.0,96.0,82.53888677188984,81.38203953617452,77.02676498985889,74.03130340935614,77.48003597846318,5
megagonlabs/roberta-long-japanese,nu-snli+mnli,5e-05,512.0,0.0,268.8,80.73940713919465,79.8603478999429,77.53372732743489,74.38483844493199,77.25963789076992,5
