model_name,dataset_name,batch_size,lr,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
nlp-waseda/roberta-large-japanese,jsnli+nu-snli,64.0,1e-05,0.0,682.6666666666666,84.48239551697746,83.22378733496868,82.33612833497848,78.92003900749494,81.49331822581404,3
studio-ousia/luke-japanese-large-lite,jsnli+nu-snli,512.0,5e-05,0.0,74.66666666666667,83.3540416869828,82.21636547312704,82.2123408420103,78.50824995912286,80.9789854247534,3
studio-ousia/mluke-large-lite,jsnli+nu-snli,512.0,1e-05,0.0,330.6666666666667,84.04567786747187,82.59997624555417,80.24671763481838,77.39819532694543,80.08162973577267,3
ku-nlp/roberta-large-japanese-char-wwm,jsnli+nu-snli,128.0,1e-05,0.0,384.0,82.8132102633589,81.19125453905166,80.72229204670352,77.76701595449224,79.89352084674913,3
cl-tohoku/bert-base-japanese-v2,jsnli+nu-snli,512.0,1e-05,0.0,330.6666666666667,83.98247937980334,83.04208333984423,79.63737129974328,76.10682911004444,79.59542791654398,3
nlp-waseda/roberta-base-japanese,jsnli+nu-snli,64.0,5e-05,0.0,512.0,82.50985400598552,81.6888160667253,79.64013906836776,76.57180863555607,79.30025459021638,3
xlm-roberta-large,jsnli+nu-snli,256.0,1e-05,0.0,810.6666666666666,83.64144799800629,82.23950755324523,79.35617544081869,76.20631468789679,79.26733256065359,3
cl-tohoku/bert-large-japanese,jsnli+nu-snli,512.0,1e-05,0.0,160.0,83.36808109150736,82.36966447205259,79.19762078220884,76.09955019838573,79.22227848421572,3
ku-nlp/deberta-v2-large-japanese,jsnli+nu-snli,512.0,3e-05,0.0,202.66666666666666,79.24910032612975,78.77710518035896,79.75701301799914,77.30843062438832,78.61418294091546,3
studio-ousia/luke-japanese-base-lite,jsnli+nu-snli,512.0,3e-05,0.0,154.66666666666666,82.70503149537159,81.56553978887443,78.57258931641536,75.1306869799888,78.42293869509285,6
studio-ousia/mluke-base-lite,jsnli+nu-snli,256.0,1e-05,0.0,448.0,83.73564676301531,82.25460894635445,77.92348678961437,75.06078095176711,78.41295889591198,3
cl-tohoku/bert-base-japanese-char-v2,jsnli+nu-snli,512.0,1e-05,0.0,330.6666666666667,83.45405006068802,82.01086513765955,78.28225652408766,74.8164381975041,78.3698532864171,3
ku-nlp/roberta-base-japanese-char-wwm,jsnli+nu-snli,512.0,5e-05,0.0,160.0,83.03703929542941,81.15151292869672,78.21094470652957,74.36838804234675,77.91028189252434,3
cl-tohoku/bert-base-japanese,jsnli+nu-snli,256.0,1e-05,0.0,362.6666666666667,82.37823589803885,81.65964780588358,77.21581795528259,74.66488319240251,77.8467829845229,3
cl-tohoku/bert-base-japanese-whole-word-masking,jsnli+nu-snli,512.0,5e-05,0.0,85.33333333333333,81.83676993031041,81.05505783299863,77.67571322072394,74.69618747172811,77.80898617515022,3
ku-nlp/deberta-v2-base-japanese,jsnli+nu-snli,512.0,1e-05,0.3333333333333333,512.0,83.20190072781214,81.81449332985784,77.33144979560846,73.5039717032361,77.54997160956746,3
cl-tohoku/bert-base-japanese-char,jsnli+nu-snli,256.0,1e-05,0.0,533.3333333333334,82.5004422996178,81.0453816241929,77.14372646473385,73.92020447918131,77.36977085603603,3
bert-base-multilingual-cased,jsnli+nu-snli,512.0,1e-05,0.0,522.6666666666666,83.36462470753348,82.17285582751964,76.6776643232575,73.0717406151024,77.3074202552932,3
megagonlabs/roberta-long-japanese,jsnli+nu-snli,512.0,3e-05,0.0,96.0,81.66470103451447,80.4620238939803,75.9843994899796,71.59850760406749,76.01497699600914,3
xlm-roberta-base,jsnli+nu-snli,512.0,3e-05,0.6666666666666666,693.3333333333334,80.46646015087175,78.69775481869976,74.85349568970774,72.4071364219361,75.31946231011455,3
