model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
cl-tohoku/bert-large-japanese-v2,jsnli,5e-05,512.0,0.0,64.0,83.97232681716915,82.63394218851198,82.97807551426276,79.4414652079912,81.68449430358865,5
nlp-waseda/roberta-large-japanese,jsnli,1e-05,128.0,0.0,512.0,84.41913697089385,83.07961287245197,82.62955852470286,79.28357916505534,81.6642501874034,5
studio-ousia/luke-japanese-large-lite,jsnli,5e-05,512.0,0.0,96.0,83.82292072818441,82.50437739773672,82.23872135680573,78.94157613318848,81.22822496257697,5
cl-tohoku/bert-base-japanese-v2,jsnli,1e-05,256.0,1.0,601.6,84.19696402979693,83.39329380841399,80.69777496961376,77.03305179332934,80.37470685711902,5
cl-tohoku/bert-large-japanese-char-v2,jsnli,1e-05,256.0,0.0,256.0,83.63301664694235,82.14229343526745,80.87507247551268,77.97402952063295,80.33046514380436,5
cl-tohoku/bert-base-japanese-v3,jsnli,5e-05,512.0,0.0,96.0,83.6046361895364,82.65848311641712,80.70156730599925,77.33780083975984,80.23261708739206,5
ku-nlp/roberta-large-japanese-char-wwm,jsnli,1e-05,256.0,0.0,281.6,83.29730454769306,81.86761107687903,80.90360893212547,77.53795399049076,80.10305799983175,5
studio-ousia/mluke-large-lite,jsnli,1e-05,128.0,0.0,768.0,84.01869165108285,82.33533065724933,80.0102686684636,77.69007478312236,80.01189136961177,5
cl-tohoku/bert-large-japanese,jsnli,5e-05,512.0,0.0,96.0,83.69547339550806,82.53849521977483,80.09069375268452,76.49300376566912,79.70739757937615,5
xlm-roberta-large,jsnli,1e-05,512.0,1.4,576.0,83.58792416114508,82.04008485088664,79.91194656508365,76.62893656983962,79.5269893286033,5
nlp-waseda/roberta-base-japanese,jsnli,3e-05,512.0,0.0,179.2,82.9423177844259,81.99777471719736,79.63131221746369,75.65468022572182,79.09458905346096,5
cl-tohoku/bert-base-japanese-whole-word-masking,jsnli,5e-05,512.0,0.0,128.0,83.28947755521222,82.31732299360017,79.01233794091522,75.79130168319375,79.04032087256971,5
ku-nlp/deberta-v2-large-japanese,jsnli,3e-05,512.0,0.2,153.6,79.81290086667754,79.46948792821692,80.29496175143008,77.32304766219211,79.02916578061304,5
studio-ousia/luke-japanese-base-lite,jsnli,3e-05,512.0,0.0,185.6,82.8944572261212,81.72184369868826,79.33726968842936,75.63941487631749,78.89950942114504,5
cl-tohoku/bert-base-japanese,jsnli,5e-05,512.0,0.0,153.6,83.38796260282173,82.43882270906622,78.45937884576918,75.25318119416534,78.71712758300023,5
cl-tohoku/bert-base-japanese-char-v3,jsnli,3e-05,512.0,0.0,185.6,82.56505093971361,81.35435670246329,78.61865503121412,75.75110240560105,78.57470471309281,5
cl-tohoku/bert-base-japanese-char-v2,jsnli,1e-05,256.0,0.4,537.6,83.38400578752973,81.95388905395782,78.63788501624487,74.9810670400228,78.52428037007516,5
studio-ousia/mluke-base-lite,jsnli,3e-05,512.0,0.0,185.6,83.48410727673797,81.96155453254826,78.4704430697702,74.96620791101752,78.46606850444532,5
ku-nlp/deberta-v2-base-japanese,jsnli,3e-05,512.0,0.6,268.8,81.90413045129415,80.77932233124719,78.38723908100377,74.70563578175322,77.95739906466807,5
cl-tohoku/bert-base-japanese-char,jsnli,1e-05,512.0,1.6,595.2,82.8918471092717,81.39910548479897,77.7931540702339,74.3506411934283,77.8476335828204,5
ku-nlp/roberta-base-japanese-char-wwm,jsnli,5e-05,512.0,0.0,160.0,82.79670808107042,80.62212628623796,78.53747152501037,74.34841120749577,77.83600300624803,5
bert-base-multilingual-cased,jsnli,1e-05,512.0,2.0,691.2,83.4610105331816,82.11643744192978,76.82473112278149,73.32553683369242,77.42223513280123,5
megagonlabs/roberta-long-japanese,jsnli,1e-05,512.0,1.0,358.4,82.25465174476565,80.76679187014703,76.53936844130631,72.39380388041548,76.56665473062294,5
xlm-roberta-base,jsnli,1e-05,512.0,4.8,1484.8,80.28713914250696,78.42102798201684,76.01603287516407,72.53740831240748,75.6581563898628,5
