model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
cl-tohoku/bert-base-japanese-char-v2,janli,1e-05,64.0,9.2,1024.0,80.51031429322049,80.27969536439261,72.48469753120902,67.81935112905205,73.52791467488456,5
cl-tohoku/bert-base-japanese-char-v2,janli,3e-05,64.0,4.0,512.0,80.65413870197418,80.43328041348661,72.59140000150377,68.05432247899016,73.69300096466019,5
cl-tohoku/bert-base-japanese-char-v2,janli,5e-05,64.0,2.8,358.4,80.2883887813005,80.04048699598275,71.70107540678038,67.18949957726429,72.97702066000913,5
cl-tohoku/bert-base-japanese-char-v2,janli,1e-05,128.0,9.2,512.0,80.40638745190392,80.15005656316562,71.62171712407739,67.08927398841567,72.9536825585529,5
cl-tohoku/bert-base-japanese-char-v2,janli,3e-05,128.0,4.0,256.0,79.98800312345227,79.7857894207247,71.52696452558303,67.03193386245968,72.78156260292246,5
cl-tohoku/bert-base-japanese-char-v2,janli,5e-05,128.0,4.0,256.0,80.08317234383064,79.94983597433273,72.59304594479919,67.90945927040922,73.48411372984704,5
cl-tohoku/bert-base-japanese-char-v2,janli,1e-05,256.0,9.6,268.8,80.20837504558259,79.89057511488424,71.96117769805059,67.52009991050261,73.12395090781249,5
cl-tohoku/bert-base-japanese-char-v2,janli,3e-05,256.0,5.8,166.4,80.01264282094866,79.83930425157186,71.78325497760311,67.23199893546283,72.9515193882126,5
cl-tohoku/bert-base-japanese-char-v2,janli,5e-05,256.0,4.0,128.0,79.78251654606679,79.63153250342765,71.95757345093408,67.35995614326154,72.98302069920776,5
cl-tohoku/bert-base-japanese-char-v2,janli,1e-05,512.0,14.2,192.0,79.95187040346713,79.72226052636123,72.21220560434975,67.69571808850625,73.21006140640574,5
cl-tohoku/bert-base-japanese-char-v2,janli,3e-05,512.0,7.0,96.0,80.03952889830144,79.81979611795916,71.38491729878301,67.02611044204502,72.74360795292907,5
cl-tohoku/bert-base-japanese-char-v2,janli,5e-05,512.0,5.2,76.8,79.86262713057053,79.64187928177493,71.90258132130677,67.50282163356115,73.01576074554762,5
cl-tohoku/bert-base-japanese-char-v2,jsnli,1e-05,64.0,0.0,1126.4,83.186535742128,81.8625683883608,78.48640920052404,74.90335031616682,78.41744263501721,5
cl-tohoku/bert-base-japanese-char-v2,jsnli,3e-05,64.0,0.0,716.8,83.19697616932997,81.76935551895062,78.53411889121654,75.02266997356398,78.44204812791038,5
cl-tohoku/bert-base-japanese-char-v2,jsnli,5e-05,64.0,0.0,512.0,82.8032652781844,81.36645165707924,78.4367433891714,74.61888470013668,78.14069324879577,5
cl-tohoku/bert-base-japanese-char-v2,jsnli,1e-05,128.0,0.0,819.2,83.32690363678867,81.87213155867157,78.50603928685157,74.98683990243413,78.45500358265242,5
cl-tohoku/bert-base-japanese-char-v2,jsnli,3e-05,128.0,0.0,460.8,83.02319878029412,81.64641908304364,78.60172120898099,75.08457860251019,78.44423963151159,5
cl-tohoku/bert-base-japanese-char-v2,jsnli,5e-05,128.0,0.0,384.0,83.01653796767556,81.66013036977061,78.33297773304345,74.76228967833374,78.25179926038261,5
cl-tohoku/bert-base-japanese-char-v2,jsnli,1e-05,256.0,0.4,537.6,83.38400578752973,81.95388905395782,78.63788501624487,74.9810670400228,78.52428037007516,5
cl-tohoku/bert-base-japanese-char-v2,jsnli,3e-05,256.0,0.0,320.0,83.1440396123138,81.73616989277005,78.51928680724139,75.02842392428755,78.42796020809966,5
cl-tohoku/bert-base-japanese-char-v2,jsnli,5e-05,256.0,0.0,243.2,83.28517131842341,81.82696163385836,78.42547120255179,74.87106289345112,78.37449857662043,5
cl-tohoku/bert-base-japanese-char-v2,jsnli,1e-05,512.0,1.0,448.0,83.22182352712306,81.73859937791788,78.67196285026128,75.0182344846367,78.47626557093862,5
cl-tohoku/bert-base-japanese-char-v2,jsnli,3e-05,512.0,0.0,230.4,83.36761290334248,81.86058890120839,78.53674990556885,75.07230342700366,78.48988074459363,5
cl-tohoku/bert-base-japanese-char-v2,jsnli,5e-05,512.0,0.0,160.0,83.24513749280047,81.73736031020212,78.57761475246868,74.84299725918174,78.38599077395085,5
cl-tohoku/bert-base-japanese-char-v2,nu-mnli,1e-05,64.0,0.4,1740.8,74.06414905877911,74.10026635978753,76.81020212123343,73.42563896663127,74.77870248255074,5
cl-tohoku/bert-base-japanese-char-v2,nu-mnli,3e-05,64.0,0.2,1280.0,74.49324980566547,74.65244669666546,78.00566997880352,74.95004658492995,75.86938775346631,5
cl-tohoku/bert-base-japanese-char-v2,nu-mnli,5e-05,64.0,0.4,1996.8,73.73289708670546,74.11968611094889,77.60990532699999,74.716349768963,75.48198040230395,5
cl-tohoku/bert-base-japanese-char-v2,nu-mnli,1e-05,128.0,0.0,358.4,74.76341269187515,74.60537759843847,73.88684153162406,70.01256270445819,72.83492727817358,5
cl-tohoku/bert-base-japanese-char-v2,nu-mnli,3e-05,128.0,0.0,281.6,75.32774879375849,75.07289910018844,74.2059055439552,70.50521171617633,73.26133878677334,5
cl-tohoku/bert-base-japanese-char-v2,nu-mnli,5e-05,128.0,0.0,281.6,75.69140664105537,75.45825947933149,73.95001765550818,70.32244489345715,73.24357400943227,5
cl-tohoku/bert-base-japanese-char-v2,nu-mnli,1e-05,256.0,0.2,345.6,75.57957292856386,75.3752174938631,75.27163256755806,71.64674819259474,74.09786608467195,5
cl-tohoku/bert-base-japanese-char-v2,nu-mnli,3e-05,256.0,0.0,281.6,75.58505576130759,75.5229083410414,77.04398318914252,73.66851275357331,75.41180142791907,5
cl-tohoku/bert-base-japanese-char-v2,nu-mnli,5e-05,256.0,0.0,166.4,76.04567039571009,75.84838269460927,76.00672881559021,72.43706009608556,74.76405720209502,5
cl-tohoku/bert-base-japanese-char-v2,nu-mnli,1e-05,512.0,0.0,128.0,76.48290473448472,76.21564490602596,73.59834529417131,69.85152152727488,73.22183724249071,5
cl-tohoku/bert-base-japanese-char-v2,nu-mnli,3e-05,512.0,0.0,64.0,76.6152505981677,75.89909045716652,71.78474854964065,68.0944986163267,71.92611254104462,5
cl-tohoku/bert-base-japanese-char-v2,nu-mnli,5e-05,512.0,0.0,64.0,77.1814180053639,76.77154356772897,73.84549997480597,70.22840965603075,73.61515106618856,5
cl-tohoku/bert-base-japanese-char-v2,nu-snli,1e-05,64.0,0.0,1024.0,83.08763659497058,81.83285960176016,76.42802856877569,73.92271740381565,77.3945351914505,5
cl-tohoku/bert-base-japanese-char-v2,nu-snli,3e-05,64.0,0.0,512.0,83.19755704169692,81.81241469155273,76.43044873864599,73.63187494813987,77.2915794594462,5
cl-tohoku/bert-base-japanese-char-v2,nu-snli,5e-05,64.0,0.0,409.6,83.0168444429521,81.78705191421821,76.34323474051304,73.46407990621893,77.1981221869834,5
cl-tohoku/bert-base-japanese-char-v2,nu-snli,1e-05,128.0,0.0,640.0,83.39260940820388,82.01650079030811,76.46937165391802,73.78826516636866,77.42471253686493,5
cl-tohoku/bert-base-japanese-char-v2,nu-snli,3e-05,128.0,0.0,384.0,83.24337280031388,81.9000260875089,76.36783255781442,73.81691541196354,77.36159135242895,5
cl-tohoku/bert-base-japanese-char-v2,nu-snli,5e-05,128.0,0.0,281.6,83.1520018992642,81.74790644569723,76.18638268989284,73.47920968996782,77.13783294185262,5
cl-tohoku/bert-base-japanese-char-v2,nu-snli,1e-05,256.0,0.0,396.8,83.28620521487628,81.91185019431407,75.98670739546003,73.29775991223114,77.06543916733509,5
cl-tohoku/bert-base-japanese-char-v2,nu-snli,3e-05,256.0,0.0,243.2,83.12892230818015,81.6547618189239,75.79641449030429,73.15272793088253,76.86796808003692,5
cl-tohoku/bert-base-japanese-char-v2,nu-snli,5e-05,256.0,0.0,179.2,83.40803837586975,82.07860427504349,75.37917720262745,72.69525456322921,76.71767868030005,5
cl-tohoku/bert-base-japanese-char-v2,nu-snli,1e-05,512.0,0.2,288.0,83.32432687289995,81.93354419071431,75.84907925897548,73.23407672934744,77.00556672634573,5
cl-tohoku/bert-base-japanese-char-v2,nu-snli,3e-05,512.0,0.0,172.8,83.2527591387501,81.8171520275731,75.32413087013268,72.76591954464088,76.63573414744889,5
cl-tohoku/bert-base-japanese-char-v2,nu-snli,5e-05,512.0,0.0,121.6,83.40340238660153,81.84654857164062,75.60234998831552,72.86037624998671,76.76975826998094,5
cl-tohoku/bert-base-japanese-char-v2,nu-snli+mnli,1e-05,64.0,0.0,716.8,81.46150866206162,80.69793839554396,77.00768831373303,74.17886104404297,77.29482925110665,5
cl-tohoku/bert-base-japanese-char-v2,nu-snli+mnli,3e-05,64.0,0.0,563.2,81.21796445125497,80.39130441519782,77.21899708223714,74.52144978598176,77.37725042780558,5
cl-tohoku/bert-base-japanese-char-v2,nu-snli+mnli,5e-05,64.0,0.0,256.0,81.86744254481823,80.9999911038805,76.46467869043636,73.44786532018466,76.97084503816718,5
cl-tohoku/bert-base-japanese-char-v2,nu-snli+mnli,1e-05,128.0,0.0,409.6,82.05541528905658,81.1995114773173,77.26053173053975,74.29201810095707,77.58402043627137,5
