model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
cl-tohoku/bert-base-japanese-char,janli,1e-05,64.0,9.2,1024.0,79.56625689003917,78.6702994110187,72.3780295677516,67.55106730906212,72.86646542927747,5
cl-tohoku/bert-base-japanese-char,janli,3e-05,64.0,4.6,563.2,79.5576776710472,78.73017964017511,72.15307373709926,67.40015476040136,72.7611360458919,5
cl-tohoku/bert-base-japanese-char,janli,5e-05,64.0,4.0,512.0,79.34201065041464,78.46800709641907,72.26308130632421,67.51185578670975,72.74764806315102,5
cl-tohoku/bert-base-japanese-char,janli,1e-05,128.0,10.8,588.8,79.40440822137158,78.5625567999974,72.19860617097251,67.39267131227238,72.71794476108077,5
cl-tohoku/bert-base-japanese-char,janli,3e-05,128.0,5.8,332.8,79.59683553998003,78.70750349955681,72.10610290794683,67.42370819073196,72.7457715327452,5
cl-tohoku/bert-base-japanese-char,janli,5e-05,128.0,4.0,256.0,79.49906113039691,78.68092395300732,71.98810252677674,67.32830047150188,72.66577565042864,5
cl-tohoku/bert-base-japanese-char,janli,1e-05,256.0,13.2,358.4,79.3791054698736,78.46297222009605,72.37090797582024,67.61558879326546,72.8164896630606,5
cl-tohoku/bert-base-japanese-char,janli,3e-05,256.0,7.0,192.0,79.43106370846397,78.58263862234676,71.7921402529633,67.22606518943118,72.53361468824708,5
cl-tohoku/bert-base-japanese-char,janli,5e-05,256.0,5.2,153.6,79.52374152900325,78.70482874771423,71.87241377343159,67.26630856476864,72.61451702863816,5
cl-tohoku/bert-base-japanese-char,janli,1e-05,512.0,15.2,204.8,79.45592555432334,78.47731718303727,72.01494224204527,67.26134343032125,72.5845342851346,5
cl-tohoku/bert-base-japanese-char,janli,3e-05,512.0,9.0,128.0,79.51575546161261,78.53769767264419,71.99704428039323,67.37363480228112,72.63612558510617,5
cl-tohoku/bert-base-japanese-char,janli,5e-05,512.0,7.0,96.0,79.643663158087,78.71215702882716,71.82462108148783,67.43254446343492,72.65644085791664,5
cl-tohoku/bert-base-japanese-char,jsnli,1e-05,64.0,0.0,1792.0,82.72049798790611,81.17191037207638,77.65671603231087,74.2796008083651,77.70274240425078,5
cl-tohoku/bert-base-japanese-char,jsnli,3e-05,64.0,0.0,972.8,82.7588993582536,81.219714012709,77.5229444354744,74.10387934196767,77.61551259671702,5
cl-tohoku/bert-base-japanese-char,jsnli,5e-05,64.0,0.0,665.6,82.38039430926243,80.75613540336205,77.10726094350855,73.86692791202367,77.24344141963142,5
cl-tohoku/bert-base-japanese-char,jsnli,1e-05,128.0,0.8,1203.2,82.7582119873006,81.28025978229894,77.92608538049933,74.55253144619005,77.91962553632945,5
cl-tohoku/bert-base-japanese-char,jsnli,3e-05,128.0,0.0,640.0,82.70003148155675,81.14963040018067,77.72793570372778,74.2249340613029,77.7008333884038,5
cl-tohoku/bert-base-japanese-char,jsnli,5e-05,128.0,0.0,512.0,82.7103246169494,81.09368536427652,77.34411156102439,74.13646412919304,77.52475368483131,5
cl-tohoku/bert-base-japanese-char,jsnli,1e-05,256.0,1.0,793.6,82.83803262544488,81.29080297438789,77.93078305351418,74.50002378160876,77.90720326983694,5
cl-tohoku/bert-base-japanese-char,jsnli,3e-05,256.0,0.0,396.8,82.68178258541703,81.19429734249886,77.58294115627156,73.98049455931849,77.58591101936297,5
cl-tohoku/bert-base-japanese-char,jsnli,5e-05,256.0,0.0,294.4,82.57604706474027,80.92469016448686,77.47095431095852,74.16257322882765,77.51940590142435,5
cl-tohoku/bert-base-japanese-char,jsnli,1e-05,512.0,1.6,595.2,82.8918471092717,81.39910548479897,77.7931540702339,74.3506411934283,77.8476335828204,5
cl-tohoku/bert-base-japanese-char,jsnli,3e-05,512.0,0.8,294.4,82.76903403988504,81.24325678851707,77.6674698697269,74.37983455792349,77.76352040538916,5
cl-tohoku/bert-base-japanese-char,jsnli,5e-05,512.0,0.2,236.8,82.77131744654122,81.25658776645253,77.56547481621257,74.13319682689821,77.65175313652111,5
cl-tohoku/bert-base-japanese-char,nu-mnli,1e-05,64.0,0.0,460.8,74.76557057358048,73.80678357534593,71.69359415600674,67.62178781670968,71.04072184935413,5
cl-tohoku/bert-base-japanese-char,nu-mnli,3e-05,64.0,0.0,256.0,76.4945583370187,75.4632559762047,71.38570515012962,67.0144231922138,71.28779477284938,5
cl-tohoku/bert-base-japanese-char,nu-mnli,5e-05,64.0,0.0,716.8,74.177431582324,73.57485564508299,75.54901272766772,72.2579806516157,73.7939496747888,5
cl-tohoku/bert-base-japanese-char,nu-mnli,1e-05,128.0,0.0,256.0,76.49304212554713,75.39495188797596,70.98333092623392,66.53957823425631,70.97262034948874,5
cl-tohoku/bert-base-japanese-char,nu-mnli,3e-05,128.0,0.0,128.0,75.90530274731788,74.87788760188548,69.8504833121631,65.43498815642708,70.05445302349187,5
cl-tohoku/bert-base-japanese-char,nu-mnli,5e-05,128.0,0.0,128.0,77.04582541692935,75.91959647304148,71.53379918461773,67.36425330689458,71.60588298818459,5
cl-tohoku/bert-base-japanese-char,nu-mnli,1e-05,256.0,0.0,192.0,77.19472933151413,76.04816451845429,72.14706383220583,67.91492456523443,72.03671763863152,5
cl-tohoku/bert-base-japanese-char,nu-mnli,3e-05,256.0,0.0,128.0,77.21356241281043,76.17743657117305,73.04898370145233,69.17697049939606,72.80113025734047,5
cl-tohoku/bert-base-japanese-char,nu-mnli,5e-05,256.0,0.0,128.0,75.9638791476117,74.9530519239589,70.79442172868713,66.73960010257686,70.8290245850743,5
cl-tohoku/bert-base-japanese-char,nu-mnli,1e-05,512.0,0.0,128.0,77.64038357819116,76.44242394532796,72.40232444598166,68.2434094610945,72.36271928413471,5
cl-tohoku/bert-base-japanese-char,nu-mnli,3e-05,512.0,0.0,76.8,77.06642413257912,75.9398055562206,72.11344519914488,68.18333690459743,72.07886255332097,5
cl-tohoku/bert-base-japanese-char,nu-mnli,5e-05,512.0,0.0,64.0,77.89046590504375,76.70155696683756,72.79094718949679,68.76013734923,72.75088050185477,5
cl-tohoku/bert-base-japanese-char,nu-snli,1e-05,64.0,0.0,1024.0,82.36212654071531,81.11472467920176,75.49960660845696,72.29606858079237,76.30346662281701,5
cl-tohoku/bert-base-japanese-char,nu-snli,3e-05,64.0,0.0,512.0,82.25115790620573,80.8883491085538,75.25747567599247,71.67405603965565,75.93996027473398,5
cl-tohoku/bert-base-japanese-char,nu-snli,5e-05,64.0,0.0,512.0,81.80483009957122,80.40661578788028,74.70746013645828,71.6749410000356,75.5963389747914,5
cl-tohoku/bert-base-japanese-char,nu-snli,1e-05,128.0,0.0,640.0,82.44846911355167,81.12311239327282,75.35415176056887,72.26958782926656,76.24895066103609,5
cl-tohoku/bert-base-japanese-char,nu-snli,3e-05,128.0,0.0,384.0,82.25650456719222,80.79981336320309,75.25915630134247,72.20536731011609,76.0881123248872,5
