model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
cl-tohoku/bert-base-japanese-v3,janli,1e-05,64.0,5.2,614.4,82.18609789618336,82.1338611629242,75.2644200055404,71.21625516956699,76.20484544601052,5
cl-tohoku/bert-base-japanese-v3,janli,3e-05,64.0,2.4,307.2,82.20556253436379,82.04885690495152,74.32033386860778,70.21516952587498,75.52812009981142,5
cl-tohoku/bert-base-japanese-v3,janli,5e-05,64.0,2.0,256.0,82.20811074682913,82.20272042693516,75.28277553504753,71.23240985959102,76.23930194052457,5
cl-tohoku/bert-base-japanese-v3,janli,1e-05,128.0,7.0,384.0,82.1634720282838,82.11809906906379,75.44423270169858,71.47624048173785,76.34619075083341,5
cl-tohoku/bert-base-japanese-v3,janli,3e-05,128.0,4.0,256.0,82.05490952650807,82.0628929718559,75.84006308241277,71.71326751774517,76.53874119067129,5
cl-tohoku/bert-base-japanese-v3,janli,5e-05,128.0,2.0,128.0,82.2794751914461,82.1143320250666,75.24036959993026,71.14700538567968,76.16723567022551,5
cl-tohoku/bert-base-japanese-v3,janli,1e-05,256.0,7.4,204.8,82.00668175611486,81.93959452302033,75.25135743215068,71.17083294075474,76.12059496530858,5
cl-tohoku/bert-base-japanese-v3,janli,3e-05,256.0,4.0,128.0,82.18103892755623,82.16066630596121,75.60014390222588,71.48258176790752,76.41446399203154,5
cl-tohoku/bert-base-japanese-v3,janli,5e-05,256.0,4.0,128.0,82.01618668925053,82.00808831401658,76.46468761873317,72.34135953105567,76.93804515460181,5
cl-tohoku/bert-base-japanese-v3,janli,1e-05,512.0,9.0,128.0,82.04108639038903,82.00781162163855,75.26655356156778,71.19021520367473,76.15486012896035,5
cl-tohoku/bert-base-japanese-v3,janli,3e-05,512.0,4.0,64.0,82.08352758786837,81.91061917179483,75.14713901865753,71.0406448385888,76.0328010096804,5
cl-tohoku/bert-base-japanese-v3,janli,5e-05,512.0,4.0,64.0,82.0839407459728,82.07018885972873,76.27458267783265,72.23582621460893,76.86019925072344,5
cl-tohoku/bert-base-japanese-v3,jsnli,1e-05,64.0,0.0,768.0,83.1712307174138,82.32032252758285,80.80410856772134,77.65789220867252,80.2607744346589,5
cl-tohoku/bert-base-japanese-v3,jsnli,3e-05,64.0,0.0,512.0,83.07514859548345,82.20373349870984,81.04000194591315,78.00090758537905,80.41488101000067,5
