model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
cl-tohoku/bert-base-japanese-whole-word-masking,janli,1e-05,64.0,8.2,921.6,81.2684613515352,81.0466180134955,76.4214887539079,71.28145240785781,76.2498530584204,5
cl-tohoku/bert-base-japanese-whole-word-masking,janli,3e-05,64.0,4.6,563.2,81.25778134883646,80.9646499393452,76.32515591001842,71.24598191823819,76.17859592253393,5
cl-tohoku/bert-base-japanese-whole-word-masking,janli,5e-05,64.0,3.2,409.6,81.03104648044344,80.76284389636646,76.09540227404428,71.07229979545014,75.97684865528694,5
cl-tohoku/bert-base-japanese-whole-word-masking,janli,1e-05,128.0,9.0,512.0,80.99684393511345,80.76195084079757,75.75628732508942,70.89841488040277,75.80555101542993,5
cl-tohoku/bert-base-japanese-whole-word-masking,janli,3e-05,128.0,4.0,256.0,81.30580827324084,80.99889990203476,75.61884773159636,70.73975205982083,75.78583323115065,5
cl-tohoku/bert-base-japanese-whole-word-masking,janli,5e-05,128.0,4.0,256.0,81.02998931622639,80.72086305959537,76.25184282639714,71.35328578932345,76.10866389177198,5
cl-tohoku/bert-base-japanese-whole-word-masking,janli,1e-05,256.0,10.2,281.6,80.99151005909536,80.77072015557346,75.36564632762686,70.63720849765873,75.59119166028636,5
cl-tohoku/bert-base-japanese-whole-word-masking,janli,3e-05,256.0,7.0,192.0,80.93332492362214,80.72446046404777,75.50456885471331,70.71448557462921,75.64783829779677,5
cl-tohoku/bert-base-japanese-whole-word-masking,janli,5e-05,256.0,4.0,128.0,81.03235331492195,80.77944007036469,75.70351658359102,70.84867459619224,75.77721041671597,5
cl-tohoku/bert-base-japanese-whole-word-masking,janli,1e-05,512.0,13.6,185.6,80.84281175645683,80.61824803053287,75.31194772738523,70.61876118469668,75.5163189808716,5
cl-tohoku/bert-base-japanese-whole-word-masking,janli,3e-05,512.0,7.8,108.8,80.76489159428311,80.46218551736509,75.30546178939183,70.62808353517252,75.46524361397647,5
cl-tohoku/bert-base-japanese-whole-word-masking,janli,5e-05,512.0,7.0,96.0,80.92410377965341,80.60275774614345,75.62571303744393,70.80972422544525,75.6793983363442,5
cl-tohoku/bert-base-japanese-whole-word-masking,jsnli,1e-05,64.0,0.0,870.4,82.7434990849321,81.8117141728929,78.91104999235836,75.85621341323683,78.85965919282937,5
cl-tohoku/bert-base-japanese-whole-word-masking,jsnli,3e-05,64.0,0.0,512.0,82.83474225086717,81.95520156091652,78.940936369174,75.92134047421601,78.93915946810218,5
cl-tohoku/bert-base-japanese-whole-word-masking,jsnli,5e-05,64.0,0.0,460.8,82.25705853830046,81.40898065243454,78.38547748869911,75.62726369252533,78.47390727788633,5
cl-tohoku/bert-base-japanese-whole-word-masking,jsnli,1e-05,128.0,0.0,665.6,82.77674389177591,81.80832978645081,79.0362824914939,76.04184998793832,78.96215408862767,5
