model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
cl-tohoku/bert-base-japanese,janli,1e-05,64.0,7.4,819.2,80.04275755811061,79.93968206050279,73.29334382786338,69.33861193064024,74.1905459396688,5
cl-tohoku/bert-base-japanese,janli,3e-05,64.0,4.0,512.0,80.1247931699871,80.10196391194779,73.56308806197524,69.4915149946009,74.38552232284131,5
cl-tohoku/bert-base-japanese,janli,5e-05,64.0,2.0,256.0,79.92944437094033,79.73960321932421,73.09653875522197,68.98374742709335,73.93996313387984,5
cl-tohoku/bert-base-japanese,janli,1e-05,128.0,8.2,460.8,80.02679697303128,79.95366741767762,73.2117798236164,69.15177138213623,74.10573954114342,5
cl-tohoku/bert-base-japanese,janli,3e-05,128.0,4.0,256.0,80.10063873781596,79.8984858385918,73.08240405282159,69.15633378332754,74.04574122491364,5
cl-tohoku/bert-base-japanese,janli,5e-05,128.0,3.6,230.4,79.63972271787085,79.52793469024951,73.18546931206171,69.17971995622648,73.96437465284589,5
cl-tohoku/bert-base-japanese,janli,1e-05,256.0,9.6,268.8,79.72898684563945,79.72027505363693,72.76118237656911,68.8717302449646,73.78439589172355,5
cl-tohoku/bert-base-japanese,janli,3e-05,256.0,5.8,166.4,79.75276090457406,79.74715448388125,72.8594663363358,68.8538071654544,73.82014266189049,5
cl-tohoku/bert-base-japanese,janli,5e-05,256.0,4.0,128.0,79.65856027897526,79.61323650295853,72.83446096567602,68.76490017134856,73.73753254666104,5
cl-tohoku/bert-base-japanese,janli,1e-05,512.0,12.4,166.4,79.58315817385399,79.51121145711389,72.70602014687213,68.7389763927004,73.6520693322288,5
cl-tohoku/bert-base-japanese,janli,3e-05,512.0,7.4,102.4,79.73563333775955,79.62519185278117,72.78391979198916,68.886466161706,73.76519260215878,5
cl-tohoku/bert-base-japanese,janli,5e-05,512.0,5.8,83.2,79.63894606351315,79.60392049765274,73.07635211610292,69.06000472215968,73.91342577863844,5
cl-tohoku/bert-base-japanese,jsnli,1e-05,64.0,0.0,1228.8,82.85070930151366,82.00227480364538,78.32911401190783,75.48544911509605,78.60561264354976,5
cl-tohoku/bert-base-japanese,jsnli,3e-05,64.0,0.0,665.6,83.01196509093778,82.09657682474169,77.98592839170146,75.00966773237073,78.36405764960463,5
cl-tohoku/bert-base-japanese,jsnli,5e-05,64.0,0.0,563.2,82.9468662218438,82.16520089944024,78.28952039178976,75.3431409454557,78.59928741222856,5
cl-tohoku/bert-base-japanese,jsnli,1e-05,128.0,0.0,742.4,83.0983073117167,82.29262136534466,78.20480830611348,75.3556457978524,78.61769182310351,5
cl-tohoku/bert-base-japanese,jsnli,3e-05,128.0,0.0,460.8,83.20808457957251,82.39778541362412,78.36241619017099,75.32155169502212,78.6939177662724,5
cl-tohoku/bert-base-japanese,jsnli,5e-05,128.0,0.0,409.6,82.79887789454833,82.00572278806753,78.28975001980629,75.34407283782299,78.54651521523226,5
cl-tohoku/bert-base-japanese,jsnli,1e-05,256.0,0.4,524.8,83.16047650689066,82.24264974823896,78.55351675703086,75.43632591441335,78.7441641398944,5
cl-tohoku/bert-base-japanese,jsnli,3e-05,256.0,0.0,332.8,83.30560068466657,82.44149933201324,78.67057674824589,75.45279073609302,78.85495560545073,5
