model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
cl-tohoku/bert-large-japanese-char-v2,janli,1e-05,64.0,6.8,768.0,80.57030346494346,80.08599597427715,77.80172338682092,72.76402164429051,76.88391366846285,5
cl-tohoku/bert-large-japanese-char-v2,janli,3e-05,64.0,3.6,460.8,80.76312397910274,80.19571815390695,77.83780765882912,72.78530672196342,76.93961084489983,5
cl-tohoku/bert-large-japanese-char-v2,janli,5e-05,64.0,2.4,307.2,80.3902951290141,79.93852780887953,77.42777906527397,72.47403502922681,76.61344730112677,5
cl-tohoku/bert-large-japanese-char-v2,janli,1e-05,128.0,7.4,409.6,80.00134995644837,79.43190757545787,77.46962623268391,72.33713051471663,76.41288810761948,5
cl-tohoku/bert-large-japanese-char-v2,janli,3e-05,128.0,4.0,256.0,80.14025213043023,79.5505675634686,77.72740792742835,72.7307193958076,76.66956496223484,5
cl-tohoku/bert-large-japanese-char-v2,janli,5e-05,128.0,4.6,281.6,80.07625650742234,79.40419571534413,78.32258858818109,73.40261006332152,77.04313145561557,5
cl-tohoku/bert-large-japanese-char-v2,janli,1e-05,256.0,10.6,294.4,79.7465721679887,79.0854700616172,77.11577305801856,72.17865578956969,76.12663296973516,5
cl-tohoku/bert-large-japanese-char-v2,janli,3e-05,256.0,4.0,128.0,79.84554901958988,79.33755377856411,77.2392611836898,72.29088445492891,76.28923313906094,5
cl-tohoku/bert-large-japanese-char-v2,janli,5e-05,256.0,2.4,76.8,79.62347528020298,78.93037139372612,76.29972180516033,71.38584576424445,75.53864632104364,5
cl-tohoku/bert-large-japanese-char-v2,janli,1e-05,512.0,10.8,147.2,79.4107293718668,78.77271089377942,76.82871701939933,71.91402065512646,75.83848285610175,5
cl-tohoku/bert-large-japanese-char-v2,janli,3e-05,512.0,6.2,89.6,79.09292028886524,78.38624233189975,76.67244755276177,71.74797469109168,75.60222152525107,5
cl-tohoku/bert-large-japanese-char-v2,janli,5e-05,512.0,4.0,64.0,79.62680109427431,78.94257814945391,76.65984770467398,71.90921760688194,75.83721448700328,5
cl-tohoku/bert-large-japanese-char-v2,jsnli,1e-05,64.0,0.0,512.0,83.03446353196024,81.50438732200504,80.3278233939208,77.54474854577184,79.79231975389922,5
cl-tohoku/bert-large-japanese-char-v2,jsnli,3e-05,64.0,0.0,256.0,82.30332550019133,80.85436747571815,79.67189195172804,77.02374988532661,79.18333643759095,5
cl-tohoku/bert-large-japanese-char-v2,jsnli,5e-05,64.0,0.0,256.0,83.27874444367131,81.84416289592822,80.62602010479897,77.81921202915844,80.09646500996188,5
cl-tohoku/bert-large-japanese-char-v2,jsnli,1e-05,128.0,0.0,384.0,83.56596224916652,82.11134461308033,80.7628538616882,78.01716603678386,80.2971215038508,5
cl-tohoku/bert-large-japanese-char-v2,jsnli,3e-05,128.0,0.0,256.0,83.31268640511834,81.95557128365144,80.8584668271691,78.25793066512081,80.35732292531378,5
cl-tohoku/bert-large-japanese-char-v2,jsnli,5e-05,128.0,0.0,128.0,82.31990112490908,80.81270912577642,79.73033418099678,77.12748826706243,79.22351052461187,5
cl-tohoku/bert-large-japanese-char-v2,jsnli,1e-05,256.0,0.0,256.0,83.63301664694235,82.14229343526745,80.87507247551268,77.97402952063295,80.33046514380436,5
cl-tohoku/bert-large-japanese-char-v2,jsnli,3e-05,256.0,0.0,128.0,83.22179152622986,81.663341592053,80.37460757345062,77.52813090831363,79.85536002460574,5
cl-tohoku/bert-large-japanese-char-v2,jsnli,5e-05,256.0,0.0,128.0,83.22359545230805,81.89618038361859,80.75891817176344,78.06676125044751,80.24061993527651,5
cl-tohoku/bert-large-japanese-char-v2,jsnli,1e-05,512.0,0.0,160.0,83.60564155122093,82.08967294031387,80.67760543763984,77.75729611730358,80.17485816508577,5
cl-tohoku/bert-large-japanese-char-v2,jsnli,3e-05,512.0,0.0,102.4,83.3557403009889,81.85891714531195,80.56491974326605,77.78373361458868,80.06919016772221,5
cl-tohoku/bert-large-japanese-char-v2,jsnli,5e-05,512.0,0.0,96.0,83.20087960578651,81.90669547923599,81.09239888241737,78.43117392403941,80.47675609523091,5
cl-tohoku/bert-large-japanese-char-v2,nu-mnli,1e-05,64.0,0.0,409.6,72.65636978205924,72.72517666008044,77.45902509921159,73.72704527526736,74.63708234485314,5
cl-tohoku/bert-large-japanese-char-v2,nu-mnli,3e-05,64.0,0.0,819.2,72.45563447845387,72.77042222756852,81.52844724824834,79.54798876152374,77.9489527457802,5
cl-tohoku/bert-large-japanese-char-v2,nu-mnli,5e-05,64.0,0.0,921.6,71.64235118361464,71.78903624289492,81.33151334683136,78.97343036631386,77.3646599853467,5
cl-tohoku/bert-large-japanese-char-v2,nu-mnli,1e-05,128.0,0.0,435.2,71.55492369044222,71.6545862292339,79.03863355374011,75.62420006396088,75.4391399489783,5
cl-tohoku/bert-large-japanese-char-v2,nu-mnli,3e-05,128.0,0.2,640.0,72.90210516110552,73.1103229114888,80.17527006023874,77.28220352061143,76.855932164113,5
cl-tohoku/bert-large-japanese-char-v2,nu-mnli,5e-05,128.0,0.0,332.8,71.8321007547158,72.0548943852608,81.6530705742899,79.28998460370522,77.66598318775198,5
cl-tohoku/bert-large-japanese-char-v2,nu-mnli,1e-05,256.0,0.0,128.0,75.25637308164724,75.31548985840068,77.7897301663456,74.2779118583468,75.79437729436435,5
cl-tohoku/bert-large-japanese-char-v2,nu-mnli,3e-05,256.0,0.0,64.0,74.85053005493353,74.7345178248891,75.87021775332862,72.09503376875838,74.23325644899204,5
cl-tohoku/bert-large-japanese-char-v2,nu-mnli,5e-05,256.0,0.0,64.0,75.97359763410564,75.9372918509119,77.82933019065057,74.44845126935779,76.07169110364009,5
cl-tohoku/bert-large-japanese-char-v2,nu-mnli,1e-05,512.0,0.0,96.0,76.04482443648143,76.01740647293587,78.40724320971783,75.35501540635218,76.59322169633529,5
cl-tohoku/bert-large-japanese-char-v2,nu-mnli,3e-05,512.0,0.0,64.0,74.92999288339664,75.02115840116839,79.29772238194059,76.19121603347956,76.83669893886285,5
cl-tohoku/bert-large-japanese-char-v2,nu-mnli,5e-05,512.0,0.2,140.8,73.97904838449087,74.07370062304145,80.27583674153705,77.6654258708008,77.33832107845976,5
cl-tohoku/bert-large-japanese-char-v2,nu-snli,1e-05,64.0,0.0,512.0,82.44666218494247,81.18081577879161,80.08172394185463,77.64481342336033,79.63578438133553,5
cl-tohoku/bert-large-japanese-char-v2,nu-snli,3e-05,64.0,0.0,256.0,81.93986962200633,80.745923700538,79.8294526510173,77.30199685411573,79.29245773522368,5
cl-tohoku/bert-large-japanese-char-v2,nu-snli,5e-05,64.0,0.0,256.0,82.48171480143408,81.2218900449704,80.19985165297865,77.84051788260727,79.7540865268521,5
cl-tohoku/bert-large-japanese-char-v2,nu-snli,1e-05,128.0,0.0,384.0,83.13075053583889,81.95075397969694,80.4909895242773,78.06292697849669,80.16822349415698,5
cl-tohoku/bert-large-japanese-char-v2,nu-snli,3e-05,128.0,0.0,256.0,82.64249252277946,81.39446073498489,80.57893116249004,78.35268207449066,80.10869132398852,5
cl-tohoku/bert-large-japanese-char-v2,nu-snli,5e-05,128.0,0.0,128.0,81.58766616815903,80.41405698904722,79.54893150045903,76.94961161462516,78.97086670137712,5
cl-tohoku/bert-large-japanese-char-v2,nu-snli,1e-05,256.0,0.0,256.0,83.24396750856486,81.97462748547177,80.44918045187632,77.87871299944845,80.10084031226552,5
cl-tohoku/bert-large-japanese-char-v2,nu-snli,3e-05,256.0,0.0,140.8,82.72704207081776,81.50889107726759,79.974144119498,77.54620784146572,79.67641434607711,5
cl-tohoku/bert-large-japanese-char-v2,nu-snli,5e-05,256.0,0.0,128.0,82.99707461369908,81.80079772588365,80.26469299129367,77.75591466282967,79.94046846000234,5
cl-tohoku/bert-large-japanese-char-v2,nu-snli,1e-05,512.0,0.0,166.4,83.11393307239813,81.83705776979188,80.1006050779657,77.47838347168673,79.8053487731481,5
cl-tohoku/bert-large-japanese-char-v2,nu-snli,3e-05,512.0,0.0,102.4,83.27566671456512,82.05012608584309,80.30035262521935,77.65538368712586,80.00195413272942,5
cl-tohoku/bert-large-japanese-char-v2,nu-snli,5e-05,512.0,0.0,96.0,82.72084894763864,81.59736421258629,80.16133445600006,77.4612784721455,79.73999238024395,5
cl-tohoku/bert-large-japanese-char-v2,nu-snli+mnli,1e-05,64.0,0.0,256.0,79.523172848709,78.85602533714776,78.08017991608804,75.21880639962815,77.38500388428798,5
cl-tohoku/bert-large-japanese-char-v2,nu-snli+mnli,3e-05,64.0,0.0,256.0,80.53442401653895,79.7914621224559,80.47165669384329,78.38060310831322,79.54790730820415,5
cl-tohoku/bert-large-japanese-char-v2,nu-snli+mnli,5e-05,64.0,0.0,460.8,78.53677059005895,77.74759806726551,81.03150939115126,79.5475495091744,79.44221898919706,5
cl-tohoku/bert-large-japanese-char-v2,nu-snli+mnli,1e-05,128.0,0.0,256.0,81.49595100400909,80.72090418522781,80.35297642499611,78.03591488355444,79.70326516459279,5
cl-tohoku/bert-large-japanese-char-v2,nu-snli+mnli,3e-05,128.0,0.0,128.0,81.28223730980524,80.55038192222734,79.52968049185473,76.88491075846551,78.9883243908492,5
cl-tohoku/bert-large-japanese-char-v2,nu-snli+mnli,5e-05,128.0,0.0,179.2,81.33405772603439,80.4337313751533,80.94633480610494,78.72049691199767,80.0335210310853,5
cl-tohoku/bert-large-japanese-char-v2,nu-snli+mnli,1e-05,256.0,0.0,153.6,80.96894138028964,80.1264683716615,79.75543900856205,77.34183132215587,79.0745795674598,5
cl-tohoku/bert-large-japanese-char-v2,nu-snli+mnli,3e-05,256.0,0.0,166.4,79.962865980049,79.2241709665294,81.59250207132537,79.6642967019686,80.1603232466078,5
