model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
cl-tohoku/bert-large-japanese-v2,janli,1e-05,64.0,5.2,614.4,80.93100527958468,80.9230157405561,78.20064640686194,73.66190904719672,77.5951903982049,5
cl-tohoku/bert-large-japanese-v2,janli,3e-05,64.0,3.8,460.8,81.05321956285907,80.95788004548345,78.54177529547715,73.74758416845523,77.74907983647195,5
cl-tohoku/bert-large-japanese-v2,janli,5e-05,64.0,2.0,256.0,81.07578723865711,81.076013449638,78.58483825512344,73.90100489406608,77.85395219960917,5
cl-tohoku/bert-large-japanese-v2,janli,1e-05,128.0,8.8,486.4,80.90270771415456,80.80477668420998,78.52375997739651,73.7871375731111,77.70522474490585,5
cl-tohoku/bert-large-japanese-v2,janli,3e-05,128.0,3.2,204.8,80.82138763835428,80.77474134008506,78.12911668515373,73.43086027045415,77.44490609856432,5
cl-tohoku/bert-large-japanese-v2,janli,5e-05,128.0,2.0,128.0,80.974574534615,80.91375579799293,77.96319784698645,73.42487411837502,77.4339425877848,5
cl-tohoku/bert-large-japanese-v2,janli,1e-05,256.0,7.0,192.0,80.48927708952768,80.47490813703345,77.7790406991978,73.25376695499746,77.16923859707623,5
cl-tohoku/bert-large-japanese-v2,janli,3e-05,256.0,4.0,128.0,80.76558106418354,80.59943658595012,77.967856740715,73.3149825587447,77.29409196180328,5
cl-tohoku/bert-large-japanese-v2,janli,5e-05,256.0,2.8,89.6,81.1040099162047,80.92489284394571,77.98003916256755,73.41243788723366,77.43912329791564,5
cl-tohoku/bert-large-japanese-v2,janli,1e-05,512.0,7.4,102.4,80.47601502236776,80.51236048099217,77.31319699480832,72.79847323738662,76.87467690439571,5
cl-tohoku/bert-large-japanese-v2,janli,3e-05,512.0,4.0,64.0,80.97372056406634,80.89286948901892,77.67445791258021,73.15441638205081,77.24058126121665,5
cl-tohoku/bert-large-japanese-v2,janli,5e-05,512.0,4.0,64.0,80.94617609221011,80.6909600046761,78.26689251271117,73.65985609121645,77.5392362028679,5
cl-tohoku/bert-large-japanese-v2,jsnli,1e-05,64.0,0.0,512.0,83.38221788309154,82.13988137107518,83.50795266669328,80.34869658679686,81.99884354152178,5
cl-tohoku/bert-large-japanese-v2,jsnli,3e-05,64.0,0.0,256.0,83.64041936723827,82.40450086890492,83.22265049439838,79.74743986851409,81.79153041060579,5
cl-tohoku/bert-large-japanese-v2,jsnli,5e-05,64.0,0.0,256.0,83.23631007867122,81.99146578992844,83.44350710557615,80.38423937201037,81.93973742250499,5
cl-tohoku/bert-large-japanese-v2,jsnli,1e-05,128.0,0.0,281.6,83.27601012941192,82.05166350979437,83.22748424944479,79.73618643466185,81.67177806463367,5
cl-tohoku/bert-large-japanese-v2,jsnli,3e-05,128.0,0.0,153.6,82.87844254882555,81.7491184923099,82.77769002694528,79.32742271965267,81.28474374630261,5
cl-tohoku/bert-large-japanese-v2,jsnli,5e-05,128.0,0.0,128.0,83.46189456138646,82.17054065480167,83.04350241703457,79.56051834122198,81.59152047101941,5
cl-tohoku/bert-large-japanese-v2,jsnli,1e-05,256.0,0.0,204.8,83.85994469056386,82.69064130151816,83.35078000888413,79.94726389179775,81.99622840073334,5
