model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
ku-nlp/deberta-v2-base-japanese,janli,1e-05,64.0,17.0,1843.2,78.6989280760797,78.94494669646913,76.44412266587793,71.11614687999992,75.501738747449,5
ku-nlp/deberta-v2-base-japanese,janli,3e-05,64.0,9.2,1024.0,78.7002838005466,78.8609320778829,76.62001439390895,71.28180368835794,75.5875833867166,5
ku-nlp/deberta-v2-base-japanese,janli,5e-05,64.0,6.4,716.8,78.81307152994,79.13725529551729,76.54490364843376,71.19852208712453,75.6268936770252,5
ku-nlp/deberta-v2-base-japanese,janli,1e-05,128.0,20.2,1075.2,78.67940271897245,78.842596836831,76.51502635205706,71.25481473734928,75.53747930874579,5
ku-nlp/deberta-v2-base-japanese,janli,3e-05,128.0,13.6,742.4,78.6467055030595,78.74660774352733,76.3096278318865,71.14285053096002,75.39969536879127,5
ku-nlp/deberta-v2-base-japanese,janli,5e-05,128.0,9.2,512.0,78.48828455998692,78.60843798192046,76.45899456806592,71.32371192058932,75.46371482352524,5
ku-nlp/deberta-v2-base-japanese,janli,1e-05,256.0,23.2,614.4,78.3991594335469,78.61277361922384,76.49993681972765,71.21464760760594,75.4424526821858,5
ku-nlp/deberta-v2-base-japanese,janli,3e-05,256.0,12.2,332.8,78.45269923440927,78.67595134924045,76.54230165917014,71.1679473940522,75.46206680082093,5
ku-nlp/deberta-v2-base-japanese,janli,5e-05,256.0,8.6,243.2,78.23828422357944,78.41592463873731,76.71196003547905,71.3459538356567,75.49127950329103,5
ku-nlp/deberta-v2-base-japanese,janli,1e-05,512.0,23.8,313.6,78.49822137184843,78.73668006102648,76.42532286649895,71.08313499274155,75.41504597342232,5
ku-nlp/deberta-v2-base-japanese,janli,3e-05,512.0,14.8,198.4,78.38606708684598,78.59697771314018,76.42047032159398,71.36034296358528,75.45926366610648,5
ku-nlp/deberta-v2-base-japanese,janli,5e-05,512.0,11.4,153.6,78.49522386292064,78.7052967845041,76.42202263984728,71.30567953479274,75.4776663197147,5
ku-nlp/deberta-v2-base-japanese,jsnli,1e-05,64.0,0.0,1075.2,79.35324439755108,78.93382203574224,78.67727247027692,75.27048790294728,77.62719413632215,5
ku-nlp/deberta-v2-base-japanese,jsnli,3e-05,64.0,0.0,768.0,78.67250061761472,78.0612873487308,78.51400730272724,75.79888993906108,77.45806153017304,5
ku-nlp/deberta-v2-base-japanese,jsnli,5e-05,64.0,0.0,512.0,78.7074316811877,78.20615562830348,78.40490395670115,75.45510941915309,77.35538966805257,5
ku-nlp/deberta-v2-base-japanese,jsnli,1e-05,128.0,0.0,691.2,79.4614745586027,79.07473622337652,78.34483225716727,75.10924292065482,77.50960380039953,5
ku-nlp/deberta-v2-base-japanese,jsnli,3e-05,128.0,0.0,409.6,79.12759056738786,78.71527893978256,78.49074984727955,75.15936775239581,77.4551321798193,5
ku-nlp/deberta-v2-base-japanese,jsnli,5e-05,128.0,0.0,332.8,79.10523130925519,78.60901671875457,78.24119153465294,75.25583923139354,77.36868249493368,5
ku-nlp/deberta-v2-base-japanese,jsnli,1e-05,256.0,0.2,486.4,79.95305749706021,79.46006079594909,78.51056253233742,75.44554036199119,77.80538789675924,5
ku-nlp/deberta-v2-base-japanese,jsnli,3e-05,256.0,0.0,307.2,79.72848128721651,79.2375515460906,78.66641766576814,75.63956848944699,77.84784590043523,5
ku-nlp/deberta-v2-base-japanese,jsnli,5e-05,256.0,0.0,217.6,79.66383237333777,79.09723022809804,78.38691339261902,75.35539048639124,77.61317803570276,5
ku-nlp/deberta-v2-base-japanese,jsnli,1e-05,512.0,1.8,672.0,81.87266421104162,80.74026603637579,78.28644306989204,74.80444014900398,77.94371641842393,5
ku-nlp/deberta-v2-base-japanese,jsnli,3e-05,512.0,0.6,268.8,81.90413045129415,80.77932233124719,78.38723908100377,74.70563578175322,77.95739906466807,5
ku-nlp/deberta-v2-base-japanese,jsnli,5e-05,512.0,0.2,211.2,81.57716740166471,80.47035738524607,78.2998340128648,74.69002288110836,77.82007142640641,5
ku-nlp/deberta-v2-base-japanese,nu-mnli,1e-05,64.0,0.4,1894.4,69.83654850983109,70.03111744953341,79.06689664425372,76.09692169389633,75.06497859589449,5
ku-nlp/deberta-v2-base-japanese,nu-mnli,3e-05,64.0,0.4,1382.4,70.52549154322901,70.57621570215316,79.4580751099242,76.2678842963068,75.43405836946138,5
ku-nlp/deberta-v2-base-japanese,nu-mnli,5e-05,64.0,0.8,2969.6,70.73965450145108,70.80581844069113,79.80848423996183,77.06861816623741,75.89430694896346,5
ku-nlp/deberta-v2-base-japanese,nu-mnli,1e-05,128.0,0.0,486.4,70.69221594931432,70.74836889073401,78.39346561452302,74.94464983638417,74.69549478054707,5
ku-nlp/deberta-v2-base-japanese,nu-mnli,3e-05,128.0,0.0,512.0,71.2961310000771,71.30617305798599,79.14811815779383,75.85565985559413,75.43665035712465,5
ku-nlp/deberta-v2-base-japanese,nu-mnli,5e-05,128.0,0.2,512.0,71.1947509308438,71.28878775343689,79.18299643952658,75.92176728517634,75.46451715937994,5
ku-nlp/deberta-v2-base-japanese,nu-mnli,1e-05,256.0,0.0,217.6,71.24320845752115,71.19298410928658,76.88310885306117,73.08762414709466,73.7212390364808,5
ku-nlp/deberta-v2-base-japanese,nu-mnli,3e-05,256.0,0.6,524.8,71.25709019415082,71.29399798287952,79.0590282813614,75.73546992614277,75.36283206346124,5
ku-nlp/deberta-v2-base-japanese,nu-mnli,5e-05,256.0,0.4,332.8,71.47890326020543,71.50570215835813,78.63956596052468,75.41273374159253,75.18600062015847,5
ku-nlp/deberta-v2-base-japanese,nu-mnli,1e-05,512.0,0.0,134.4,71.81901875887404,71.67523823855234,77.01721708431805,73.09439764180294,73.92895098822444,5
ku-nlp/deberta-v2-base-japanese,nu-mnli,3e-05,512.0,0.4,217.6,71.88341908744869,71.76909290903083,78.31314306095923,74.77499665078983,74.95241087359331,5
ku-nlp/deberta-v2-base-japanese,nu-mnli,5e-05,512.0,0.4,211.2,71.75572267514515,71.81891988453637,79.49329387771157,76.17813972274335,75.83011782833043,5
ku-nlp/deberta-v2-base-japanese,nu-snli,1e-05,64.0,0.0,870.4,78.35810293076982,78.02975313306975,78.84159685643397,75.8053977609197,77.55891591680779,5
ku-nlp/deberta-v2-base-japanese,nu-snli,3e-05,64.0,0.0,563.2,77.8919838138498,77.55651944171214,78.6609587627089,75.68216120483957,77.29987980308687,5
ku-nlp/deberta-v2-base-japanese,nu-snli,5e-05,64.0,0.0,307.2,77.82996265227243,77.43645191483742,78.00365870347032,74.54974059270292,76.66328373700355,5
ku-nlp/deberta-v2-base-japanese,nu-snli,1e-05,128.0,0.0,588.8,78.89814357290024,78.5298024754213,78.7365313026223,75.87051859165643,77.71228412323335,5
ku-nlp/deberta-v2-base-japanese,nu-snli,3e-05,128.0,0.0,384.0,79.34330750507435,78.9294883228013,79.12762458777631,76.3905133762772,78.14920876228494,5
ku-nlp/deberta-v2-base-japanese,nu-snli,5e-05,128.0,0.0,256.0,78.46760555730643,78.21492361099321,78.61049084580733,75.40361177584307,77.4096754108812,5
ku-nlp/deberta-v2-base-japanese,nu-snli,1e-05,256.0,0.0,396.8,79.44516404492127,79.08964250414186,78.85796799877826,76.06111704383056,78.00290918225024,5
ku-nlp/deberta-v2-base-japanese,nu-snli,3e-05,256.0,0.0,268.8,79.23517136885171,78.74647985428395,78.97895646700442,76.21679402094199,77.98074344741012,5
ku-nlp/deberta-v2-base-japanese,nu-snli,5e-05,256.0,0.0,192.0,78.6994968435847,78.3457199004543,78.61027812502014,75.89882246386762,77.61827349644736,5
ku-nlp/deberta-v2-base-japanese,nu-snli,1e-05,512.0,0.8,358.4,79.57931977661426,79.18629158746491,78.86795326639665,76.09314316979064,78.0491293412174,5
ku-nlp/deberta-v2-base-japanese,nu-snli,3e-05,512.0,0.0,160.0,79.9467697078923,79.4534375132625,78.78738029788917,75.95783556602586,78.06621779239251,5
ku-nlp/deberta-v2-base-japanese,nu-snli,5e-05,512.0,0.0,128.0,80.01263258467887,79.5730086999638,78.7533498273647,75.83527880053191,78.0538791092868,5
ku-nlp/deberta-v2-base-japanese,nu-snli+mnli,1e-05,64.0,0.0,1382.4,75.55935348907535,75.5135698855105,80.15378371544452,77.97075832454864,77.87937064183454,5
