model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
ku-nlp/deberta-v2-large-japanese,janli,1e-05,64.0,32.6,3481.6,77.29839674764511,76.75911330959863,77.095293773727,72.48873837218036,75.44771515183533,5
ku-nlp/deberta-v2-large-japanese,janli,3e-05,64.0,11.8,1280.0,76.85784488614479,76.70930469326822,77.22674392864215,72.64369299139372,75.52658053776803,5
ku-nlp/deberta-v2-large-japanese,janli,5e-05,64.0,8.8,972.8,76.99392641337937,76.74504790444743,76.94360243881992,72.24407592000894,75.31090875442544,5
ku-nlp/deberta-v2-large-japanese,janli,1e-05,128.0,26.2,1382.4,77.20109748302153,76.82036052167147,76.99279579992604,72.41348424307867,75.4088801882254,5
ku-nlp/deberta-v2-large-japanese,janli,3e-05,128.0,12.8,691.2,76.83984345453572,76.63998419093093,76.89202785729819,72.29832104545451,75.27677769789454,5
ku-nlp/deberta-v2-large-japanese,janli,5e-05,128.0,7.2,409.6,76.76378550767272,76.56595452711731,76.90001803010128,72.38524320453001,75.28373858724953,5
ku-nlp/deberta-v2-large-japanese,janli,1e-05,256.0,30.4,806.4,76.78186594219957,76.47215250246323,76.92807666418875,72.39746007818071,75.26589641494424,5
ku-nlp/deberta-v2-large-japanese,janli,3e-05,256.0,18.2,486.4,77.20707936767724,76.80704531544966,76.78950588594032,72.35621279790256,75.31758799976419,5
ku-nlp/deberta-v2-large-japanese,janli,5e-05,256.0,12.8,345.6,77.27682569965538,76.87663732865195,76.75485992674793,72.28788397427422,75.30646040989137,5
ku-nlp/deberta-v2-large-japanese,janli,1e-05,512.0,32.8,435.2,76.85904544134202,76.52532374672623,76.84342631306981,72.3755902535469,75.24811343778099,5
ku-nlp/deberta-v2-large-japanese,janli,3e-05,512.0,19.4,256.0,77.09684873157144,76.6700394517187,76.71690568315533,72.12600993537565,75.17098502341655,5
ku-nlp/deberta-v2-large-japanese,janli,5e-05,512.0,15.8,211.2,77.55546400525152,77.05483439910356,76.4118857241718,72.12226997465166,75.19633003264234,5
ku-nlp/deberta-v2-large-japanese,jsnli,1e-05,64.0,0.0,870.4,77.99550691802865,77.75635931006737,80.29597505633258,77.71719969924627,78.58984468854874,5
ku-nlp/deberta-v2-large-japanese,jsnli,3e-05,64.0,0.4,1484.8,77.73191144295332,77.40743562499665,80.41453994709163,77.59616649932613,78.4727140238048,5
ku-nlp/deberta-v2-large-japanese,jsnli,5e-05,64.0,0.0,972.8,78.5331309780319,77.93707823553919,80.2037794423773,77.59405426654148,78.57830398148599,5
ku-nlp/deberta-v2-large-japanese,jsnli,1e-05,128.0,0.0,512.0,78.343479705814,77.99554656969673,80.09559287491021,77.18748745275103,78.42620896578599,5
ku-nlp/deberta-v2-large-japanese,jsnli,3e-05,128.0,0.0,307.2,78.95493490481078,78.59588189304489,80.17897120477068,77.35129674983882,78.7087166158848,5
