model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
ku-nlp/roberta-large-japanese-char-wwm,janli,1e-05,64.0,4.0,512.0,81.6458105408151,81.03363107960043,77.4931963572601,72.46550102209545,76.997442819652,5
ku-nlp/roberta-large-japanese-char-wwm,janli,3e-05,64.0,2.0,256.0,81.70285418736623,81.0123327328839,77.5231579003063,72.59921790720657,77.04490284679892,5
ku-nlp/roberta-large-japanese-char-wwm,janli,5e-05,64.0,2.0,256.0,81.23218167380965,80.64683256705807,77.57654044433761,72.65560312873785,76.95965871337785,5
ku-nlp/roberta-large-japanese-char-wwm,janli,1e-05,128.0,4.0,256.0,81.97087893141483,81.27594754282067,77.36023117068464,72.54788201827911,77.06135357726149,5
ku-nlp/roberta-large-japanese-char-wwm,janli,3e-05,128.0,2.0,128.0,81.59159232058691,80.92867793310991,77.4257984192071,72.73641959509428,77.0302986491371,5
ku-nlp/roberta-large-japanese-char-wwm,janli,5e-05,128.0,2.0,128.0,81.86826873679927,81.23859859396237,77.3179980962343,72.5984072481598,77.05166797945216,5
ku-nlp/roberta-large-japanese-char-wwm,janli,1e-05,256.0,4.0,128.0,81.67296178960562,80.86218785724995,76.83735741682605,72.21368807367101,76.637744449249,5
ku-nlp/roberta-large-japanese-char-wwm,janli,3e-05,256.0,3.6,115.2,80.51057353500373,79.81122118584128,76.39210945647831,72.13906700458763,76.11413254896908,5
ku-nlp/roberta-large-japanese-char-wwm,janli,5e-05,256.0,2.0,64.0,81.51227292966902,80.81576743292449,76.93383944213333,72.43264756387629,76.72741814631136,5
ku-nlp/roberta-large-japanese-char-wwm,janli,1e-05,512.0,7.0,96.0,81.40875679277438,80.76005936777251,76.99958800420086,72.40194495526478,76.72053077574606,5
ku-nlp/roberta-large-japanese-char-wwm,janli,3e-05,512.0,4.0,64.0,81.30766473868098,80.60368133213615,76.76581705209348,72.21099069042755,76.5268296915524,5
ku-nlp/roberta-large-japanese-char-wwm,janli,5e-05,512.0,4.0,64.0,80.97910944325852,80.18106011976636,76.55860799454109,72.02811636112217,76.25592815847655,5
ku-nlp/roberta-large-japanese-char-wwm,jsnli,1e-05,64.0,0.0,665.6,82.68698167648438,81.2180791020436,80.95156201585408,77.5561960551926,79.90861239103009,5
