model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
megagonlabs/roberta-long-japanese,janli,1e-05,64.0,6.2,716.8,77.74974893978667,77.92603463395332,71.9400137332954,66.80738563180205,72.2244779996836,5
megagonlabs/roberta-long-japanese,janli,3e-05,64.0,4.4,512.0,77.55988551569516,77.79912209133651,71.84754892785419,66.64014208469935,72.09560436796335,5
megagonlabs/roberta-long-japanese,janli,5e-05,64.0,2.0,256.0,77.43749707798128,77.61833291705088,71.99496358295595,66.55874273508732,72.05734641169806,5
megagonlabs/roberta-long-japanese,janli,1e-05,128.0,7.8,435.2,77.93787702299797,78.12230035736654,71.9994598289293,66.86079417596292,72.32751812075293,5
megagonlabs/roberta-long-japanese,janli,3e-05,128.0,2.0,128.0,77.72558416975194,78.0488916225308,72.14018829925973,66.5049854134557,72.23135511174874,5
megagonlabs/roberta-long-japanese,janli,5e-05,128.0,2.4,153.6,77.57215621749575,77.73741369503847,72.17822113996604,66.79064346408286,72.23542609969579,5
megagonlabs/roberta-long-japanese,janli,1e-05,256.0,4.6,140.8,77.74665625376511,78.0195400292522,71.95793887122775,66.30160196699599,72.09302695582531,5
megagonlabs/roberta-long-japanese,janli,3e-05,256.0,2.0,64.0,77.96641643358453,78.24677529007913,71.92186331747502,66.22885124493355,72.13249661749589,5
megagonlabs/roberta-long-japanese,janli,5e-05,256.0,2.0,64.0,78.39786035463203,78.47729848521178,72.21644052408617,66.59970032604856,72.4311464451155,5
megagonlabs/roberta-long-japanese,janli,1e-05,512.0,7.0,96.0,77.85591095977608,78.10051593824598,72.10452737213834,66.43489825771982,72.2133138560347,5
megagonlabs/roberta-long-japanese,janli,3e-05,512.0,4.6,70.4,77.78766912919914,77.98651571546088,72.29791141677919,66.84535762163111,72.37659491795706,5
megagonlabs/roberta-long-japanese,janli,5e-05,512.0,2.4,38.4,77.59122281815819,77.78562646639077,71.89681297622154,65.90959079182514,71.86401007814581,5
megagonlabs/roberta-long-japanese,jsnli,1e-05,64.0,0.0,921.6,81.7209859659497,80.2853929331164,75.83810814867554,71.65307768719491,75.92552625632895,5
megagonlabs/roberta-long-japanese,jsnli,3e-05,64.0,0.0,512.0,81.45745100658065,80.02211700390482,75.44725849459525,71.52373846350285,75.66437132066764,5
megagonlabs/roberta-long-japanese,jsnli,5e-05,64.0,0.0,409.6,81.37199925972016,79.93948733639427,75.55857964385953,71.44519404595555,75.64775367540312,5
megagonlabs/roberta-long-japanese,jsnli,1e-05,128.0,0.0,614.4,81.77257511635308,80.18743152786419,75.87948670766437,71.88557482093208,75.98416435215356,5
megagonlabs/roberta-long-japanese,jsnli,3e-05,128.0,0.0,384.0,81.66612555047615,80.23289800997571,76.01503690290167,71.87937807238328,76.04243766175355,5
megagonlabs/roberta-long-japanese,jsnli,5e-05,128.0,0.0,409.6,81.70503067610477,80.21189303136649,76.06121228128288,71.87374832152705,76.04895121139214,5
megagonlabs/roberta-long-japanese,jsnli,1e-05,256.0,0.2,486.4,82.10638235611513,80.55156799285189,76.2030964681641,72.19006017802306,76.31490821301301,5
megagonlabs/roberta-long-japanese,jsnli,3e-05,256.0,0.0,217.6,81.92373253553376,80.3724981292967,76.01149102361582,71.78459301809755,76.05619405700335,5
megagonlabs/roberta-long-japanese,jsnli,5e-05,256.0,0.0,179.2,81.89591483570311,80.31513674880107,76.07620423576304,71.806511867945,76.06595095083637,5
