model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
nlp-waseda/roberta-base-japanese,janli,1e-05,64.0,10.8,1177.6,79.85236947516124,80.23325908248401,70.2229801950597,65.87246026701656,72.10956651485343,5
nlp-waseda/roberta-base-japanese,janli,3e-05,64.0,6.2,716.8,79.40649460966236,79.70811766165679,72.8735631835978,68.41283804612495,73.66483963045985,5
nlp-waseda/roberta-base-japanese,janli,5e-05,64.0,5.0,614.4,80.56384406097686,80.707513938116,70.21111439106748,66.2826078107863,72.4004120466566,5
nlp-waseda/roberta-base-japanese,janli,1e-05,128.0,9.6,537.6,77.99668431837252,78.68638095649621,72.74829604762192,67.9272900203222,73.12065567481343,5
nlp-waseda/roberta-base-japanese,janli,3e-05,128.0,7.4,409.6,79.9873763651045,80.23240053451913,70.43113076327327,66.70148563084608,72.4550056428795,5
nlp-waseda/roberta-base-japanese,janli,5e-05,128.0,6.2,358.4,79.38851443501865,79.67437077799131,74.91530870233899,70.46472024551774,75.01813324194934,5
nlp-waseda/roberta-base-japanese,janli,1e-05,256.0,16.8,448.0,78.28424892039361,78.80272359235869,73.45682192573685,68.58643684111856,73.61532745307136,5
nlp-waseda/roberta-base-japanese,janli,3e-05,256.0,8.0,217.6,78.30429848047542,78.97243134168448,73.46898706525252,68.71407350099452,73.71849730264384,5
nlp-waseda/roberta-base-japanese,janli,5e-05,256.0,5.6,166.4,79.54009244229758,79.85735720153993,74.23831048076244,69.72547105579648,74.60704624603295,5
nlp-waseda/roberta-base-japanese,janli,1e-05,512.0,17.4,230.4,78.18344579054637,78.69065249402645,73.24985738665899,68.39231483355461,73.44427490474668,5
nlp-waseda/roberta-base-japanese,janli,3e-05,512.0,9.0,128.0,78.01106223967984,78.71282415161039,73.41245704208194,68.47754435066183,73.53427518145139,5
nlp-waseda/roberta-base-japanese,janli,5e-05,512.0,7.4,102.4,78.10785057453819,78.75940292486855,73.4755844337275,68.50628101303126,73.58042279054243,5
nlp-waseda/roberta-base-japanese,jsnli,1e-05,64.0,0.0,1228.8,80.9309791313668,80.45112656236469,80.48015442795463,76.87687438920258,79.2693851265073,5
nlp-waseda/roberta-base-japanese,jsnli,3e-05,64.0,0.0,716.8,82.15326246034891,81.3197475627773,79.82908182462577,76.4245205561648,79.19111664785595,5
nlp-waseda/roberta-base-japanese,jsnli,5e-05,64.0,0.0,563.2,82.09925202498286,81.33472370932824,79.38986345317016,75.77536723318758,78.83331813189533,5
nlp-waseda/roberta-base-japanese,jsnli,1e-05,128.0,0.0,768.0,81.9646637945155,81.37407881791526,79.58896383878175,75.96539766273699,78.97614677314466,5
nlp-waseda/roberta-base-japanese,jsnli,3e-05,128.0,0.0,563.2,81.52121836159549,80.87610714668972,79.81510906695569,76.39610252105851,79.0291062449013,5
nlp-waseda/roberta-base-japanese,jsnli,5e-05,128.0,0.0,435.2,81.77026300412618,81.07034878770794,79.86886849755314,76.52763087639508,79.15561605388538,5
nlp-waseda/roberta-base-japanese,jsnli,1e-05,256.0,0.6,640.0,82.25355973637738,81.50061981207057,80.3196558743291,76.88740367582216,79.56922645407394,5
nlp-waseda/roberta-base-japanese,jsnli,3e-05,256.0,0.0,243.2,81.44333936772463,80.82366213214422,79.48042588189803,75.19568784029373,78.49992528477866,5
nlp-waseda/roberta-base-japanese,jsnli,5e-05,256.0,0.0,217.6,81.58317276406646,80.82769147474266,79.56594723754353,75.9734357278647,78.78902481338363,5
nlp-waseda/roberta-base-japanese,jsnli,1e-05,512.0,1.6,550.4,82.22085493270927,81.44922408178302,80.19896664636036,76.61246471532831,79.42021848115724,5
nlp-waseda/roberta-base-japanese,jsnli,3e-05,512.0,0.0,179.2,82.9423177844259,81.99777471719736,79.63131221746369,75.65468022572182,79.09458905346096,5
nlp-waseda/roberta-base-japanese,jsnli,5e-05,512.0,0.0,147.2,82.71336454186928,81.8521188356581,79.49985387762719,75.42178264821156,78.92458512049895,5
nlp-waseda/roberta-base-japanese,nu-mnli,1e-05,64.0,0.6,2048.0,71.87507261375188,72.27043147960137,80.81084777698297,77.45098804552435,76.8440891007029,5
nlp-waseda/roberta-base-japanese,nu-mnli,3e-05,64.0,0.8,2611.2,73.66938919076622,73.61927486468663,80.53514918164684,78.13910602531084,77.4311766905481,5
nlp-waseda/roberta-base-japanese,nu-mnli,5e-05,64.0,0.2,1177.6,73.04288781655548,73.03543362356552,80.34250869149905,77.23053600562123,76.86949277356193,5
nlp-waseda/roberta-base-japanese,nu-mnli,1e-05,128.0,0.0,435.2,72.39299824671588,72.5991482919032,80.36648349270953,76.41159036313941,76.45907404925072,5
nlp-waseda/roberta-base-japanese,nu-mnli,3e-05,128.0,0.2,614.4,71.69423654154187,71.99885897998054,80.61632034143577,77.17530038484126,76.59682656875252,5
nlp-waseda/roberta-base-japanese,nu-mnli,5e-05,128.0,0.2,486.4,71.65468320189288,71.72418279781532,81.1967764886398,77.90152788852193,76.94082905832568,5
nlp-waseda/roberta-base-japanese,nu-mnli,1e-05,256.0,0.2,358.4,72.02522562494578,72.31235816914192,80.8320770499349,77.24705805646768,76.7971644251815,5
nlp-waseda/roberta-base-japanese,nu-mnli,3e-05,256.0,0.2,268.8,73.06989231332948,73.26131371735347,80.73330460219098,77.32567413004321,77.10676414986256,5
nlp-waseda/roberta-base-japanese,nu-mnli,5e-05,256.0,0.0,230.4,73.33717013825218,73.80987355183446,81.57582462623348,78.70177869774376,78.0291589586039,5
nlp-waseda/roberta-base-japanese,nu-mnli,1e-05,512.0,0.2,179.2,73.7249974741187,73.90099887262724,80.4217849704419,76.59079871896566,76.97119418734493,5
nlp-waseda/roberta-base-japanese,nu-mnli,3e-05,512.0,0.0,108.8,71.92459439164645,71.946405424837,79.81162319369548,76.01276562505984,75.92359808119744,5
nlp-waseda/roberta-base-japanese,nu-mnli,5e-05,512.0,0.0,70.4,72.98300086192891,73.31996591305167,80.67732336400934,76.61750667005296,76.87159864903799,5
nlp-waseda/roberta-base-japanese,nu-snli,1e-05,64.0,0.0,1126.4,81.17677126559275,80.75319653513068,79.14232539139171,76.04271495218077,78.64607895956772,5
nlp-waseda/roberta-base-japanese,nu-snli,3e-05,64.0,0.0,614.4,81.86037582470458,81.0792880278006,78.80503070109869,75.50289379651205,78.46240417513711,5
nlp-waseda/roberta-base-japanese,nu-snli,5e-05,64.0,0.0,512.0,82.1917538168195,81.49045383404061,79.43184768283706,76.59548238829412,79.17259463505727,5
nlp-waseda/roberta-base-japanese,nu-snli,1e-05,128.0,0.0,742.4,81.44230314386343,80.90879997877302,79.41623745334701,76.38899774362189,78.90467839191396,5
nlp-waseda/roberta-base-japanese,nu-snli,3e-05,128.0,0.0,384.0,82.24579277865249,81.56131746401209,79.51650422416273,76.44032198877262,79.17271455898248,5
nlp-waseda/roberta-base-japanese,nu-snli,5e-05,128.0,0.0,307.2,82.07806430547949,81.40625970074957,78.41631078762009,75.31563191347645,78.37940080061537,5
nlp-waseda/roberta-base-japanese,nu-snli,1e-05,256.0,0.0,448.0,81.67147193485641,81.34131374470363,79.42472503335179,76.32119027854937,79.0290763522016,5
nlp-waseda/roberta-base-japanese,nu-snli,3e-05,256.0,0.0,256.0,82.14719719885031,81.71492864081279,79.31479167434904,76.17033736641115,79.06668589385765,5
nlp-waseda/roberta-base-japanese,nu-snli,5e-05,256.0,0.0,217.6,82.25533985683629,81.66379800092814,79.11748901201078,76.09879279204029,78.96002660165973,5
nlp-waseda/roberta-base-japanese,nu-snli,1e-05,512.0,0.4,294.4,82.16701407754441,81.6035035684752,79.78820066944718,76.57598029172549,79.32256150988262,5
nlp-waseda/roberta-base-japanese,nu-snli,3e-05,512.0,0.0,192.0,82.4393550211582,81.85842034015033,79.55948080920632,76.28767788214306,79.2351930104999,5
nlp-waseda/roberta-base-japanese,nu-snli,5e-05,512.0,0.0,147.2,81.87667490577793,81.42290297689088,79.39341870713292,76.3088599346479,79.0417272062239,5
nlp-waseda/roberta-base-japanese,nu-snli+mnli,1e-05,64.0,0.4,3225.6,77.57482099938947,77.14722937932503,80.38799055664992,78.45722817635087,78.66414937077528,5
nlp-waseda/roberta-base-japanese,nu-snli+mnli,3e-05,64.0,0.2,1740.8,76.05405556159594,75.74160703833394,80.69283340278102,78.79430898846059,78.40958314319184,5
nlp-waseda/roberta-base-japanese,nu-snli+mnli,5e-05,64.0,0.0,1689.6,76.04268390747914,75.49233787105283,80.49598672529356,78.4698905045016,78.15273836694934,5
nlp-waseda/roberta-base-japanese,nu-snli+mnli,1e-05,128.0,0.0,512.0,79.67138939210169,79.4248086039983,79.83842122928138,76.75023581632055,78.6711552165334,5
nlp-waseda/roberta-base-japanese,nu-snli+mnli,3e-05,128.0,0.0,691.2,78.07960672628386,77.60706772458147,80.51325905002813,78.33371690063146,78.81801455841368,5
nlp-waseda/roberta-base-japanese,nu-snli+mnli,5e-05,128.0,0.0,409.6,77.7054508000864,77.33256065355624,80.25514402244316,77.69331254357716,78.42700573985886,5
nlp-waseda/roberta-base-japanese,nu-snli+mnli,1e-05,256.0,0.0,563.2,77.80951737818785,77.59474545517608,81.26304966926375,78.62649573291701,79.16143028578561,5
nlp-waseda/roberta-base-japanese,nu-snli+mnli,3e-05,256.0,0.2,422.4,78.8226153720545,78.50783455722471,80.22690343036695,77.74449086556015,78.82640961771727,5
nlp-waseda/roberta-base-japanese,nu-snli+mnli,5e-05,256.0,0.0,230.4,79.27637758462014,79.04870345714434,80.01758609896498,77.29014090622081,78.78547682077671,5
nlp-waseda/roberta-base-japanese,nu-snli+mnli,1e-05,512.0,0.4,371.2,79.4042636185706,79.16533891614858,80.55094163272182,77.93215516890142,79.21614523925727,5
nlp-waseda/roberta-base-japanese,nu-snli+mnli,3e-05,512.0,0.0,313.6,79.08156141103328,78.77017081934176,80.90607345683286,78.5262783863281,79.40084088750089,5
nlp-waseda/roberta-base-japanese,nu-snli+mnli,5e-05,512.0,0.0,192.0,79.54667632475523,79.20910101860787,80.3567802543304,77.64856522779299,79.07148216691041,5
