model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
studio-ousia/luke-japanese-base-lite,janli,1e-05,64.0,5.8,665.6,82.20264573129342,81.8571797818398,76.8103356348849,71.64197073069195,76.76982871580556,5
studio-ousia/luke-japanese-base-lite,janli,3e-05,64.0,2.4,307.2,82.30330251005753,81.89742519437536,77.36993480163373,72.18258728987912,77.1499824286294,5
studio-ousia/luke-japanese-base-lite,janli,5e-05,64.0,3.2,409.6,82.20764417983202,81.85040899431881,76.58570634327467,71.51998840659543,76.6520345813963,5
studio-ousia/luke-japanese-base-lite,janli,1e-05,128.0,6.2,358.4,82.17635494733197,81.81287606874272,77.09155390961969,71.97697620990047,76.96046872942097,5
studio-ousia/luke-japanese-base-lite,janli,3e-05,128.0,2.8,179.2,82.06214304114255,81.65917771850022,77.3605311113585,72.37208398756036,77.13059760580636,5
studio-ousia/luke-japanese-base-lite,janli,5e-05,128.0,2.4,153.6,82.28894948357461,81.91211831631942,77.20045766127869,72.14657859384063,77.08638485714626,5
studio-ousia/luke-japanese-base-lite,janli,1e-05,256.0,7.2,204.8,82.20591360011682,81.80755460494655,77.2119061689693,72.15399777779673,77.05781951723753,5
studio-ousia/luke-japanese-base-lite,janli,3e-05,256.0,4.6,140.8,82.0553887453575,81.72473345404264,76.68338286905222,71.58909561128162,76.66573731145883,5
studio-ousia/luke-japanese-base-lite,janli,5e-05,256.0,4.0,128.0,82.07160683678214,81.76071197102239,76.54421695162812,71.4957406794509,76.60022320070047,5
studio-ousia/luke-japanese-base-lite,janli,1e-05,512.0,10.4,140.8,82.07469297112422,81.70879871019835,76.89448470314157,71.92263405367747,76.8419724890058,5
studio-ousia/luke-japanese-base-lite,janli,3e-05,512.0,6.4,89.6,82.11583801744436,81.75564958069694,76.7098322108566,71.71028793451163,76.72525657535505,5
studio-ousia/luke-japanese-base-lite,janli,5e-05,512.0,4.0,64.0,82.01471967436251,81.66472841104209,76.77420477407139,71.70063233704687,76.71318850738677,5
studio-ousia/luke-japanese-base-lite,jsnli,1e-05,64.0,0.0,1024.0,82.29617136115147,81.11567826864392,79.47471960740236,75.57155817621359,78.72065201741995,5
studio-ousia/luke-japanese-base-lite,jsnli,3e-05,64.0,0.0,563.2,82.40257142321725,81.25055483114569,79.28208509814367,75.42774764883931,78.65346252604289,5
studio-ousia/luke-japanese-base-lite,jsnli,5e-05,64.0,0.0,512.0,82.21256107561915,81.08774106086241,79.1976256443775,75.54396338232165,78.60977669585385,5
studio-ousia/luke-japanese-base-lite,jsnli,1e-05,128.0,0.0,665.6,82.59219351963362,81.50975822619085,79.39686778316482,75.44943667471577,78.7853542280238,5
studio-ousia/luke-japanese-base-lite,jsnli,3e-05,128.0,0.0,384.0,82.52946415705894,81.33061215832481,79.15907482983918,75.38846236118277,78.62604978311558,5
studio-ousia/luke-japanese-base-lite,jsnli,5e-05,128.0,0.0,256.0,82.47228630829458,81.32782357709883,79.07063845308058,75.17473660766913,78.5243995459495,5
studio-ousia/luke-japanese-base-lite,jsnli,1e-05,256.0,0.0,448.0,82.76572298360034,81.65258061683038,79.38989101656405,75.45185479619786,78.83144214319744,5
studio-ousia/luke-japanese-base-lite,jsnli,3e-05,256.0,0.0,268.8,82.45500657941417,81.32692631400235,79.28188752124088,75.37613687869732,78.66165023798018,5
studio-ousia/luke-japanese-base-lite,jsnli,5e-05,256.0,0.0,204.8,82.64843439072379,81.43237944075864,79.39198450258371,75.38732002892752,78.73722799075662,5
studio-ousia/luke-japanese-base-lite,jsnli,1e-05,512.0,1.0,313.6,82.81613910854426,81.68867967180822,79.36412104798868,75.41505884029736,78.82261985336476,5
studio-ousia/luke-japanese-base-lite,jsnli,3e-05,512.0,0.0,185.6,82.8944572261212,81.72184369868826,79.33726968842936,75.63941487631749,78.89950942114504,5
studio-ousia/luke-japanese-base-lite,jsnli,5e-05,512.0,0.0,128.0,82.68007104385251,81.49047896183514,79.23053280632733,75.15461669498619,78.62520948771622,5
studio-ousia/luke-japanese-base-lite,nu-mnli,1e-05,64.0,0.0,256.0,79.42826334823631,78.51877935201836,78.22388606290637,73.87361424140697,76.87209321877722,5
studio-ousia/luke-japanese-base-lite,nu-mnli,3e-05,64.0,0.0,256.0,79.38750377357812,78.52734972034192,79.68100752118343,75.29476530710845,77.83437418287794,5
studio-ousia/luke-japanese-base-lite,nu-mnli,5e-05,64.0,0.0,102.4,76.02381527954924,75.57391090211088,75.73996639684552,71.85904652323012,74.3909746073955,5
studio-ousia/luke-japanese-base-lite,nu-mnli,1e-05,128.0,0.0,256.0,79.98585962580951,78.96265578828259,79.30261931789585,74.82039071774523,77.69522194130789,5
studio-ousia/luke-japanese-base-lite,nu-mnli,3e-05,128.0,0.0,128.0,79.769687196445,78.71837158974552,78.73093021305014,74.314243113816,77.25451497220389,5
studio-ousia/luke-japanese-base-lite,nu-mnli,5e-05,128.0,0.0,128.0,79.87157143694616,78.89928581293982,79.53687030956684,75.11356728622677,77.84990780291113,5
studio-ousia/luke-japanese-base-lite,nu-mnli,1e-05,256.0,0.0,153.6,79.77896710523952,78.69726198292264,78.63970876961135,74.3775759860977,77.23818224621057,5
studio-ousia/luke-japanese-base-lite,nu-mnli,3e-05,256.0,0.0,64.0,79.15901306957637,78.12529309588912,77.70451788026469,73.5283481395129,76.45271970522224,5
studio-ousia/luke-japanese-base-lite,nu-mnli,5e-05,256.0,0.0,64.0,79.83787070948512,78.63057854244327,78.18241904490635,73.85421867610606,76.88907208781856,5
studio-ousia/luke-japanese-base-lite,nu-mnli,1e-05,512.0,0.0,96.0,80.03387727715369,78.86590695052591,78.50667727304132,74.1446311850918,77.17240513621968,5
studio-ousia/luke-japanese-base-lite,nu-mnli,3e-05,512.0,0.0,64.0,79.96115709693063,78.69299577435696,78.74097141184124,74.25337555698817,77.2291142477288,5
studio-ousia/luke-japanese-base-lite,nu-mnli,5e-05,512.0,0.0,64.0,79.69759621099298,78.50834123686539,79.33503156121058,74.98121151119153,77.60819476975584,5
studio-ousia/luke-japanese-base-lite,nu-snli,1e-05,64.0,0.0,1024.0,82.67432569412824,81.57042023968934,79.61953416879234,76.43374252066612,79.20789897638261,5
studio-ousia/luke-japanese-base-lite,nu-snli,3e-05,64.0,0.0,512.0,82.49485121120676,81.39928880175046,79.25287929700357,75.99395964907274,78.88204258260892,5
studio-ousia/luke-japanese-base-lite,nu-snli,5e-05,64.0,0.0,358.4,82.1380962372968,81.01415595790927,78.87288198693037,75.18025568230912,78.35576454238291,5
studio-ousia/luke-japanese-base-lite,nu-snli,1e-05,128.0,0.0,588.8,82.71750501609795,81.5682432459046,79.26133822659298,76.05440360551795,78.96132835933851,5
studio-ousia/luke-japanese-base-lite,nu-snli,3e-05,128.0,0.0,358.4,82.50506908444194,81.37280265945364,79.23857222092701,76.19623338216385,78.93586942084816,5
studio-ousia/luke-japanese-base-lite,nu-snli,5e-05,128.0,0.0,256.0,82.69402593158935,81.5173863439945,79.15038896205337,75.96548036801428,78.87775189135405,5
studio-ousia/luke-japanese-base-lite,nu-snli,1e-05,256.0,0.0,409.6,83.07986672111296,81.94649977151207,79.15391838856965,75.99479239938391,79.03173685315521,5
studio-ousia/luke-japanese-base-lite,nu-snli,3e-05,256.0,0.0,217.6,82.8354515274353,81.71774784720361,79.03866103351604,75.84235602395361,78.86625496822442,5
studio-ousia/luke-japanese-base-lite,nu-snli,5e-05,256.0,0.0,179.2,82.67285111966454,81.5081584163777,79.08154788955638,75.89197589100316,78.82722739897908,5
studio-ousia/luke-japanese-base-lite,nu-snli,1e-05,512.0,0.2,281.6,83.1359510094201,81.95961487269741,79.23798494040088,75.93943669745674,79.04567883685168,5
studio-ousia/luke-japanese-base-lite,nu-snli,3e-05,512.0,0.0,160.0,82.95722811572783,81.76473188029742,79.13686702483942,75.84770692619004,78.91643527710896,5
studio-ousia/luke-japanese-base-lite,nu-snli,5e-05,512.0,0.0,128.0,83.0247872633392,81.84501785609584,79.15783289478766,75.94091714426261,78.98125596504869,5
studio-ousia/luke-japanese-base-lite,nu-snli+mnli,1e-05,64.0,0.0,512.0,81.19812181805273,80.20300078944287,79.1459638746088,75.10644965096814,78.15180477167328,5
studio-ousia/luke-japanese-base-lite,nu-snli+mnli,3e-05,64.0,0.0,256.0,80.96647499530998,79.95294282071173,78.61717481293306,74.58579425758471,77.71863729707651,5
