model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
studio-ousia/luke-japanese-large-lite,janli,1e-05,64.0,5.8,665.6,81.48582373294157,81.21010449261448,79.97839685717985,74.83399802043927,78.67416645674453,5
studio-ousia/luke-japanese-large-lite,janli,3e-05,64.0,3.6,460.8,81.53663617227483,81.25690915111159,79.84883091295401,74.83752980538023,78.64775662314862,5
studio-ousia/luke-japanese-large-lite,janli,5e-05,64.0,3.2,409.6,81.44118861053042,81.08709507413712,79.73354938376119,74.80621865043656,78.5422877027783,5
studio-ousia/luke-japanese-large-lite,janli,1e-05,128.0,7.8,435.2,81.46662005072017,81.1792990011091,79.80558732833478,74.78869931783183,78.59119521575857,5
studio-ousia/luke-japanese-large-lite,janli,3e-05,128.0,4.0,256.0,81.40915985560218,81.12975319932225,79.70732598705646,74.75869259484948,78.53192392707606,5
studio-ousia/luke-japanese-large-lite,janli,5e-05,128.0,3.2,204.8,81.32718965748839,81.05833235286669,79.67883758195447,74.69762130138716,78.47826374540277,5
studio-ousia/luke-japanese-large-lite,janli,1e-05,256.0,8.2,230.4,81.2224015050322,80.93554003840492,79.7554007198924,74.88850376414032,78.52648150747922,5
studio-ousia/luke-japanese-large-lite,janli,3e-05,256.0,4.0,128.0,81.39758962224332,81.17523427531279,79.92866514326167,74.98710884022773,78.69700275293407,5
studio-ousia/luke-japanese-large-lite,janli,5e-05,256.0,2.8,89.6,81.35339443951996,81.1646444454362,79.61802165959122,74.77972295689361,78.52079635397368,5
studio-ousia/luke-japanese-large-lite,janli,1e-05,512.0,10.8,147.2,81.25560183398753,80.97638984864395,79.58514772638969,74.80302257246858,78.45485338250073,5
studio-ousia/luke-japanese-large-lite,janli,3e-05,512.0,5.8,83.2,81.44598506454349,81.20514954438502,79.46601082543084,74.76023125586565,78.47713054189384,5
studio-ousia/luke-japanese-large-lite,janli,5e-05,512.0,4.0,64.0,81.6807239991801,81.3421811572628,79.4088294524699,74.65818868218935,78.46973309730734,5
studio-ousia/luke-japanese-large-lite,jsnli,1e-05,64.0,0.0,768.0,83.21585967697379,82.1563773458939,82.94696733227578,79.67309936835457,81.5921480155081,5
studio-ousia/luke-japanese-large-lite,jsnli,3e-05,64.0,0.0,512.0,82.74132752549068,81.59910273624322,82.50141570101201,79.5087226583542,81.20308036520314,5
