model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
nlp-waseda/roberta-large-japanese,nu-mnli,1e-05,512.0,0.0,96.0,82.61010387471087,82.17715813771295,82.01049829085959,77.9440182487063,80.71055822575961,5
cl-tohoku/bert-large-japanese-v2,nu-mnli,5e-05,128.0,0.2,716.8,75.65329165661092,75.3920364546158,83.53296057476737,81.12819244925707,80.01772982621341,5
cl-tohoku/bert-base-japanese-v3,nu-mnli,3e-05,128.0,0.2,819.2,74.56472370461516,74.75495157923561,82.46149283628112,79.8415003464186,79.01931492064512,5
studio-ousia/luke-japanese-large-lite,nu-mnli,1e-05,512.0,0.0,96.0,78.56117480755779,78.30183825153979,81.26130978817932,77.31594705830861,78.95969836600925,5
studio-ousia/mluke-large-lite,nu-mnli,5e-05,512.0,0.0,96.0,80.66863727162949,80.01150978006775,79.04525983709974,76.06991414863016,78.3755612552659,5
cl-tohoku/bert-large-japanese,nu-mnli,5e-05,64.0,0.2,1382.4,76.48893808477716,76.19537337981998,79.88541892403019,77.75897767840914,77.94658999408644,5
studio-ousia/luke-japanese-base-lite,nu-mnli,1e-05,512.0,0.0,96.0,80.03387727715369,78.86590695052591,78.50667727304132,74.1446311850918,77.17240513621968,5
nlp-waseda/roberta-base-japanese,nu-mnli,1e-05,512.0,0.2,179.2,73.7249974741187,73.90099887262724,80.4217849704419,76.59079871896566,76.97119418734493,5
cl-tohoku/bert-base-japanese-v2,nu-mnli,3e-05,512.0,0.0,64.0,79.4539979766009,78.73795817876672,77.8899250284293,74.0924888014791,76.90679066955838,5
ku-nlp/deberta-v2-large-japanese,nu-mnli,3e-05,64.0,0.4,2048.0,71.27707621351003,71.94375270593555,80.29777633187584,77.84897801001367,76.69683568260835,5
cl-tohoku/bert-large-japanese-char-v2,nu-mnli,1e-05,512.0,0.0,96.0,76.04482443648143,76.01740647293587,78.40724320971783,75.35501540635218,76.59322169633529,5
xlm-roberta-large,nu-mnli,1e-05,512.0,1.0,364.8,78.65584066124737,77.81366772696204,77.8673502323123,73.85289050078703,76.51130282002046,5
studio-ousia/mluke-base-lite,nu-mnli,3e-05,64.0,0.0,256.0,80.533519451586,79.97064324414494,75.31188341671933,71.16902702462515,75.48385122849648,5
ku-nlp/deberta-v2-base-japanese,nu-mnli,3e-05,512.0,0.4,217.6,71.88341908744869,71.76909290903083,78.31314306095923,74.77499665078983,74.95241087359331,5
ku-nlp/roberta-large-japanese-char-wwm,nu-mnli,1e-05,128.0,0.0,128.0,76.2193232506989,75.35326722507591,76.10193507671993,72.50000370291946,74.6517353349051,5
cl-tohoku/bert-base-japanese-char-v3,nu-mnli,5e-05,512.0,0.0,64.0,75.51548091547059,74.70028847288627,76.1199437540175,72.0407145997635,74.28698227555576,5
ku-nlp/roberta-base-japanese-char-wwm,nu-mnli,3e-05,512.0,0.2,140.8,73.69666506795318,72.80844941863153,76.60812443375342,72.40829542079504,73.94162309106,5
cl-tohoku/bert-base-japanese-char-v2,nu-mnli,5e-05,512.0,0.0,64.0,77.1814180053639,76.77154356772897,73.84549997480597,70.22840965603075,73.61515106618856,5
cl-tohoku/bert-base-japanese,nu-mnli,3e-05,512.0,0.0,64.0,76.7892137113875,76.2068937367814,73.58158308122412,70.97719184384735,73.58855622061762,5
xlm-roberta-base,nu-mnli,5e-05,512.0,1.4,467.2,74.48878193828577,73.97445613633104,74.90952451153215,71.75194611259272,73.54530892015198,5
cl-tohoku/bert-base-japanese-whole-word-masking,nu-mnli,1e-05,512.0,0.0,96.0,76.530748530498,75.33519291157943,73.92486283954845,70.67963194678718,73.31322923263835,5
bert-base-multilingual-cased,nu-mnli,1e-05,512.0,0.0,128.0,77.11897605731058,77.40027238400168,73.29785964783628,68.7870781589389,73.16173673025897,5
megagonlabs/roberta-long-japanese,nu-mnli,3e-05,256.0,0.0,64.0,77.14164618694471,76.39271224921794,73.4743489973977,68.4875400213637,72.78486708932644,5
cl-tohoku/bert-base-japanese-char,nu-mnli,5e-05,512.0,0.0,64.0,77.89046590504375,76.70155696683756,72.79094718949679,68.76013734923,72.75088050185477,5
