model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
bert-base-multilingual-cased,nu-snli,1e-05,64.0,0.0,1228.8,82.91167881055806,81.79728752434784,76.48103799260078,72.75549475781362,77.01127342492074,5
bert-base-multilingual-cased,nu-snli,3e-05,64.0,0.0,921.6,82.4381868279237,81.32963922032032,76.13753631452782,72.76311005623073,76.74342853035962,5
bert-base-multilingual-cased,nu-snli,5e-05,64.0,0.0,512.0,82.21487798388975,81.09183046180496,75.96444886576246,72.28516395154358,76.44714775970367,5
bert-base-multilingual-cased,nu-snli,1e-05,128.0,0.0,819.2,83.07329608513102,81.95756773091388,76.19603508516273,72.58788370589454,76.91382884065705,5
bert-base-multilingual-cased,nu-snli,3e-05,128.0,0.0,486.4,82.73793741753009,81.52742463967937,76.25118275360919,72.5970867941526,76.79189806248039,5
bert-base-multilingual-cased,nu-snli,5e-05,128.0,0.0,384.0,83.10028499403059,81.87429675068883,76.01694013427714,72.5453078047891,76.8121815632517,5
bert-base-multilingual-cased,nu-snli,1e-05,256.0,0.0,550.4,83.32084400358978,82.11419314367654,76.18300906152228,72.59969251131702,76.96563157217194,5
bert-base-multilingual-cased,nu-snli,3e-05,256.0,0.0,332.8,83.23196057437063,81.97613782241883,76.08654003046647,72.66179448142672,76.90815744477068,5
bert-base-multilingual-cased,nu-snli,5e-05,256.0,0.0,256.0,82.87390065100844,81.66179959512667,76.12482562892508,72.57813586438499,76.78825369614557,5
bert-base-multilingual-cased,nu-snli,1e-05,512.0,1.0,467.2,83.51916753273522,82.39369346323683,75.94468795332385,72.59179687762214,76.97672609806094,5
bert-base-multilingual-cased,nu-snli,3e-05,512.0,0.0,224.0,83.26631733476187,82.10886768026572,75.30430809034709,72.01839640660988,76.4771907257409,5
bert-base-multilingual-cased,nu-snli,5e-05,512.0,0.0,166.4,83.14066321028609,81.90708433992832,75.75405353854538,72.47716684694278,76.71276824180549,5
cl-tohoku/bert-base-japanese,nu-snli,1e-05,64.0,0.0,819.2,81.54119500070578,80.83619142761759,76.24029090259319,74.10070393908143,77.05906208976407,5
cl-tohoku/bert-base-japanese,nu-snli,3e-05,64.0,0.0,563.2,81.2779161568802,80.57787127848651,76.78028632924318,74.75812325744188,77.37209362172385,5
cl-tohoku/bert-base-japanese,nu-snli,5e-05,64.0,0.0,358.4,81.39437544037996,80.79432443405476,75.85716161301903,73.54655715855783,76.73268106854388,5
cl-tohoku/bert-base-japanese,nu-snli,1e-05,128.0,0.0,460.8,81.79110116461568,81.16756242780143,75.94046357110128,73.70160893513314,76.93654497801194,5
cl-tohoku/bert-base-japanese,nu-snli,3e-05,128.0,0.0,281.6,81.9036716396714,81.22320287777264,76.15617265981732,74.0337038401425,77.13769312591081,5
cl-tohoku/bert-base-japanese,nu-snli,5e-05,128.0,0.0,281.6,81.62910970181537,80.79799904386712,76.81194539127162,74.83347007297735,77.48113816937203,5
cl-tohoku/bert-base-japanese,nu-snli,1e-05,256.0,0.0,358.4,82.19418179280491,81.45245986051741,76.38146190394056,74.41416974829146,77.4160305042498,5
cl-tohoku/bert-base-japanese,nu-snli,3e-05,256.0,0.0,243.2,81.9110151178652,81.15194290696363,76.19039825138547,74.16539259379968,77.16924458404961,5
cl-tohoku/bert-base-japanese,nu-snli,5e-05,256.0,0.0,128.0,82.06785631855873,81.3836737951691,75.83030649771287,73.61208492275259,76.94202173854485,5
cl-tohoku/bert-base-japanese,nu-snli,1e-05,512.0,0.0,224.0,82.21577391582915,81.49153616489878,75.82454107236957,73.80843214469087,77.04150312731974,5
cl-tohoku/bert-base-japanese,nu-snli,3e-05,512.0,0.0,121.6,82.17596036616828,81.39474299320281,75.68164557528983,73.54958364470464,76.87532407106576,5
cl-tohoku/bert-base-japanese,nu-snli,5e-05,512.0,0.0,96.0,82.39137267845835,81.71284409738298,75.6261506234563,73.71742378582317,77.01880616888748,5
cl-tohoku/bert-base-japanese-char,nu-snli,1e-05,64.0,0.0,1024.0,82.36212654071531,81.11472467920176,75.49960660845696,72.29606858079237,76.30346662281701,5
cl-tohoku/bert-base-japanese-char,nu-snli,3e-05,64.0,0.0,512.0,82.25115790620573,80.8883491085538,75.25747567599247,71.67405603965565,75.93996027473398,5
cl-tohoku/bert-base-japanese-char,nu-snli,5e-05,64.0,0.0,512.0,81.80483009957122,80.40661578788028,74.70746013645828,71.6749410000356,75.5963389747914,5
cl-tohoku/bert-base-japanese-char,nu-snli,1e-05,128.0,0.0,640.0,82.44846911355167,81.12311239327282,75.35415176056887,72.26958782926656,76.24895066103609,5
cl-tohoku/bert-base-japanese-char,nu-snli,3e-05,128.0,0.0,384.0,82.25650456719222,80.79981336320309,75.25915630134247,72.20536731011609,76.0881123248872,5
cl-tohoku/bert-base-japanese-char,nu-snli,5e-05,128.0,0.0,256.0,82.25653873041139,80.83419967031207,74.28710882327343,70.99777633668884,75.3730282767581,5
cl-tohoku/bert-base-japanese-char,nu-snli,1e-05,256.0,0.0,409.6,82.47384810162866,80.97649393400576,74.91381633151279,71.81149879021626,75.90060301857827,5
cl-tohoku/bert-base-japanese-char,nu-snli,3e-05,256.0,0.0,243.2,82.4043869580635,80.9163134981213,75.1529974975621,72.03305822805741,76.03412307458026,5
cl-tohoku/bert-base-japanese-char,nu-snli,5e-05,256.0,0.0,192.0,82.4549673865663,81.03130159172117,74.45183847819011,71.4186037572583,75.63391460905652,5
cl-tohoku/bert-base-japanese-char,nu-snli,1e-05,512.0,0.8,326.4,82.49838319358449,81.01877292318181,75.03615358548873,71.95321296412124,76.00271315759726,5
cl-tohoku/bert-base-japanese-char,nu-snli,3e-05,512.0,0.0,160.0,82.49736232847437,80.95238216055444,74.51888519637694,71.64291269289527,75.70472668327554,5
cl-tohoku/bert-base-japanese-char,nu-snli,5e-05,512.0,0.0,160.0,82.45631583749949,81.0740531369517,74.94470984768029,72.16880556862893,76.06252285108698,5
cl-tohoku/bert-base-japanese-char-v2,nu-snli,1e-05,64.0,0.0,1024.0,83.08763659497058,81.83285960176016,76.42802856877569,73.92271740381565,77.3945351914505,5
cl-tohoku/bert-base-japanese-char-v2,nu-snli,3e-05,64.0,0.0,512.0,83.19755704169692,81.81241469155273,76.43044873864599,73.63187494813987,77.2915794594462,5
cl-tohoku/bert-base-japanese-char-v2,nu-snli,5e-05,64.0,0.0,409.6,83.0168444429521,81.78705191421821,76.34323474051304,73.46407990621893,77.1981221869834,5
cl-tohoku/bert-base-japanese-char-v2,nu-snli,1e-05,128.0,0.0,640.0,83.39260940820388,82.01650079030811,76.46937165391802,73.78826516636866,77.42471253686493,5
cl-tohoku/bert-base-japanese-char-v2,nu-snli,3e-05,128.0,0.0,384.0,83.24337280031388,81.9000260875089,76.36783255781442,73.81691541196354,77.36159135242895,5
cl-tohoku/bert-base-japanese-char-v2,nu-snli,5e-05,128.0,0.0,281.6,83.1520018992642,81.74790644569723,76.18638268989284,73.47920968996782,77.13783294185262,5
cl-tohoku/bert-base-japanese-char-v2,nu-snli,1e-05,256.0,0.0,396.8,83.28620521487628,81.91185019431407,75.98670739546003,73.29775991223114,77.06543916733509,5
cl-tohoku/bert-base-japanese-char-v2,nu-snli,3e-05,256.0,0.0,243.2,83.12892230818015,81.6547618189239,75.79641449030429,73.15272793088253,76.86796808003692,5
cl-tohoku/bert-base-japanese-char-v2,nu-snli,5e-05,256.0,0.0,179.2,83.40803837586975,82.07860427504349,75.37917720262745,72.69525456322921,76.71767868030005,5
cl-tohoku/bert-base-japanese-char-v2,nu-snli,1e-05,512.0,0.2,288.0,83.32432687289995,81.93354419071431,75.84907925897548,73.23407672934744,77.00556672634573,5
cl-tohoku/bert-base-japanese-char-v2,nu-snli,3e-05,512.0,0.0,172.8,83.2527591387501,81.8171520275731,75.32413087013268,72.76591954464088,76.63573414744889,5
cl-tohoku/bert-base-japanese-char-v2,nu-snli,5e-05,512.0,0.0,121.6,83.40340238660153,81.84654857164062,75.60234998831552,72.86037624998671,76.76975826998094,5
cl-tohoku/bert-base-japanese-char-v3,nu-snli,1e-05,64.0,0.0,1024.0,81.72242323168541,80.60564429744443,78.963114201607,75.93560663439378,78.50145504448173,5
cl-tohoku/bert-base-japanese-char-v3,nu-snli,3e-05,64.0,0.0,512.0,81.24389637337623,79.98916990785301,78.44210817863306,74.9734671240584,77.80158173684815,5
cl-tohoku/bert-base-japanese-char-v3,nu-snli,5e-05,64.0,0.0,460.8,80.42179227022363,79.39768802741729,78.28201137922429,75.20397625562842,77.62789188742333,5
cl-tohoku/bert-base-japanese-char-v3,nu-snli,1e-05,128.0,0.0,640.0,81.81924355843542,80.59264825428265,78.67077865474266,75.63654964986857,78.29999218629796,5
cl-tohoku/bert-base-japanese-char-v3,nu-snli,3e-05,128.0,0.0,358.4,81.77350436756333,80.51864584829444,78.42957310111623,75.0715386313087,78.00658586023978,5
cl-tohoku/bert-base-japanese-char-v3,nu-snli,5e-05,128.0,0.0,256.0,81.68084922866714,80.30527990003786,78.40668211714478,75.07505184145536,77.929004619546,5
cl-tohoku/bert-base-japanese-char-v3,nu-snli,1e-05,256.0,0.0,384.0,82.15532163603625,80.80579312859048,78.04639253396995,74.86791050047418,77.90669872101154,5
cl-tohoku/bert-base-japanese-char-v3,nu-snli,3e-05,256.0,0.0,243.2,82.11209225265705,80.81351702920445,77.66633497910871,74.57029083599664,77.68338094810326,5
cl-tohoku/bert-base-japanese-char-v3,nu-snli,5e-05,256.0,0.0,192.0,82.3392340980476,81.01619437733717,77.84371814562408,74.84875818475078,77.90289023590401,5
cl-tohoku/bert-base-japanese-char-v3,nu-snli,1e-05,512.0,0.0,268.8,82.4192816643199,81.15249321858934,77.68878158900722,74.63820342918525,77.82649274559392,5
cl-tohoku/bert-base-japanese-char-v3,nu-snli,3e-05,512.0,0.0,153.6,82.09426984533596,80.74164436002219,77.14161379091237,74.08738968033784,77.32354927709079,5
cl-tohoku/bert-base-japanese-char-v3,nu-snli,5e-05,512.0,0.0,128.0,82.32136786018292,80.99456125050911,76.91328605816548,73.99151667277593,77.29978799381684,5
cl-tohoku/bert-base-japanese-v2,nu-snli,1e-05,64.0,0.0,768.0,83.29725646402294,82.40708880869605,79.23765373739622,75.78236328240773,79.1423686095,5
cl-tohoku/bert-base-japanese-v2,nu-snli,3e-05,64.0,0.0,512.0,83.27285847877104,82.32897890477349,79.18407804246094,75.71577700733914,79.07627798485785,5
cl-tohoku/bert-base-japanese-v2,nu-snli,5e-05,64.0,0.0,358.4,83.1054102120698,82.15923268082555,79.17239331387466,75.70808360233877,79.01323653234633,5
cl-tohoku/bert-base-japanese-v2,nu-snli,1e-05,128.0,0.0,537.6,83.5892617202208,82.70685350960112,79.37036100176051,75.84530152159547,79.30750534431903,5
cl-tohoku/bert-base-japanese-v2,nu-snli,3e-05,128.0,0.0,358.4,83.86506986022695,83.00290690162143,79.07389116933327,75.8077328120069,79.29484362765386,5
cl-tohoku/bert-base-japanese-v2,nu-snli,5e-05,128.0,0.0,256.0,83.60538705292525,82.62270011222034,78.98660950712994,75.76522565755317,79.12484509230116,5
cl-tohoku/bert-base-japanese-v2,nu-snli,1e-05,256.0,0.0,396.8,83.92687945212516,83.04796799011606,78.9099793624813,75.62801804671841,79.19532179977192,5
cl-tohoku/bert-base-japanese-v2,nu-snli,3e-05,256.0,0.0,243.2,83.63194151436969,82.6576305254954,78.88101763573724,75.67597084362444,79.07153966828568,5
cl-tohoku/bert-base-japanese-v2,nu-snli,5e-05,256.0,0.0,179.2,83.73545381015465,82.82941687430062,78.71398411911079,75.30737164756174,78.95025754699105,5
cl-tohoku/bert-base-japanese-v2,nu-snli,1e-05,512.0,0.2,281.6,83.91945221361773,82.9493891885642,78.66835262473595,75.3486029999985,78.98878160443289,5
cl-tohoku/bert-base-japanese-v2,nu-snli,3e-05,512.0,0.0,160.0,83.85604667160965,82.92956253335853,78.23711605449732,75.05179988041046,78.73949282275544,5
cl-tohoku/bert-base-japanese-v2,nu-snli,5e-05,512.0,0.0,128.0,83.9488525620204,83.05610484749666,78.68735888869753,75.3654470314969,79.03630358923036,5
cl-tohoku/bert-base-japanese-v3,nu-snli,1e-05,64.0,0.0,665.6,82.45569996234315,81.7353768481707,79.40785638500724,76.77770048266163,79.30697790527987,5
cl-tohoku/bert-base-japanese-v3,nu-snli,3e-05,64.0,0.0,307.2,81.95504794680647,81.31717832182588,78.6803206231336,75.72588281841995,78.57446058779314,5
cl-tohoku/bert-base-japanese-v3,nu-snli,5e-05,64.0,0.0,256.0,82.32809455769096,81.59682702333936,78.95795862444444,76.1447230155639,78.8998362211159,5
cl-tohoku/bert-base-japanese-v3,nu-snli,1e-05,128.0,0.0,384.0,82.62349574922597,81.89822580177561,79.01523974908261,76.23968938268507,79.05105164451443,5
