model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
nlp-waseda/roberta-large-japanese,nu-snli,3e-05,256.0,0.0,179.2,84.52812109180289,83.20813385880894,82.34373290226542,78.90298908004516,81.48495194703983,5
studio-ousia/luke-japanese-large-lite,nu-snli,1e-05,512.0,0.0,211.2,83.63813300089257,82.56895304724169,82.44813817395533,79.298963406351,81.43868487584935,5
cl-tohoku/bert-large-japanese-v2,nu-snli,3e-05,512.0,0.0,96.0,83.6248392207995,82.49231343742863,82.33505302482402,79.19598182244998,81.34111609490087,5
cl-tohoku/bert-large-japanese-char-v2,nu-snli,3e-05,512.0,0.0,102.4,83.27566671456512,82.05012608584309,80.30035262521935,77.65538368712586,80.00195413272942,5
ku-nlp/roberta-large-japanese-char-wwm,nu-snli,1e-05,256.0,0.0,243.2,82.95787430333384,81.51771154610596,80.73680951366549,77.71753604558033,79.99068570178393,5
studio-ousia/mluke-large-lite,nu-snli,1e-05,512.0,0.8,320.0,84.20267261973655,82.59760274944995,79.7761047887444,77.17079772480993,79.84816842100142,5
nlp-waseda/roberta-base-japanese,nu-snli,3e-05,512.0,0.0,192.0,82.4393550211582,81.85842034015033,79.55948080920632,76.28767788214306,79.2351930104999,5
cl-tohoku/bert-base-japanese-v3,nu-snli,1e-05,512.0,0.0,198.4,83.23341654784709,82.42544543369107,79.04035980383426,76.18096441057548,79.21558988270027,5
studio-ousia/luke-japanese-base-lite,nu-snli,1e-05,512.0,0.2,281.6,83.1359510094201,81.95961487269741,79.23798494040088,75.93943669745674,79.04567883685168,5
cl-tohoku/bert-base-japanese-v2,nu-snli,5e-05,512.0,0.0,128.0,83.9488525620204,83.05610484749666,78.68735888869753,75.3654470314969,79.03630358923036,5
cl-tohoku/bert-large-japanese,nu-snli,1e-05,512.0,0.0,160.0,83.36668178326002,82.36516319657844,78.59634348100266,75.90257934755167,78.95469534171093,5
xlm-roberta-large,nu-snli,1e-05,256.0,0.8,755.2,83.30684283994046,81.95679698325856,78.90020713573642,75.79409036624388,78.8836981617463,5
studio-ousia/mluke-base-lite,nu-snli,1e-05,512.0,0.4,300.8,83.79184317479256,82.28727584536946,77.95720561973849,75.31378954785855,78.51942367098884,5
ku-nlp/deberta-v2-large-japanese,nu-snli,1e-05,512.0,0.2,217.6,81.07218804336587,80.17638332554905,78.67327658803733,76.02154496176884,78.29040162511839,5
ku-nlp/deberta-v2-base-japanese,nu-snli,5e-05,512.0,0.0,128.0,80.01263258467887,79.5730086999638,78.7533498273647,75.83527880053191,78.0538791092868,5
ku-nlp/roberta-base-japanese-char-wwm,nu-snli,5e-05,512.0,0.0,140.8,82.82705774838179,80.8585415427614,78.19597610396222,74.7360470700568,77.9301882389268,5
cl-tohoku/bert-base-japanese-char-v3,nu-snli,1e-05,512.0,0.0,268.8,82.4192816643199,81.15249321858934,77.68878158900722,74.63820342918525,77.82649274559392,5
cl-tohoku/bert-base-japanese-whole-word-masking,nu-snli,5e-05,512.0,0.0,96.0,82.1038754269946,81.31252862734225,76.98700471722071,74.3382007078042,77.54591135078905,5
cl-tohoku/bert-base-japanese,nu-snli,5e-05,512.0,0.0,96.0,82.39137267845835,81.71284409738298,75.6261506234563,73.71742378582317,77.01880616888748,5
bert-base-multilingual-cased,nu-snli,1e-05,512.0,1.0,467.2,83.51916753273522,82.39369346323683,75.94468795332385,72.59179687762214,76.97672609806094,5
cl-tohoku/bert-base-japanese-char-v2,nu-snli,5e-05,256.0,0.0,179.2,83.40803837586975,82.07860427504349,75.37917720262745,72.69525456322921,76.71767868030005,5
megagonlabs/roberta-long-japanese,nu-snli,1e-05,512.0,0.0,185.6,81.81663301992079,80.49861719629172,76.40596129035298,72.36054378753961,76.42170742472811,5
xlm-roberta-base,nu-snli,1e-05,512.0,3.0,1017.6,80.40994028379646,78.7228121242524,75.88544688107031,73.56777985773255,76.05867962101841,5
cl-tohoku/bert-base-japanese-char,nu-snli,1e-05,512.0,0.8,326.4,82.49838319358449,81.01877292318181,75.03615358548873,71.95321296412124,76.00271315759726,5
