model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
nlp-waseda/roberta-large-japanese,bccwj,3e-05,512.0,0.0,185.6,83.33691141196209,82.93179444740522,81.52809578146521,76.7771512164907,80.4123471484537,5
cl-tohoku/bert-large-japanese-v2,bccwj,5e-05,64.0,0.0,6041.6,79.59749785791533,79.4545174376195,80.83176656607705,76.70821315372487,78.99816571914047,5
cl-tohoku/bert-base-japanese-v3,bccwj,3e-05,64.0,0.0,8192.0,80.65218322348684,80.1802423991132,79.56037085797509,75.2501425134329,78.33025192350706,5
studio-ousia/luke-japanese-large-lite,bccwj,5e-05,64.0,0.0,2611.2,78.70710577319207,78.43702658252978,80.07834673550238,75.75285588060743,78.08940973287986,5
cl-tohoku/bert-large-japanese-char-v2,bccwj,1e-05,64.0,0.0,12697.6,80.38267706655527,80.0435416379701,79.18739597656838,74.56692153279398,77.93261971577748,5
xlm-roberta-large,bccwj,1e-05,64.0,0.0,9420.8,81.00477913499579,80.32579777401989,78.66077820688378,73.77258214077328,77.58638604055899,5
studio-ousia/luke-japanese-base-lite,bccwj,1e-05,64.0,0.0,3686.4,81.0923175794477,80.14550888691099,78.21846226611684,72.93893931006407,77.10097015436398,5
nlp-waseda/roberta-base-japanese,bccwj,5e-05,64.0,0.0,4915.2,78.52623140059205,78.44043132339189,78.71078386628936,73.73524541996358,76.96215353654827,5
studio-ousia/mluke-large-lite,bccwj,3e-05,64.0,0.2,14438.4,80.53112507113333,79.87463056760797,77.74992152799084,73.10629339796394,76.91028183118758,5
cl-tohoku/bert-base-japanese-v2,bccwj,3e-05,64.0,0.0,3584.0,80.88704221468444,80.26816255060312,77.61413750786278,72.50250405213278,76.79493470353289,5
cl-tohoku/bert-large-japanese,bccwj,5e-05,64.0,0.0,3993.6,79.28309732238324,79.24896679784925,76.99956585356179,73.31211777573347,76.52021680904816,5
ku-nlp/deberta-v2-large-japanese,bccwj,1e-05,64.0,0.0,10700.8,75.42419061305722,75.68850501965457,78.6305454971664,74.45003969657705,76.256363404466,5
cl-tohoku/bert-base-japanese-char-v3,bccwj,5e-05,512.0,0.6,2003.2,78.42750605011358,78.46956786488565,77.34345612998172,72.07327364797335,75.96209921428024,5
ku-nlp/deberta-v2-base-japanese,bccwj,3e-05,512.0,0.0,640.0,76.04456305455905,75.7581536514793,77.5103733691137,72.65001558632547,75.30618086897282,5
ku-nlp/roberta-large-japanese-char-wwm,bccwj,1e-05,64.0,0.0,7884.8,77.0428738607919,77.23290221408205,76.57447753499524,71.35423818557855,75.05387264488527,5
cl-tohoku/bert-base-japanese-whole-word-masking,bccwj,5e-05,64.0,0.0,2150.4,78.16802870050704,77.38361250481833,75.44179604535313,71.52372242615675,74.78304365877607,5
cl-tohoku/bert-base-japanese-char-v2,bccwj,3e-05,64.0,0.0,5632.0,80.19973383965993,79.97612412779414,74.90977870860354,69.42261557604773,74.7695061374818,5
cl-tohoku/bert-base-japanese,bccwj,5e-05,512.0,0.0,800.0,77.287966814442,77.19662030272694,74.7023818556294,70.81991152017399,74.23963789284343,5
studio-ousia/mluke-base-lite,bccwj,5e-05,64.0,0.0,1484.8,79.72287362217524,78.73694158960015,73.4777688269485,68.88913790423786,73.70128277359551,5
cl-tohoku/bert-base-japanese-char,bccwj,5e-05,512.0,0.0,1408.0,79.02308357440567,78.54854128944933,72.73731898661525,67.65762049260007,72.98116025622156,5
bert-base-multilingual-cased,bccwj,5e-05,128.0,0.2,6195.2,79.12307795050533,78.91687410824034,72.74196643253822,67.08383445151631,72.91422499743162,5
xlm-roberta-base,bccwj,1e-05,128.0,0.4,6988.8,79.34536496299879,79.1778251158322,71.1807957228596,67.0539570176625,72.47085928545144,5
ku-nlp/roberta-base-japanese-char-wwm,bccwj,5e-05,64.0,0.0,7424.0,69.82355718047864,70.20392580633526,72.2175124355972,67.83020372558079,70.08388065583775,5
megagonlabs/roberta-long-japanese,bccwj,3e-05,128.0,0.0,4224.0,74.19406671718055,73.98004958207873,69.70501339417953,62.92046612945044,68.8685097019029,5
