model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
nlp-waseda/roberta-large-japanese,bccwj,3e-05,512.0,0.0,185.6,83.33691141196209,82.93179444740522,81.52809578146521,76.7771512164907,80.4123471484537,5
nlp-waseda/roberta-large-japanese,wikipedia,5e-05,128.0,0.0,1740.8,83.22369559743449,82.68873500353916,81.31141808339804,76.33239689360434,80.11084999351385,5
nlp-waseda/roberta-large-japanese,wiki40b,3e-05,64.0,0.0,2201.6,82.93784059249114,82.55699443801083,81.27806979535349,76.03929402405905,79.95811941914113,5
nlp-waseda/roberta-large-japanese,cc100,3e-05,128.0,0.0,1561.6,82.39428121420403,82.02889711121789,81.39198365907207,76.13746216439856,79.8527809782295,5
cl-tohoku/bert-large-japanese-v2,wiki40b,3e-05,64.0,0.0,11110.4,79.54364056426836,79.13910382976294,81.00418415270447,77.17603817609744,79.10644205285496,5
cl-tohoku/bert-large-japanese-v2,bccwj,5e-05,64.0,0.0,6041.6,79.59749785791533,79.4545174376195,80.83176656607705,76.70821315372487,78.99816571914047,5
cl-tohoku/bert-large-japanese-v2,wikipedia,5e-05,64.0,0.0,8448.0,79.62643039897424,79.3985324063623,80.2760725302692,77.18438854288107,78.9529978265042,5
cl-tohoku/bert-large-japanese-char-v2,wikipedia,3e-05,64.0,0.0,6400.0,80.82037081549774,80.42050863343604,79.1690841275445,75.60120054950815,78.39693110349623,5
cl-tohoku/bert-base-japanese-v3,bccwj,3e-05,64.0,0.0,8192.0,80.65218322348684,80.1802423991132,79.56037085797509,75.2501425134329,78.33025192350706,5
xlm-roberta-large,wiki40b,1e-05,64.0,0.0,11417.6,81.50159251778176,80.80085610613348,79.09071835511716,74.65534882773429,78.18230776299497,5
studio-ousia/luke-japanese-large-lite,bccwj,5e-05,64.0,0.0,2611.2,78.70710577319207,78.43702658252978,80.07834673550238,75.75285588060743,78.08940973287986,5
studio-ousia/luke-japanese-large-lite,wiki40b,3e-05,64.0,0.0,4659.2,79.01993483024896,78.63866352714524,79.71350899717939,75.60669688967413,77.98628980466624,5
cl-tohoku/bert-large-japanese-char-v2,bccwj,1e-05,64.0,0.0,12697.6,80.38267706655527,80.0435416379701,79.18739597656838,74.56692153279398,77.93261971577748,5
studio-ousia/luke-japanese-large-lite,wikipedia,5e-05,64.0,0.0,6144.0,78.92897226157717,78.33755249489538,79.61369771745753,75.83394387096592,77.92839802777294,5
cl-tohoku/bert-large-japanese-char-v2,wiki40b,1e-05,64.0,0.2,14080.0,79.06618995506764,78.72771321511867,79.09630983591885,75.67503159467526,77.8330182152376,5
nlp-waseda/roberta-base-japanese,wikipedia,3e-05,64.0,0.0,7833.6,78.90576099440705,78.71218399030583,79.41332186318482,74.80796018431423,77.64448867926829,5
studio-ousia/luke-japanese-large-lite,cc100,5e-05,64.0,0.0,1689.6,77.93211346806314,77.81916576018342,79.37213875820943,75.57193984355467,77.58774812064918,5
xlm-roberta-large,bccwj,1e-05,64.0,0.0,9420.8,81.00477913499579,80.32579777401989,78.66077820688378,73.77258214077328,77.58638604055899,5
cl-tohoku/bert-base-japanese-v3,wikipedia,5e-05,64.0,0.0,5580.8,79.77509256716598,78.8900449261055,78.67205119118803,75.10499165665559,77.55569592464971,5
xlm-roberta-large,wikipedia,3e-05,64.0,0.0,6912.0,81.51869875193518,80.74151499539168,77.99720976125468,73.81646873453181,77.51839783039273,5
