model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
nlp-waseda/roberta-large-japanese,cc100,3e-05,128.0,0.0,1561.6,82.39428121420403,82.02889711121789,81.39198365907207,76.13746216439856,79.8527809782295,5
studio-ousia/luke-japanese-large-lite,cc100,5e-05,64.0,0.0,1689.6,77.93211346806314,77.81916576018342,79.37213875820943,75.57193984355467,77.58774812064918,5
cl-tohoku/bert-base-japanese-v3,cc100,3e-05,64.0,0.0,11417.6,78.39326480228992,78.17785483890009,78.71183521556193,74.37911182314886,77.08960062587029,5
xlm-roberta-large,cc100,5e-05,256.0,0.0,2880.0,80.50227433141009,80.30174024619889,77.87480572415436,72.65999013774857,76.94551203603393,5
studio-ousia/luke-japanese-base-lite,cc100,3e-05,64.0,0.0,1996.8,80.89676393247314,79.96160007250266,77.75326414769128,72.89555943802515,76.87014121940636,5
studio-ousia/mluke-large-lite,cc100,3e-05,64.0,0.0,7731.2,79.72919028647816,78.71672873608125,76.87482349485909,72.32497813538336,75.97217678877456,5
cl-tohoku/bert-large-japanese-char-v2,cc100,3e-05,64.0,0.0,5120.0,77.6809838382443,77.23585365406709,77.40903055783733,72.69791396203888,75.78093272464777,5
ku-nlp/deberta-v2-large-japanese,cc100,5e-05,256.0,0.0,2662.4,74.27751010551286,74.70354622916938,78.41267553830491,74.14982364608053,75.75534847118493,5
cl-tohoku/bert-large-japanese,cc100,5e-05,128.0,0.0,2227.2,76.95656047821399,77.04831847850116,76.09685796475728,71.2832716891123,74.80948271079026,5
cl-tohoku/bert-base-japanese-v2,cc100,5e-05,128.0,0.0,1612.8,78.35453792296161,77.88300527454535,75.71787341866387,70.5735381500403,74.72480561441651,5
cl-tohoku/bert-large-japanese-v2,cc100,5e-05,64.0,0.0,9625.6,76.26309659128519,76.26802025029772,75.9077792225523,71.38830046094013,74.52136664459672,5
ku-nlp/deberta-v2-base-japanese,cc100,3e-05,256.0,0.0,2572.8,74.4639698193362,74.19712577818173,76.87393336364441,72.26911572941374,74.44672495707997,5
nlp-waseda/roberta-base-japanese,cc100,5e-05,64.0,0.0,3584.0,73.05786488906946,73.29353970822115,77.11591735003012,72.15467045729059,74.18804250518062,5
studio-ousia/mluke-base-lite,cc100,1e-05,64.0,0.0,2406.4,80.44188302481396,79.46482180916298,73.95284045868769,69.14249972669637,74.18672066484902,5
cl-tohoku/bert-base-japanese-char-v3,cc100,5e-05,64.0,0.0,12390.4,74.99463628475246,75.07288532363246,76.02758498287076,71.31832438766779,74.13959823139034,5
cl-tohoku/bert-base-japanese-char-v2,cc100,5e-05,128.0,0.0,3942.4,78.63800191439879,78.53738984930155,73.13045265527528,67.93523396510942,73.20102548989541,5
ku-nlp/roberta-large-japanese-char-wwm,cc100,5e-05,64.0,0.0,1689.6,73.19904364724628,72.90132351822271,75.34500329182218,70.36856726100487,72.87163135701658,5
cl-tohoku/bert-base-japanese-char,cc100,3e-05,128.0,0.2,6425.6,76.88530540222246,76.78760692187427,71.92840856846799,67.00133864357825,71.90578471130684,5
bert-base-multilingual-cased,cc100,3e-05,64.0,0.0,10598.4,78.24959228656392,77.91921668815765,71.34317293699749,65.85362575766204,71.70533846093906,5
xlm-roberta-base,cc100,5e-05,128.0,0.0,5299.2,78.61817307231553,78.343244175478,70.58411142276006,66.06945924054324,71.66560494626043,5
cl-tohoku/bert-base-japanese-whole-word-masking,cc100,1e-05,64.0,0.0,5222.4,74.72533023597234,73.96700156039682,72.44965372886199,68.39471466029227,71.6037899831837,5
cl-tohoku/bert-base-japanese,cc100,5e-05,64.0,0.0,1740.8,73.99735563958117,73.74874795759052,71.41208141739301,67.59858312053575,70.91980416517309,5
ku-nlp/roberta-base-japanese-char-wwm,cc100,1e-05,64.0,0.0,768.0,68.99697521612823,68.92388112933244,71.61122241097094,65.91957256367562,68.818225367993,5
megagonlabs/roberta-long-japanese,cc100,1e-05,64.0,0.0,6912.0,73.31953565252073,73.45719804436587,69.4676229621322,62.82758386681691,68.58413495777165,5
