model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
bert-base-multilingual-cased,bccwj,1e-05,64.0,0.2,14080.0,78.8426293667957,78.63055277404247,72.65269828470649,66.96422815925052,72.74915973933317,5
bert-base-multilingual-cased,bccwj,3e-05,64.0,0.0,10393.6,78.97228578158848,78.63127985345017,72.211757827855,66.78620444723506,72.5430807095134,5
bert-base-multilingual-cased,bccwj,5e-05,64.0,0.0,7936.0,79.0127769113856,78.62586759603975,72.1281550004364,66.49909331683394,72.41770530443668,5
bert-base-multilingual-cased,bccwj,1e-05,128.0,0.4,7500.8,78.36405864975131,78.39452732247425,72.84157473843405,67.05184405174559,72.76264870421797,5
bert-base-multilingual-cased,bccwj,3e-05,128.0,0.0,6169.6,78.89158127780321,78.73993745698854,72.98459002065637,67.15414480779785,72.9595574284809,5
bert-base-multilingual-cased,bccwj,5e-05,128.0,0.2,6195.2,79.12307795050533,78.91687410824034,72.74196643253822,67.08383445151631,72.91422499743162,5
bert-base-multilingual-cased,bccwj,1e-05,256.0,1.0,4070.4,77.37053519026239,77.60370097527036,72.56117067647412,66.80726705838713,72.32404623671053,5
bert-base-multilingual-cased,bccwj,3e-05,256.0,0.2,3276.8,78.26585373073593,78.22626330072173,72.62368964840881,66.81277313263357,72.5542420272547,5
bert-base-multilingual-cased,bccwj,5e-05,256.0,0.2,3123.2,78.51129793862998,78.40919207986249,72.66087482961504,66.82578455194917,72.63195048714223,5
bert-base-multilingual-cased,bccwj,1e-05,512.0,1.0,2041.6,76.79564326544762,77.14217303353064,72.32884501088984,66.5855568930605,72.01885831249365,5
bert-base-multilingual-cased,bccwj,3e-05,512.0,0.6,1971.2,78.3034728736006,78.32929420715136,72.51587395082257,66.76168894374084,72.53561903390492,5
bert-base-multilingual-cased,bccwj,5e-05,512.0,0.4,1792.0,78.25868751966689,78.24068132405546,72.43699281420564,66.5097490186027,72.3958077189546,5
cl-tohoku/bert-base-japanese,bccwj,1e-05,64.0,0.0,7577.6,76.86523966772697,76.70164982950158,74.95953574678816,70.91884714510932,74.19334424046636,5
cl-tohoku/bert-base-japanese,bccwj,3e-05,64.0,0.0,3788.8,77.10639729374527,76.92215346057637,74.58494420348067,70.54167204491264,74.01625656965658,5
cl-tohoku/bert-base-japanese,bccwj,5e-05,64.0,0.0,2713.6,76.35886482032288,76.15050970402201,74.37363190734195,70.14537304606695,73.5565048858103,5
cl-tohoku/bert-base-japanese,bccwj,1e-05,128.0,0.2,6348.8,77.05075400487877,76.996232504034,74.7286560853725,70.78753503784212,74.17080787574955,5
cl-tohoku/bert-base-japanese,bccwj,3e-05,128.0,0.0,3891.2,76.81909316690204,76.76340461679061,75.5524792340453,71.4001652303739,74.57201636040327,5
cl-tohoku/bert-base-japanese,bccwj,5e-05,128.0,0.0,1843.2,77.09759654833385,76.7996236042446,74.32998949326554,70.26243287291064,73.79734865680692,5
cl-tohoku/bert-base-japanese,bccwj,1e-05,256.0,0.4,3712.0,76.62667803202105,76.43883214304773,74.3018920343755,70.33300362989716,73.69124260244014,5
cl-tohoku/bert-base-japanese,bccwj,3e-05,256.0,0.0,1856.0,76.58210884086274,76.48913360906994,74.34989138754158,70.2523402811353,73.69712175924893,5
cl-tohoku/bert-base-japanese,bccwj,5e-05,256.0,0.0,1344.0,76.83596413848986,76.72880862828609,74.27535197118156,70.26130206266717,73.75515422071162,5
cl-tohoku/bert-base-japanese,bccwj,1e-05,512.0,1.0,2016.0,76.39463674386616,76.11560810922268,73.78419662736003,70.1315156621679,73.3437734662502,5
cl-tohoku/bert-base-japanese,bccwj,3e-05,512.0,0.0,1036.8,76.6050734780865,76.62346717460575,74.2872297211261,70.39384905177225,73.76818198250137,5
cl-tohoku/bert-base-japanese,bccwj,5e-05,512.0,0.0,800.0,77.287966814442,77.19662030272694,74.7023818556294,70.81991152017399,74.23963789284343,5
cl-tohoku/bert-base-japanese-char,bccwj,1e-05,64.0,0.0,9472.0,78.64587369661861,78.03126649166154,73.23334203126997,67.98312658268858,73.08257836854003,5
cl-tohoku/bert-base-japanese-char,bccwj,3e-05,64.0,0.0,4761.6,78.69988040452746,78.0643708116975,72.7363374695281,67.70194180505219,72.83421669542592,5
cl-tohoku/bert-base-japanese-char,bccwj,5e-05,64.0,0.0,4147.2,78.55897051296202,77.74115715157461,72.55098673975095,67.73162742286,72.67459043806187,5
cl-tohoku/bert-base-japanese-char,bccwj,1e-05,128.0,0.2,7321.6,78.66381586204314,78.12688603409924,73.05568421548375,68.00851526326917,73.06369517095074,5
cl-tohoku/bert-base-japanese-char,bccwj,3e-05,128.0,0.0,4736.0,78.94483180447364,78.36880012863091,72.91336437248677,67.87039067010075,73.05085172373948,5
cl-tohoku/bert-base-japanese-char,bccwj,5e-05,128.0,0.0,3302.4,78.66028646915463,78.14250448721992,73.17691135754146,67.92814313892623,73.0825196612292,5
cl-tohoku/bert-base-japanese-char,bccwj,1e-05,256.0,0.6,3980.8,78.51721006112709,77.89124542078403,72.35030833788389,67.27286552244036,72.50480642703609,5
cl-tohoku/bert-base-japanese-char,bccwj,3e-05,256.0,0.0,3328.0,78.9360840446625,78.43686636126404,72.98743670511894,67.88189941797073,73.10206749478456,5
cl-tohoku/bert-base-japanese-char,bccwj,5e-05,256.0,0.0,1766.4,78.91788683023846,78.42151460115403,72.57662590240058,67.67641270097361,72.89151773484274,5
cl-tohoku/bert-base-japanese-char,bccwj,1e-05,512.0,0.8,2009.6,77.98216385519915,77.35725003249624,71.69380772252548,66.83538337478676,71.96214704326948,5
