model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
bert-base-multilingual-cased,cc100,1e-05,64.0,0.0,12083.2,77.42336243066164,77.34130736534989,71.45344233612833,65.56063349640822,71.45179439929548,5
bert-base-multilingual-cased,cc100,3e-05,64.0,0.0,10598.4,78.24959228656392,77.91921668815765,71.34317293699749,65.85362575766204,71.70533846093906,5
bert-base-multilingual-cased,cc100,5e-05,64.0,0.0,10137.6,78.06542033133897,77.59087680496447,70.83309400132578,65.32398983814619,71.24932021481214,5
bert-base-multilingual-cased,cc100,1e-05,128.0,0.4,7424.0,75.8820891606383,76.17001507694866,70.86473268667706,65.11663907193257,70.71712894518609,5
bert-base-multilingual-cased,cc100,3e-05,128.0,0.0,6860.8,77.40850427656095,77.38474461281317,70.82545586479402,65.30513039787851,71.17177695849524,5
bert-base-multilingual-cased,cc100,5e-05,128.0,0.0,6604.8,77.88794503035123,77.72064927311303,71.00897886899538,65.67460974735927,71.46807929648922,5
bert-base-multilingual-cased,cc100,1e-05,256.0,0.8,4019.2,75.00811748395037,75.48476659642385,70.87906536271798,65.19026623444267,70.51803273119484,5
bert-base-multilingual-cased,cc100,3e-05,256.0,0.4,3788.8,76.4522839278473,76.60016298910877,71.03949564961002,65.22150125565832,70.95371996479237,5
bert-base-multilingual-cased,cc100,5e-05,256.0,0.6,3827.2,76.52977599437529,76.55882610463223,70.69814194550706,65.11234037357096,70.78976947457008,5
bert-base-multilingual-cased,cc100,1e-05,512.0,1.0,2041.6,73.80610385236801,74.47394712156529,70.36529044863984,64.91009245583098,69.91644334201203,5
bert-base-multilingual-cased,cc100,3e-05,512.0,0.8,1900.8,75.78761749534303,76.08406068453785,70.88629602937775,65.11213378803313,70.69416350064958,5
bert-base-multilingual-cased,cc100,5e-05,512.0,0.4,1836.8,75.86264669396023,76.10022517891514,70.68839348697512,64.97226241752118,70.58696036113714,5
cl-tohoku/bert-base-japanese,cc100,1e-05,64.0,0.0,8038.4,72.43098066601968,72.48557861828832,71.91100429314797,67.95073662054001,70.7824398439921,5
cl-tohoku/bert-base-japanese,cc100,3e-05,64.0,0.0,3379.2,72.55755917641254,72.54725781357864,71.5998276584344,67.93592496395067,70.6943368119879,5
cl-tohoku/bert-base-japanese,cc100,5e-05,64.0,0.0,1740.8,73.99735563958117,73.74874795759052,71.41208141739301,67.59858312053575,70.91980416517309,5
cl-tohoku/bert-base-japanese,cc100,1e-05,128.0,0.0,5785.6,73.11667670529144,73.04759271990983,71.72012398241455,68.0318362411628,70.93318431449572,5
cl-tohoku/bert-base-japanese,cc100,3e-05,128.0,0.0,2585.6,73.48604803766662,73.52355387241265,72.10293722893788,68.26438758244157,71.29695956126403,5
cl-tohoku/bert-base-japanese,cc100,5e-05,128.0,0.0,1664.0,73.05091414774031,73.03559706531863,71.83970495902159,67.863809565012,70.91303719645074,5
cl-tohoku/bert-base-japanese,cc100,1e-05,256.0,0.4,3353.6,72.55210341859872,72.61265621112929,71.56062807351437,68.06436739370452,70.74588389278271,5
cl-tohoku/bert-base-japanese,cc100,3e-05,256.0,0.0,1996.8,72.93684251941356,72.97729363655584,72.25341028061001,68.28930584518864,71.17333658745149,5
cl-tohoku/bert-base-japanese,cc100,5e-05,256.0,0.0,1062.4,72.99771084194866,72.98212130759391,71.57310385173494,67.64184093255079,70.73235536395988,5
cl-tohoku/bert-base-japanese,cc100,1e-05,512.0,0.6,1926.4,72.82856696367062,72.76998462059528,71.33432958800529,67.84673826489175,70.65035082449745,5
cl-tohoku/bert-base-japanese,cc100,3e-05,512.0,0.0,1356.8,72.77424377937044,72.82290814951116,72.18440558466276,68.52877516269591,71.17869629895661,5
cl-tohoku/bert-base-japanese,cc100,5e-05,512.0,0.0,595.2,72.5226595139566,72.55582265824481,71.69207590609884,68.04856034658523,70.76548630364296,5
cl-tohoku/bert-base-japanese-char,cc100,1e-05,64.0,0.0,9164.8,76.27174962866846,76.08611879704394,70.47553100471775,65.8837486085405,70.81513280343407,5
cl-tohoku/bert-base-japanese-char,cc100,3e-05,64.0,0.0,5939.2,76.33896353812513,75.9023538203792,71.16241606888806,65.93797309722342,71.00091432883023,5
