model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
bert-base-multilingual-cased,bccwj,1e-05,64.0,0.2,14080.0,78.8426293667957,78.63055277404247,72.65269828470649,66.96422815925052,72.74915973933317,5
bert-base-multilingual-cased,bccwj,3e-05,64.0,0.0,10393.6,78.97228578158848,78.63127985345017,72.211757827855,66.78620444723506,72.5430807095134,5
bert-base-multilingual-cased,bccwj,5e-05,64.0,0.0,7936.0,79.0127769113856,78.62586759603975,72.1281550004364,66.49909331683394,72.41770530443668,5
bert-base-multilingual-cased,bccwj,1e-05,128.0,0.4,7500.8,78.36405864975131,78.39452732247425,72.84157473843405,67.05184405174559,72.76264870421797,5
bert-base-multilingual-cased,bccwj,3e-05,128.0,0.0,6169.6,78.89158127780321,78.73993745698854,72.98459002065637,67.15414480779785,72.9595574284809,5
bert-base-multilingual-cased,bccwj,5e-05,128.0,0.2,6195.2,79.12307795050533,78.91687410824034,72.74196643253822,67.08383445151631,72.91422499743162,5
bert-base-multilingual-cased,bccwj,1e-05,256.0,1.0,4070.4,77.37053519026239,77.60370097527036,72.56117067647412,66.80726705838713,72.32404623671053,5
bert-base-multilingual-cased,bccwj,3e-05,256.0,0.2,3276.8,78.26585373073593,78.22626330072173,72.62368964840881,66.81277313263357,72.5542420272547,5
bert-base-multilingual-cased,bccwj,5e-05,256.0,0.2,3123.2,78.51129793862998,78.40919207986249,72.66087482961504,66.82578455194917,72.63195048714223,5
bert-base-multilingual-cased,bccwj,1e-05,512.0,1.0,2041.6,76.79564326544762,77.14217303353064,72.32884501088984,66.5855568930605,72.01885831249365,5
bert-base-multilingual-cased,bccwj,3e-05,512.0,0.6,1971.2,78.3034728736006,78.32929420715136,72.51587395082257,66.76168894374084,72.53561903390492,5
bert-base-multilingual-cased,bccwj,5e-05,512.0,0.4,1792.0,78.25868751966689,78.24068132405546,72.43699281420564,66.5097490186027,72.3958077189546,5
bert-base-multilingual-cased,cc100,1e-05,64.0,0.0,12083.2,77.42336243066164,77.34130736534989,71.45344233612833,65.56063349640822,71.45179439929548,5
bert-base-multilingual-cased,cc100,3e-05,64.0,0.0,10598.4,78.24959228656392,77.91921668815765,71.34317293699749,65.85362575766204,71.70533846093906,5
bert-base-multilingual-cased,cc100,5e-05,64.0,0.0,10137.6,78.06542033133897,77.59087680496447,70.83309400132578,65.32398983814619,71.24932021481214,5
bert-base-multilingual-cased,cc100,1e-05,128.0,0.4,7424.0,75.8820891606383,76.17001507694866,70.86473268667706,65.11663907193257,70.71712894518609,5
bert-base-multilingual-cased,cc100,3e-05,128.0,0.0,6860.8,77.40850427656095,77.38474461281317,70.82545586479402,65.30513039787851,71.17177695849524,5
bert-base-multilingual-cased,cc100,5e-05,128.0,0.0,6604.8,77.88794503035123,77.72064927311303,71.00897886899538,65.67460974735927,71.46807929648922,5
bert-base-multilingual-cased,cc100,1e-05,256.0,0.8,4019.2,75.00811748395037,75.48476659642385,70.87906536271798,65.19026623444267,70.51803273119484,5
bert-base-multilingual-cased,cc100,3e-05,256.0,0.4,3788.8,76.4522839278473,76.60016298910877,71.03949564961002,65.22150125565832,70.95371996479237,5
bert-base-multilingual-cased,cc100,5e-05,256.0,0.6,3827.2,76.52977599437529,76.55882610463223,70.69814194550706,65.11234037357096,70.78976947457008,5
bert-base-multilingual-cased,cc100,1e-05,512.0,1.0,2041.6,73.80610385236801,74.47394712156529,70.36529044863984,64.91009245583098,69.91644334201203,5
bert-base-multilingual-cased,cc100,3e-05,512.0,0.8,1900.8,75.78761749534303,76.08406068453785,70.88629602937775,65.11213378803313,70.69416350064958,5
bert-base-multilingual-cased,cc100,5e-05,512.0,0.4,1836.8,75.86264669396023,76.10022517891514,70.68839348697512,64.97226241752118,70.58696036113714,5
bert-base-multilingual-cased,wiki40b,1e-05,64.0,0.2,15206.4,77.79393582702244,77.89029659783765,72.14766886431967,66.8540031863672,72.2973228828415,5
bert-base-multilingual-cased,wiki40b,3e-05,64.0,0.4,13414.4,78.37016776634614,78.2772135961889,71.96648723786365,67.41910673842874,72.5542691908271,5
bert-base-multilingual-cased,wiki40b,5e-05,64.0,0.0,11212.8,78.45110338348748,78.2327092011449,72.35506232837216,67.59637356285262,72.72804836412323,5
bert-base-multilingual-cased,wiki40b,1e-05,128.0,1.0,8166.4,75.38343506126175,76.02508729734153,71.21206913645331,65.62998750059157,70.95571464479548,5
bert-base-multilingual-cased,wiki40b,3e-05,128.0,0.6,7628.8,76.97496068998987,77.10218204936368,71.345043364098,65.89486504727472,71.44736348691214,5
bert-base-multilingual-cased,wiki40b,5e-05,128.0,0.4,7449.6,77.52591339412223,77.4792729671212,71.62154922749535,66.5671262388365,71.88931614448435,5
bert-base-multilingual-cased,wiki40b,1e-05,256.0,1.0,4057.6,72.25706709038721,73.24265537833965,70.21160114297867,64.65319445051755,69.36915032394529,5
bert-base-multilingual-cased,wiki40b,3e-05,256.0,1.0,4083.2,75.70970685331652,76.29971203890881,71.37113616548422,65.8225194965162,71.16445590030307,5
bert-base-multilingual-cased,wiki40b,5e-05,256.0,0.8,4006.4,76.612258530277,76.89414909400992,71.46382488140924,66.02249515258134,71.46015637600017,5
bert-base-multilingual-cased,wiki40b,1e-05,512.0,1.0,2041.6,70.73468055766921,71.79412984920188,69.13146713895648,63.80694370284366,68.24418023033401,5
bert-base-multilingual-cased,wiki40b,3e-05,512.0,1.0,2035.2,74.052536409648,74.85083591369306,70.71315627396271,65.24657123462114,70.27018780742563,5
