model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
cl-tohoku/bert-base-japanese-char-v2,bccwj,1e-05,64.0,0.0,10700.8,79.94009152596392,79.79987742873811,75.04298747653328,69.5791092964582,74.80732473390987,5
cl-tohoku/bert-base-japanese-char-v2,bccwj,3e-05,64.0,0.0,5632.0,80.19973383965993,79.97612412779414,74.90977870860354,69.42261557604773,74.7695061374818,5
cl-tohoku/bert-base-japanese-char-v2,bccwj,5e-05,64.0,0.0,4147.2,79.98837936087847,79.77843886787399,74.54490061105275,69.27589061466674,74.5330766978645,5
cl-tohoku/bert-base-japanese-char-v2,bccwj,1e-05,128.0,0.0,6041.6,79.79624394926091,79.5826200172838,74.46588224608975,68.93688285482654,74.32846170606669,5
cl-tohoku/bert-base-japanese-char-v2,bccwj,3e-05,128.0,0.0,4300.8,79.97725499141431,79.74598957449996,75.09421494884445,69.5511180486683,74.79710752400425,5
cl-tohoku/bert-base-japanese-char-v2,bccwj,5e-05,128.0,0.0,2969.6,80.0077287957395,79.81506773090257,74.86441460952607,69.58760337627685,74.75569523890184,5
cl-tohoku/bert-base-japanese-char-v2,bccwj,1e-05,256.0,0.2,3609.6,79.29201947299518,79.05180160899009,73.84662541003279,68.38893244948432,73.76245315616907,5
cl-tohoku/bert-base-japanese-char-v2,bccwj,3e-05,256.0,0.0,2790.4,80.0395914440323,79.82396495202427,74.83269109700436,69.18819038563785,74.6149488115555,5
cl-tohoku/bert-base-japanese-char-v2,bccwj,5e-05,256.0,0.0,3020.8,80.02705269669516,79.82159491450507,75.068335345384,69.37187486339943,74.75393504109617,5
cl-tohoku/bert-base-japanese-char-v2,bccwj,1e-05,512.0,1.0,2009.6,78.98792253407949,78.78055983591567,73.4293634899682,67.94649736831566,73.38547356473318,5
cl-tohoku/bert-base-japanese-char-v2,bccwj,3e-05,512.0,0.2,1779.2,79.18547288770064,78.9922652776826,74.23225310487298,68.63245851464883,73.95232563240147,5
cl-tohoku/bert-base-japanese-char-v2,bccwj,5e-05,512.0,0.2,1350.4,79.66693568715415,79.4695066580451,74.05229421048098,68.6046695359083,74.04215680147813,5
cl-tohoku/bert-base-japanese-char-v2,cc100,1e-05,64.0,0.0,10956.8,77.9453934970525,77.78999345482629,72.6764189557631,67.44372064937315,72.63671101998752,5
cl-tohoku/bert-base-japanese-char-v2,cc100,3e-05,64.0,0.0,8806.4,78.43115627251464,78.52318703614586,73.5086110920389,68.43944057565231,73.49041290127903,5
cl-tohoku/bert-base-japanese-char-v2,cc100,5e-05,64.0,0.0,3942.4,77.93049910394552,77.47950961997809,72.01931272633699,67.27137052911364,72.25673095847624,5
cl-tohoku/bert-base-japanese-char-v2,cc100,1e-05,128.0,0.2,6963.2,76.5915371315131,76.51523560987552,71.61429769747875,66.31494705447355,71.4814934539426,5
cl-tohoku/bert-base-japanese-char-v2,cc100,3e-05,128.0,0.0,4966.4,78.1013698354499,77.93909997531809,72.84339635253123,67.41550845451548,72.73266826078827,5
cl-tohoku/bert-base-japanese-char-v2,cc100,5e-05,128.0,0.0,3942.4,78.63800191439879,78.53738984930155,73.13045265527528,67.93523396510942,73.20102548989541,5
cl-tohoku/bert-base-japanese-char-v2,cc100,1e-05,256.0,0.2,3622.4,75.87965891079888,75.78185282183365,70.6130937646055,65.35240167676764,70.58244942106893,5
cl-tohoku/bert-base-japanese-char-v2,cc100,3e-05,256.0,0.2,3481.6,77.02079060550611,76.83517990218634,71.93418611793518,66.77557302460028,71.84831301490726,5
cl-tohoku/bert-base-japanese-char-v2,cc100,5e-05,256.0,0.2,2803.2,78.06107069077731,77.85417062002924,72.70802320195506,67.33198510854515,72.63139297684316,5
cl-tohoku/bert-base-japanese-char-v2,cc100,1e-05,512.0,0.4,1926.4,75.8403579979524,75.60501298239349,69.99912120700162,64.83599487325888,70.14670968755134,5
cl-tohoku/bert-base-japanese-char-v2,cc100,3e-05,512.0,0.2,1881.6,76.56834559443143,76.45625975270441,71.5144660215151,66.30033826562598,71.42368801328183,5
cl-tohoku/bert-base-japanese-char-v2,cc100,5e-05,512.0,0.0,1465.6,76.62008367073881,76.38778118748847,71.48590017461821,66.27033508558284,71.3813388158965,5
cl-tohoku/bert-base-japanese-char-v2,wiki40b,1e-05,64.0,0.0,11827.2,79.28622668096128,79.0033730872068,75.59687413340558,71.36045585835379,75.3202343596554,5
cl-tohoku/bert-base-japanese-char-v2,wiki40b,3e-05,64.0,0.0,4864.0,78.51879063772404,78.26234846709622,74.65750944834375,70.4987197113347,74.47285920892489,5
cl-tohoku/bert-base-japanese-char-v2,wiki40b,5e-05,64.0,0.0,5273.6,78.67188522007785,78.59053846835133,75.17106900860954,71.09386272350066,74.95182340015386,5
cl-tohoku/bert-base-japanese-char-v2,wiki40b,1e-05,128.0,0.2,7398.4,77.63618422530445,77.38961199697113,73.92077800455851,69.57859853145531,73.62966284432832,5
cl-tohoku/bert-base-japanese-char-v2,wiki40b,3e-05,128.0,0.0,6323.2,78.46377986484545,78.13506498371655,75.59781557669469,71.42514993139012,75.05267683060045,5
cl-tohoku/bert-base-japanese-char-v2,wiki40b,5e-05,128.0,0.0,3225.6,78.49034076438268,78.099726636046,75.31573649876034,71.16957639694678,74.8616798439177,5
cl-tohoku/bert-base-japanese-char-v2,wiki40b,1e-05,256.0,1.0,4057.6,75.99590771829574,75.81888522297481,72.48970299685996,68.06427439981076,72.12428753988185,5
cl-tohoku/bert-base-japanese-char-v2,wiki40b,3e-05,256.0,0.0,3366.4,78.03820010144088,77.72825575632763,74.5936736765352,70.35208359089532,74.22467100791937,5
cl-tohoku/bert-base-japanese-char-v2,wiki40b,5e-05,256.0,0.0,2841.6,78.77766581163938,78.46763917081248,74.971973795248,70.84254702659109,74.76071999755052,5
cl-tohoku/bert-base-japanese-char-v2,wiki40b,1e-05,512.0,0.8,1990.4,73.06559773606587,73.10944929062563,70.38336227668563,65.9885513262631,69.8271209645248,5
cl-tohoku/bert-base-japanese-char-v2,wiki40b,3e-05,512.0,0.8,1996.8,76.56267531068877,76.44101005082646,73.4020409507194,69.20150669010755,73.01485256388447,5
cl-tohoku/bert-base-japanese-char-v2,wiki40b,5e-05,512.0,0.4,1817.6,77.66356829344703,77.34769067456406,74.2678946251851,70.15381064907282,73.92313198294066,5
cl-tohoku/bert-base-japanese-char-v2,wikipedia,1e-05,64.0,0.2,11724.8,79.67896772903256,79.18211427063243,75.77027803909829,71.37196627653587,75.44145286208887,5
cl-tohoku/bert-base-japanese-char-v2,wikipedia,3e-05,64.0,0.0,6860.8,79.1895459128798,78.77165810872535,75.55530763759734,71.40691207404504,75.24462594012257,5
cl-tohoku/bert-base-japanese-char-v2,wikipedia,5e-05,64.0,0.0,3328.0,78.57660718457178,78.1361016980621,74.69120556321444,70.9690065404239,74.59877126723349,5
cl-tohoku/bert-base-japanese-char-v2,wikipedia,1e-05,128.0,0.4,7296.0,78.81038538719363,78.48942921339443,74.58676961039832,70.37343786213306,74.48321222864195,5
cl-tohoku/bert-base-japanese-char-v2,wikipedia,3e-05,128.0,0.0,4428.8,79.81232996812349,79.45030960132326,76.01513918124205,71.70606076011481,75.7238365142267,5
cl-tohoku/bert-base-japanese-char-v2,wikipedia,5e-05,128.0,0.0,3046.4,79.52794363942078,79.18803343215453,75.2246478066036,71.40452058303279,75.27240060726363,5
cl-tohoku/bert-base-japanese-char-v2,wikipedia,1e-05,256.0,0.4,3878.4,77.01963101497833,76.8234107530328,73.04139772378787,68.79098900847957,72.88526582843342,5
cl-tohoku/bert-base-japanese-char-v2,wikipedia,3e-05,256.0,0.0,3136.0,78.95788926433247,78.63885439413744,74.52545131316194,70.4628481036073,74.54238460363555,5
cl-tohoku/bert-base-japanese-char-v2,wikipedia,5e-05,256.0,0.0,2649.6,78.95039822532017,78.55768457497177,75.56656881766335,71.38574968271176,75.17000102511562,5
cl-tohoku/bert-base-japanese-char-v2,wikipedia,1e-05,512.0,1.0,2035.2,75.33453239037813,75.24995692719635,71.48256493849831,67.199598109871,71.31070665852188,5
cl-tohoku/bert-base-japanese-char-v2,wikipedia,3e-05,512.0,0.2,1881.6,77.77137420699641,77.54464665931586,74.06602274483171,69.82216320189097,73.81094420201285,5
cl-tohoku/bert-base-japanese-char-v2,wikipedia,5e-05,512.0,0.2,1664.0,78.4788133708346,78.18858196234137,74.83156605460971,70.67434715602329,74.56483172432479,5
