model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
cl-tohoku/bert-large-japanese-char-v2,bccwj,1e-05,64.0,0.0,12697.6,80.38267706655527,80.0435416379701,79.18739597656838,74.56692153279398,77.93261971577748,5
cl-tohoku/bert-large-japanese-char-v2,bccwj,3e-05,64.0,0.0,4710.4,77.25064573165747,76.90357112733817,76.7094819585506,72.27332564913931,75.2954595783427,5
cl-tohoku/bert-large-japanese-char-v2,bccwj,5e-05,64.0,0.0,3276.8,77.98230825321798,77.76550679590383,77.94983543055582,73.5087053069323,76.40801584446399,5
cl-tohoku/bert-large-japanese-char-v2,bccwj,1e-05,128.0,0.6,7961.6,78.73461724592124,78.45302619635713,78.90236225132284,74.30603486371626,77.22047443713208,5
cl-tohoku/bert-large-japanese-char-v2,bccwj,3e-05,128.0,0.2,6092.8,79.80770566460505,79.48549576093323,79.06245562590811,74.60133514873135,77.7164288451909,5
cl-tohoku/bert-large-japanese-char-v2,bccwj,5e-05,128.0,0.0,3712.0,80.03164590368462,79.72329212599861,79.42781456583575,75.00535481926086,78.05215383703174,5
cl-tohoku/bert-large-japanese-char-v2,bccwj,1e-05,256.0,1.0,4083.2,77.35457697397588,76.9779948455448,77.95081524229802,73.33759822671742,76.08880277152008,5
cl-tohoku/bert-large-japanese-char-v2,bccwj,3e-05,256.0,0.8,3955.2,79.54512663166113,79.26604490038298,79.29679816732167,74.6996136059253,77.7541522245433,5
cl-tohoku/bert-large-japanese-char-v2,bccwj,5e-05,256.0,0.2,3430.4,80.28543533180745,79.9900128412164,79.47093108888657,75.08300347903345,78.18131580304548,5
cl-tohoku/bert-large-japanese-char-v2,bccwj,1e-05,512.0,1.0,2035.2,77.0892057327042,76.71805474103455,77.45882413407533,72.78393211725138,75.65360366412042,5
cl-tohoku/bert-large-japanese-char-v2,bccwj,3e-05,512.0,0.6,1939.2,78.72809863360592,78.51517183505749,78.69501123215227,74.14518579766798,77.11845628829258,5
cl-tohoku/bert-large-japanese-char-v2,bccwj,5e-05,512.0,0.2,1862.4,79.49399856240537,79.37816342639482,78.87503865454923,74.23938244911179,77.49752817668528,5
cl-tohoku/bert-large-japanese-char-v2,cc100,1e-05,64.0,0.4,14540.8,76.36496143231196,76.13119856446663,77.50769354350902,73.47501764958481,75.70463658585349,5
cl-tohoku/bert-large-japanese-char-v2,cc100,3e-05,64.0,0.0,5120.0,77.6809838382443,77.23585365406709,77.40903055783733,72.69791396203888,75.78093272464777,5
cl-tohoku/bert-large-japanese-char-v2,cc100,5e-05,64.0,0.0,4454.4,75.81798776736684,75.59532703787548,73.43597725504176,69.31027239053235,72.78052556114986,5
cl-tohoku/bert-large-japanese-char-v2,cc100,1e-05,128.0,0.4,7680.0,72.25766174026549,72.28887290514076,76.26842281110456,71.96514495296485,73.50748022307006,5
cl-tohoku/bert-large-japanese-char-v2,cc100,3e-05,128.0,0.0,6963.2,76.99417427057824,76.6774724861402,77.15935187524619,72.88768670186255,75.57483702108297,5
cl-tohoku/bert-large-japanese-char-v2,cc100,5e-05,128.0,0.0,3328.0,75.04898957766414,74.90711174456845,75.28115009816716,70.95456710557623,73.71427631610395,5
cl-tohoku/bert-large-japanese-char-v2,cc100,1e-05,256.0,0.6,3763.2,70.5319075939862,70.62265922843149,75.50403130872863,71.104445591548,72.41037870956936,5
cl-tohoku/bert-large-japanese-char-v2,cc100,3e-05,256.0,0.4,3660.8,74.86949493727467,74.81692670879923,77.04468706489112,72.71493775883194,74.85885051084077,5
cl-tohoku/bert-large-japanese-char-v2,cc100,5e-05,256.0,0.0,3353.6,76.76467475321823,76.72555217662509,77.18873361600444,73.09696969682405,75.67041849648452,5
cl-tohoku/bert-large-japanese-char-v2,cc100,1e-05,512.0,0.8,1945.6,69.99091716268035,69.92304865789825,74.48764306373822,70.2665227671479,71.55907149626145,5
cl-tohoku/bert-large-japanese-char-v2,cc100,3e-05,512.0,0.4,1785.6,72.0590050037964,72.08846450085743,76.10568242248524,71.83589425595146,73.34334705976471,5
cl-tohoku/bert-large-japanese-char-v2,cc100,5e-05,512.0,0.4,1926.4,73.48367523473057,73.53243586903545,76.75813351511067,72.79674523272097,74.36243820562235,5
cl-tohoku/bert-large-japanese-char-v2,wiki40b,1e-05,64.0,0.2,14080.0,79.06618995506764,78.72771321511867,79.09630983591885,75.67503159467526,77.8330182152376,5
cl-tohoku/bert-large-japanese-char-v2,wiki40b,3e-05,64.0,0.0,6604.8,78.4350722470062,78.10884272772026,78.09455311336191,74.20005716307688,76.80115100138634,5
cl-tohoku/bert-large-japanese-char-v2,wiki40b,5e-05,64.0,0.0,5632.0,78.89877174691023,78.37035125364955,77.85762439691881,74.02119213174966,76.749722594106,5
cl-tohoku/bert-large-japanese-char-v2,wiki40b,1e-05,128.0,0.4,7603.2,77.6080558380025,77.39360344519943,78.24208466840766,74.45044481248897,76.69537764203201,5
cl-tohoku/bert-large-japanese-char-v2,wiki40b,3e-05,128.0,0.2,6707.2,78.69629784134077,78.40271946033025,78.54020485855258,74.88636139849936,77.27642857246073,5
cl-tohoku/bert-large-japanese-char-v2,wiki40b,5e-05,128.0,0.0,3865.6,78.98626630705915,78.6773178850733,78.41079192965447,74.62116769473516,77.23642583648764,5
cl-tohoku/bert-large-japanese-char-v2,wiki40b,1e-05,256.0,1.0,4070.4,75.2182280569866,74.91587646878554,76.91182174336025,73.06397418676832,74.96389079963804,5
cl-tohoku/bert-large-japanese-char-v2,wiki40b,3e-05,256.0,0.4,3187.2,78.16335089490717,77.77374232905352,78.21424834492477,74.3608538977079,76.78294819056205,5
cl-tohoku/bert-large-japanese-char-v2,wiki40b,5e-05,256.0,0.6,3468.8,78.34971260796642,78.09280834197871,78.38467259565688,74.53741589501101,77.0049656108822,5
cl-tohoku/bert-large-japanese-char-v2,wiki40b,1e-05,512.0,0.8,2009.6,72.81739826935855,72.66879573606863,75.60591954717913,71.58873064253116,73.28781530859297,5
cl-tohoku/bert-large-japanese-char-v2,wiki40b,3e-05,512.0,0.6,1971.2,76.83703855909057,76.63294483737461,77.90996921721487,74.33191368395651,76.29160924618199,5
cl-tohoku/bert-large-japanese-char-v2,wiki40b,5e-05,512.0,0.4,1817.6,77.53992773652854,77.29832420186504,78.37668049692238,74.80747657313,76.8274937573058,5
cl-tohoku/bert-large-japanese-char-v2,wikipedia,1e-05,64.0,0.2,12492.8,80.12258987933485,79.6390933934258,79.42991184150108,75.74423127399851,78.27107883630846,5
cl-tohoku/bert-large-japanese-char-v2,wikipedia,3e-05,64.0,0.0,6400.0,80.82037081549774,80.42050863343604,79.1690841275445,75.60120054950815,78.39693110349623,5
cl-tohoku/bert-large-japanese-char-v2,wikipedia,5e-05,64.0,0.0,4659.2,79.09359633042504,78.63895648975,78.33287096111998,74.56121529897314,77.17768091661438,5
cl-tohoku/bert-large-japanese-char-v2,wikipedia,1e-05,128.0,0.4,7296.0,79.52705770463535,79.12255835572704,79.11041504492323,75.45317033953867,77.89538124672966,5
cl-tohoku/bert-large-japanese-char-v2,wikipedia,3e-05,128.0,0.2,5862.4,80.0361400446441,79.74326083499216,79.61260181788298,75.94550206546653,78.43378823944722,5
cl-tohoku/bert-large-japanese-char-v2,wikipedia,5e-05,128.0,0.0,4659.2,80.21723852651125,80.00058104391876,78.53587770892932,74.67508161506694,77.73718012263834,5
cl-tohoku/bert-large-japanese-char-v2,wikipedia,1e-05,256.0,1.0,4057.6,77.02445307605353,76.72924682886837,77.81632996993007,73.96562590439643,76.17040090106495,5
cl-tohoku/bert-large-japanese-char-v2,wikipedia,3e-05,256.0,0.2,3417.6,79.33767372820631,79.06252051064979,79.00093520696555,75.41305113915678,77.82550228559072,5
cl-tohoku/bert-large-japanese-char-v2,wikipedia,5e-05,256.0,0.0,2636.8,79.95181079217494,79.71116081389012,79.51825826656031,75.87078553081612,78.36673487042218,5
cl-tohoku/bert-large-japanese-char-v2,wikipedia,1e-05,512.0,1.0,2035.2,75.98454342533424,75.81673217832638,77.082380577245,72.88481265964592,75.2613084717391,5
cl-tohoku/bert-large-japanese-char-v2,wikipedia,3e-05,512.0,0.8,1971.2,78.39309235781374,78.22181301166948,78.3819075550407,74.59438877821574,77.06603644830865,5
cl-tohoku/bert-large-japanese-char-v2,wikipedia,5e-05,512.0,0.0,1830.4,79.11470090441841,78.8717412028561,78.85429347807538,75.42210386495523,77.71604618196223,5
