model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
cl-tohoku/bert-large-japanese-v2,bccwj,1e-05,64.0,0.2,12646.4,78.18326620503737,78.3154307600912,81.7543944397484,77.27887084180712,79.11623201388224,5
cl-tohoku/bert-large-japanese-v2,bccwj,3e-05,64.0,0.0,9011.2,79.40992615792727,79.38199236415973,81.40952715445056,76.97238956983354,79.25463636281461,5
cl-tohoku/bert-large-japanese-v2,bccwj,5e-05,64.0,0.0,6041.6,79.59749785791533,79.4545174376195,80.83176656607705,76.70821315372487,78.99816571914047,5
cl-tohoku/bert-large-japanese-v2,bccwj,1e-05,128.0,0.8,8012.8,75.68271130184253,75.97340285420033,81.19848484207284,77.03088085707418,78.06758951778247,5
cl-tohoku/bert-large-japanese-v2,bccwj,3e-05,128.0,0.0,6400.0,78.88480832760601,78.96396326037184,81.6462967190574,77.25267122909483,79.2876437361747,5
cl-tohoku/bert-large-japanese-v2,bccwj,5e-05,128.0,0.0,4044.8,79.34581212749309,79.45003438905043,80.99143129380832,76.55820514871445,78.99989027719106,5
cl-tohoku/bert-large-japanese-v2,bccwj,1e-05,256.0,0.8,4019.2,71.97159257559295,72.415745204914,80.0777451930569,76.15258412563841,76.21535817453643,5
cl-tohoku/bert-large-japanese-v2,bccwj,3e-05,256.0,0.6,3635.2,75.82724707810588,76.17614329495163,81.33988368016998,77.17812641397177,78.23138446303112,5
cl-tohoku/bert-large-japanese-v2,bccwj,5e-05,256.0,0.2,3481.6,77.75534741163084,77.82207085398389,81.45880939338203,77.21498548665127,78.8319552446724,5
cl-tohoku/bert-large-japanese-v2,bccwj,1e-05,512.0,1.0,2041.6,69.82364133870001,70.4522011595971,79.21012362775203,75.5046933051248,75.0556726974913,5
cl-tohoku/bert-large-japanese-v2,bccwj,3e-05,512.0,0.2,1792.0,74.79665243819281,75.13481562504006,80.51350994467596,76.41665076859525,77.35499211277042,5
cl-tohoku/bert-large-japanese-v2,bccwj,5e-05,512.0,0.4,1824.0,76.763322200826,76.8751153814333,80.74093822262509,76.48615424379737,78.03406928261859,5
cl-tohoku/bert-large-japanese-v2,cc100,1e-05,64.0,0.0,13312.0,72.58676539692843,72.95245631702541,79.53392554856717,75.7273959433755,76.07125926965603,5
cl-tohoku/bert-large-japanese-v2,cc100,3e-05,64.0,0.0,6707.2,75.5535222049975,75.44983045324227,78.88003459197442,74.98987475810917,76.43991326777528,5
cl-tohoku/bert-large-japanese-v2,cc100,5e-05,64.0,0.0,9625.6,76.26309659128519,76.26802025029772,75.9077792225523,71.38830046094013,74.52136664459672,5
cl-tohoku/bert-large-japanese-v2,cc100,1e-05,128.0,0.0,6963.2,66.52348575006718,67.2522932130828,78.68418516260897,74.79191128129767,73.57612988566315,5
cl-tohoku/bert-large-japanese-v2,cc100,3e-05,128.0,0.4,7424.0,74.44056579036811,74.68933022083968,80.09537377941737,75.79412785824934,76.85961061950213,5
cl-tohoku/bert-large-japanese-v2,cc100,5e-05,128.0,0.0,4377.6,75.90570699233555,76.04005617061787,78.61836187278574,74.53746097013793,76.39862633784718,5
cl-tohoku/bert-large-japanese-v2,cc100,1e-05,256.0,0.8,4032.0,63.945668729201635,64.66380355891195,77.57665443723974,73.8694524694635,72.03663682187172,5
cl-tohoku/bert-large-japanese-v2,cc100,3e-05,256.0,0.4,3750.4,70.19173240420335,70.68668492751968,79.63969808967019,75.74232288955325,75.35623530224771,5
cl-tohoku/bert-large-japanese-v2,cc100,5e-05,256.0,0.2,2969.6,72.44985635601331,72.81439280639252,79.99981442366006,76.0096765430653,76.27462792437262,5
cl-tohoku/bert-large-japanese-v2,cc100,1e-05,512.0,0.8,1984.0,62.02775000829124,62.81457834872883,76.35280822439383,72.91462366296403,70.69400341202889,5
cl-tohoku/bert-large-japanese-v2,cc100,3e-05,512.0,1.0,2028.8,67.04075987477555,67.69751415258023,78.32704217580849,74.59910997149879,73.54122209996251,5
cl-tohoku/bert-large-japanese-v2,cc100,5e-05,512.0,0.4,1900.8,69.9178100657143,70.40081939366601,79.13432960295138,75.32511345726861,74.953420817962,5
cl-tohoku/bert-large-japanese-v2,wiki40b,1e-05,64.0,0.0,12185.6,74.35576885163803,74.25096875046262,80.66385670727561,77.13754075990333,77.35078873921387,5
cl-tohoku/bert-large-japanese-v2,wiki40b,3e-05,64.0,0.0,11110.4,79.54364056426836,79.13910382976294,81.00418415270447,77.17603817609744,79.10644205285496,5
cl-tohoku/bert-large-japanese-v2,wiki40b,5e-05,64.0,0.0,8089.6,78.4347789870765,77.91289153461389,79.19129092440576,74.79639818641171,77.30019354847711,5
cl-tohoku/bert-large-japanese-v2,wiki40b,1e-05,128.0,0.2,7552.0,70.63484295220297,70.69107315492863,79.68719084246749,76.12855382201442,75.50227260647019,5
cl-tohoku/bert-large-japanese-v2,wiki40b,3e-05,128.0,0.0,5836.8,75.248483631674,75.13124095462076,80.41571668523554,76.98521132622132,77.51072298869254,5
cl-tohoku/bert-large-japanese-v2,wiki40b,5e-05,128.0,0.2,6118.4,78.57190921181329,78.28207291087307,80.89401638016487,76.82439839104376,78.66682922736057,5
cl-tohoku/bert-large-japanese-v2,wiki40b,1e-05,256.0,0.8,4019.2,66.37545040264156,66.75573681938724,77.8812892305306,74.56112094888378,73.06604899960054,5
cl-tohoku/bert-large-japanese-v2,wiki40b,3e-05,256.0,0.4,3891.2,72.1742557547744,72.31617675583081,80.33239320998366,76.81253929440174,76.48703642007207,5
cl-tohoku/bert-large-japanese-v2,wiki40b,5e-05,256.0,0.4,3545.6,75.82308789407031,75.90890437922356,80.6448138698847,76.74797109992681,77.76722978301169,5
cl-tohoku/bert-large-japanese-v2,wiki40b,1e-05,512.0,1.0,2035.2,64.21244589649663,64.75291272100513,76.35159976343127,73.02250564395115,71.37567270946252,5
cl-tohoku/bert-large-japanese-v2,wiki40b,3e-05,512.0,0.6,1708.8,70.13884238242416,70.32635621386991,78.10045102793927,74.72693217050181,74.38457980410365,5
cl-tohoku/bert-large-japanese-v2,wiki40b,5e-05,512.0,0.4,1920.0,72.29095225623368,72.30663727461709,79.65614075661344,76.16645795409433,76.04307866177496,5
cl-tohoku/bert-large-japanese-v2,wikipedia,1e-05,64.0,0.0,13414.4,77.53591847650497,77.30381216014409,81.16621232545047,77.65950298674952,78.70984249078137,5
cl-tohoku/bert-large-japanese-v2,wikipedia,3e-05,64.0,0.0,10649.6,79.4258856732964,78.82268582709345,80.86428541699749,77.18143355117739,78.95613493175611,5
cl-tohoku/bert-large-japanese-v2,wikipedia,5e-05,64.0,0.0,8448.0,79.62643039897424,79.3985324063623,80.2760725302692,77.18438854288107,78.9529978265042,5
cl-tohoku/bert-large-japanese-v2,wikipedia,1e-05,128.0,0.2,7270.4,74.20051462240994,74.0091314702615,80.05997526006158,76.5144778565172,76.86119486228009,5
cl-tohoku/bert-large-japanese-v2,wikipedia,3e-05,128.0,0.4,7142.4,78.64685331179528,78.42220161346566,81.59965071754795,77.85934151496146,79.29373128199168,5
cl-tohoku/bert-large-japanese-v2,wikipedia,5e-05,128.0,0.0,5324.8,79.20075567450277,78.85001297053714,80.8487499251959,77.12621610166084,78.94165966579797,5
cl-tohoku/bert-large-japanese-v2,wikipedia,1e-05,256.0,1.0,4083.2,71.22040850438994,71.2322657507763,79.08296665156759,75.63832263869645,75.31785168034678,5
cl-tohoku/bert-large-japanese-v2,wikipedia,3e-05,256.0,0.0,3366.4,75.4245884643784,75.35386022484055,80.44014921664277,77.152838716458,77.64894938598044,5
cl-tohoku/bert-large-japanese-v2,wikipedia,5e-05,256.0,0.2,3366.4,76.44281861536834,76.37885578137643,80.7240572297048,77.24607341444748,78.11632880850956,5
cl-tohoku/bert-large-japanese-v2,wikipedia,1e-05,512.0,1.0,2028.8,68.96777265047197,69.08861381553572,77.56595036015942,74.24315876284766,73.6325743128476,5
cl-tohoku/bert-large-japanese-v2,wikipedia,3e-05,512.0,1.0,2028.8,73.48399854048209,73.32432952451673,79.84734582308124,76.45816014472416,76.5432784974407,5
cl-tohoku/bert-large-japanese-v2,wikipedia,5e-05,512.0,0.6,1920.0,74.80706584978142,74.6700288193133,80.09718629969782,76.65925688764868,77.14215733555326,5
