model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
cl-tohoku/bert-large-japanese,bccwj,1e-05,64.0,0.0,9472.0,79.0563883346789,79.16279186963456,77.65037002025397,73.3973956582785,76.73685251605568,5
cl-tohoku/bert-large-japanese,bccwj,3e-05,64.0,0.0,6604.8,79.05476868457362,79.02614025036591,77.00659152929424,72.39484928521165,76.14252702162393,5
cl-tohoku/bert-large-japanese,bccwj,5e-05,64.0,0.0,3993.6,79.28309732238324,79.24896679784925,76.99956585356179,73.31211777573347,76.52021680904816,5
cl-tohoku/bert-large-japanese,bccwj,1e-05,128.0,0.0,5990.4,78.24776833858222,78.40324295262329,77.45178638744292,73.09646541525592,76.31716491844071,5
cl-tohoku/bert-large-japanese,bccwj,3e-05,128.0,0.0,3891.2,78.84367418500838,78.88308810580943,77.75265850187205,73.29205422366248,76.64260027711467,5
cl-tohoku/bert-large-japanese,bccwj,5e-05,128.0,0.0,3609.6,79.26560990602638,79.17712068315117,77.09950265740531,72.7692628323147,76.34862872429039,5
cl-tohoku/bert-large-japanese,bccwj,1e-05,256.0,0.2,3699.2,77.48447592501154,77.57715276211422,77.08608124033228,72.6803340982697,75.7811893669054,5
cl-tohoku/bert-large-japanese,bccwj,3e-05,256.0,0.0,2444.8,78.33035890471349,78.58705563900703,77.80318485535835,73.4738368641078,76.62135911949106,5
cl-tohoku/bert-large-japanese,bccwj,5e-05,256.0,0.0,1894.4,78.38289374339925,78.65499836019839,77.89965002152283,73.58260410062923,76.7124174941168,5
cl-tohoku/bert-large-japanese,bccwj,1e-05,512.0,0.4,1875.2,77.06031393791349,77.10504018907264,76.5149958211747,71.90703271449212,75.17568957491315,5
cl-tohoku/bert-large-japanese,bccwj,3e-05,512.0,0.0,1369.6,77.81271144411585,78.05079625231284,77.66696104944297,73.19854340597315,76.305433569243,5
cl-tohoku/bert-large-japanese,bccwj,5e-05,512.0,0.0,1184.0,77.89403777269204,78.22089800655317,77.65482863907155,73.29574934776142,76.39049199779538,5
cl-tohoku/bert-large-japanese,cc100,1e-05,64.0,0.0,9676.8,75.46025447892127,75.56916046451389,75.75207188615056,71.15062740896235,74.15728658654226,5
cl-tohoku/bert-large-japanese,cc100,3e-05,64.0,0.0,4915.2,76.62464276026456,76.63151342921603,75.8049941145196,71.14415875732885,74.52688876702149,5
cl-tohoku/bert-large-japanese,cc100,5e-05,64.0,0.0,1996.8,75.91661664783803,75.79341134526487,75.43392810993535,70.63569718109169,73.95434554543064,5
cl-tohoku/bert-large-japanese,cc100,1e-05,128.0,0.0,5555.2,74.05909857998563,74.17391350704028,75.71232099891088,70.98920613224692,73.62514687939937,5
cl-tohoku/bert-large-japanese,cc100,3e-05,128.0,0.2,5068.8,76.40764813278811,76.62400535976202,76.83728539445043,72.32334253568078,75.2615444299644,5
cl-tohoku/bert-large-japanese,cc100,5e-05,128.0,0.0,2227.2,76.95656047821399,77.04831847850116,76.09685796475728,71.2832716891123,74.80948271079026,5
cl-tohoku/bert-large-japanese,cc100,1e-05,256.0,0.0,3430.4,72.53394413398895,72.5889184207856,74.42130694160396,69.5998185847354,72.20334798237499,5
cl-tohoku/bert-large-japanese,cc100,3e-05,256.0,0.0,2918.4,74.40719729921837,74.6673290398123,76.11495481451888,71.44305619401453,74.07511334944857,5
cl-tohoku/bert-large-japanese,cc100,5e-05,256.0,0.0,2457.6,75.19160632455595,75.63993032286773,76.27171621978896,71.87171040893357,74.59445231719675,5
cl-tohoku/bert-large-japanese,cc100,1e-05,512.0,0.8,2028.8,71.60752756649273,71.54319307768779,73.93784906585405,68.97267627897156,71.48457280750446,5
cl-tohoku/bert-large-japanese,cc100,3e-05,512.0,0.0,1235.2,73.0109070860242,73.34463815493478,75.009905090295,70.17621276149171,72.84358533557383,5
cl-tohoku/bert-large-japanese,cc100,5e-05,512.0,0.0,1542.4,74.13160116803061,74.59622937376169,75.88772220554831,71.2675892094795,73.91718026292983,5
cl-tohoku/bert-large-japanese,wiki40b,1e-05,64.0,0.0,9011.2,78.4618906119367,78.58068588924694,78.35469862891571,74.49685646999225,77.14408032938498,5
cl-tohoku/bert-large-japanese,wiki40b,3e-05,64.0,0.0,7168.0,77.80678277207458,77.8482575996712,77.42410897324154,73.926208615485,76.39952506279926,5
cl-tohoku/bert-large-japanese,wiki40b,5e-05,64.0,0.0,5120.0,78.53870479447757,78.29838345270842,76.73656658390773,72.87179098185022,75.96891367282214,5
cl-tohoku/bert-large-japanese,wiki40b,1e-05,128.0,0.0,5632.0,77.48527243558775,77.43653055732958,77.60925121020678,73.74044649704382,76.26207608819338,5
cl-tohoku/bert-large-japanese,wiki40b,3e-05,128.0,0.0,2508.8,78.06862971061862,78.004004483363,78.15317115274186,74.46586286708796,76.87434616773093,5
cl-tohoku/bert-large-japanese,wiki40b,5e-05,128.0,0.0,2355.2,77.3908152362139,77.1865048888094,77.56549507317212,73.76998388223373,76.17399461473842,5
cl-tohoku/bert-large-japanese,wiki40b,1e-05,256.0,0.4,3494.4,76.52173075952919,76.62642203079625,77.49516898288215,73.60866005065998,75.91008368811279,5
cl-tohoku/bert-large-japanese,wiki40b,3e-05,256.0,0.0,2291.2,77.59601682937924,77.66579912656445,78.15587009597694,74.36741625926747,76.72969516060296,5
cl-tohoku/bert-large-japanese,wiki40b,5e-05,256.0,0.0,2188.8,78.18926622838364,78.17671177481688,77.8958622254487,74.14410428249107,76.73889276091889,5
cl-tohoku/bert-large-japanese,wiki40b,1e-05,512.0,0.6,1894.4,75.7583566077586,75.69875591336385,76.85816940748649,73.06842380628444,75.20844970904493,5
cl-tohoku/bert-large-japanese,wiki40b,3e-05,512.0,0.0,1376.0,76.90545325272694,77.13740317127956,77.83689143352338,74.13434712209289,76.36954724229861,5
cl-tohoku/bert-large-japanese,wiki40b,5e-05,512.0,0.2,1516.8,77.34547920632397,77.632344526729,78.15301291448269,74.41925260284319,76.73487001468496,5
