model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
ku-nlp/deberta-v2-base-japanese,bccwj,1e-05,64.0,0.0,5888.0,75.55459920565902,75.37726304427257,77.81187853982823,72.99272509067642,75.39395555825908,5
ku-nlp/deberta-v2-base-japanese,bccwj,3e-05,64.0,0.0,2867.2,76.04017041470271,75.78412264451886,77.80373744158035,72.90807639315186,75.4986454930837,5
ku-nlp/deberta-v2-base-japanese,bccwj,5e-05,64.0,0.0,1843.2,74.22611788294869,73.9287834997651,77.01955074708921,72.40054447203161,74.44962623962864,5
ku-nlp/deberta-v2-base-japanese,bccwj,1e-05,128.0,0.0,4096.0,75.60320387538943,75.41973919091694,77.63077121903677,72.76472659068791,75.27174566688055,5
ku-nlp/deberta-v2-base-japanese,bccwj,3e-05,128.0,0.0,2585.6,75.7063627365322,75.50196138903496,77.9710851601968,73.21854657066365,75.56386437329846,5
ku-nlp/deberta-v2-base-japanese,bccwj,5e-05,128.0,0.0,1331.2,75.64071771950978,75.42386361673607,77.73667748363913,73.07726218784052,75.41260109607191,5
ku-nlp/deberta-v2-base-japanese,bccwj,1e-05,256.0,0.0,3136.0,75.82100519810652,75.56976256028314,77.67627097201543,72.80415255867396,75.35006203032418,5
ku-nlp/deberta-v2-base-japanese,bccwj,3e-05,256.0,0.0,1280.0,75.98479443957147,75.73705866968787,77.78680149266998,72.97125703521118,75.49837239918968,5
ku-nlp/deberta-v2-base-japanese,bccwj,5e-05,256.0,0.0,960.0,75.64210730405055,75.38743025920019,77.64559349541366,72.88260760091842,75.30521045184409,5
ku-nlp/deberta-v2-base-japanese,bccwj,1e-05,512.0,0.4,1939.2,75.80045782478751,75.55836445790955,77.3629596404226,72.66042484026556,75.19391631286591,5
ku-nlp/deberta-v2-base-japanese,bccwj,3e-05,512.0,0.0,640.0,76.04456305455905,75.7581536514793,77.5103733691137,72.65001558632547,75.30618086897282,5
ku-nlp/deberta-v2-base-japanese,bccwj,5e-05,512.0,0.0,512.0,75.64024912774632,75.41770086125139,77.62034143755184,72.62321541097101,75.22041923659141,5
ku-nlp/deberta-v2-base-japanese,cc100,1e-05,64.0,0.0,11366.4,73.52154209731655,73.29688727607768,77.0327782650237,72.42476703325028,74.2514775247839,5
ku-nlp/deberta-v2-base-japanese,cc100,3e-05,64.0,0.0,3174.4,72.68980046963284,72.44645179822587,76.06839292679624,71.32136510024426,73.27873660842212,5
ku-nlp/deberta-v2-base-japanese,cc100,5e-05,64.0,0.0,1792.0,72.50573176288107,72.32308780472128,75.57439301197243,70.90260560286848,72.93336213985407,5
ku-nlp/deberta-v2-base-japanese,cc100,1e-05,128.0,0.0,5452.8,74.21943364039439,74.02588465097477,76.84703873070582,72.30007843338163,74.39100060502074,5
ku-nlp/deberta-v2-base-japanese,cc100,3e-05,128.0,0.0,3993.6,73.52284002802075,73.3614566073938,76.74201678496016,72.08242396831697,74.06196578689031,5
ku-nlp/deberta-v2-base-japanese,cc100,5e-05,128.0,0.0,1228.8,73.21885543437125,73.0679900390528,76.26668827844136,71.63059610778994,73.65509147509471,5
ku-nlp/deberta-v2-base-japanese,cc100,1e-05,256.0,0.4,3648.0,73.31830763085456,73.15526445591806,76.16214169001951,71.71448381148261,73.67729665247339,5
ku-nlp/deberta-v2-base-japanese,cc100,3e-05,256.0,0.0,2572.8,74.4639698193362,74.19712577818173,76.87393336364441,72.26911572941374,74.44672495707997,5
ku-nlp/deberta-v2-base-japanese,cc100,5e-05,256.0,0.0,1996.8,74.44628235697661,74.16621258860258,77.13287594640384,72.3529134202233,74.55066731840991,5
ku-nlp/deberta-v2-base-japanese,cc100,1e-05,512.0,1.0,2041.6,73.29663563645352,73.12307160253744,76.09723795498476,71.58073823961995,73.60034926571404,5
ku-nlp/deberta-v2-base-japanese,cc100,3e-05,512.0,0.0,1491.2,73.77635796738845,73.58854768730106,76.47230334488088,71.91809229207551,73.99298110808583,5
ku-nlp/deberta-v2-base-japanese,cc100,5e-05,512.0,0.0,1011.2,74.05329288985948,73.83716424530186,76.68406351656651,72.08640893954905,74.20254556713914,5
ku-nlp/deberta-v2-base-japanese,wiki40b,1e-05,64.0,0.0,4249.6,74.76632449952201,74.5912353212359,76.09958209401434,71.83531038414283,74.17537593313102,5
ku-nlp/deberta-v2-base-japanese,wiki40b,3e-05,64.0,0.0,2611.2,74.7562828920978,74.51080914959195,76.29583558492995,72.08392552610034,74.29685675354074,5
