model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
ku-nlp/deberta-v2-large-japanese,bccwj,1e-05,64.0,0.0,10700.8,75.42419061305722,75.68850501965457,78.6305454971664,74.45003969657705,76.256363404466,5
ku-nlp/deberta-v2-large-japanese,bccwj,3e-05,64.0,0.0,5324.8,74.29178520703317,74.65332463613659,78.12085283655578,73.89740878265232,75.55719541844823,5
ku-nlp/deberta-v2-large-japanese,bccwj,5e-05,64.0,0.0,2969.6,73.98102572920291,74.35336787040258,77.93454720046927,73.47635419803186,75.2547564229679,5
ku-nlp/deberta-v2-large-japanese,bccwj,1e-05,128.0,0.4,7628.8,74.53181548020395,74.90943208508185,78.10465762336864,73.95994862213165,75.65801277686072,5
ku-nlp/deberta-v2-large-japanese,bccwj,3e-05,128.0,0.0,4480.0,74.62586861323433,75.05555349163947,78.32640699347749,74.20350808839513,75.86182285783737,5
ku-nlp/deberta-v2-large-japanese,bccwj,5e-05,128.0,0.0,4044.8,74.73369658891933,75.14498738912403,78.49524528793151,74.44584324739007,76.0286919748152,5
ku-nlp/deberta-v2-large-japanese,bccwj,1e-05,256.0,0.6,3980.8,73.18402282228142,73.72204524780165,77.67821423361781,73.67877102928534,75.02634350356827,5
ku-nlp/deberta-v2-large-japanese,bccwj,3e-05,256.0,0.0,3033.6,74.46629795813365,74.97277926727043,78.31648495506525,74.13439749513734,75.80788723915768,5
ku-nlp/deberta-v2-large-japanese,bccwj,5e-05,256.0,0.0,2009.6,74.61456889727239,75.01402634538206,78.29953568245354,74.06421343729909,75.79259182171157,5
ku-nlp/deberta-v2-large-japanese,bccwj,1e-05,512.0,0.8,2003.2,73.26850360961987,73.73939109318317,77.54557260379958,73.63942369962375,74.97479579886883,5
ku-nlp/deberta-v2-large-japanese,bccwj,3e-05,512.0,0.4,1920.0,73.89604423001722,74.38394828264279,78.09494315980626,74.03445789801145,75.50444978015351,5
ku-nlp/deberta-v2-large-japanese,bccwj,5e-05,512.0,0.0,953.6,74.33754244427742,74.72906135334598,78.09898102137647,73.94844324921345,75.59216187464531,5
ku-nlp/deberta-v2-large-japanese,cc100,1e-05,64.0,0.0,12902.4,73.58330726590611,73.93993892858245,77.85535328555325,73.78181107463858,75.19236776292476,5
ku-nlp/deberta-v2-large-japanese,cc100,3e-05,64.0,0.0,4556.8,71.53359874698869,71.98404251907834,76.99132998267191,73.0515051877434,74.00895922983122,5
ku-nlp/deberta-v2-large-japanese,cc100,5e-05,64.0,0.0,3788.8,71.9368654009793,72.45401883104846,76.86940346043055,72.78425486754782,74.03589238634227,5
ku-nlp/deberta-v2-large-japanese,cc100,1e-05,128.0,0.0,7168.0,72.1816082018068,72.77070242059261,77.52580420744587,73.37369423705027,74.55673362169625,5
ku-nlp/deberta-v2-large-japanese,cc100,3e-05,128.0,0.0,5606.4,73.15129990490504,73.78386642909656,77.67735528192286,73.45622039033523,74.97248070045157,5
ku-nlp/deberta-v2-large-japanese,cc100,5e-05,128.0,0.0,4608.0,73.51964753719517,73.82604747113585,78.18383234706394,73.86573901842908,75.29187294554296,5
ku-nlp/deberta-v2-large-japanese,cc100,1e-05,256.0,0.8,3980.8,71.73510628358251,72.35507073139141,77.15280189664357,73.29799926723929,74.26862396509141,5
ku-nlp/deberta-v2-large-japanese,cc100,3e-05,256.0,0.4,3379.2,73.31429407846026,73.75351687075332,78.03583887252825,73.83425803115283,75.2078712581448,5
ku-nlp/deberta-v2-large-japanese,cc100,5e-05,256.0,0.0,2662.4,74.27751010551286,74.70354622916938,78.41267553830491,74.14982364608053,75.75534847118493,5
ku-nlp/deberta-v2-large-japanese,cc100,1e-05,512.0,0.8,1996.8,70.85683368595585,71.49201638501036,76.79960011413588,73.05216213248082,73.78125954387568,5
ku-nlp/deberta-v2-large-japanese,cc100,3e-05,512.0,0.6,1830.4,72.73436392358306,73.30502030791203,77.76488840538605,73.68100084839276,74.91696985389694,5
ku-nlp/deberta-v2-large-japanese,cc100,5e-05,512.0,0.2,1817.6,73.13742361933642,73.64798603441031,77.98310359751443,73.80506363263223,75.145384421519,5
ku-nlp/deberta-v2-large-japanese,wiki40b,1e-05,64.0,0.0,12902.4,74.304262953825,74.73879323017997,77.6049808859063,73.87993316064012,75.40790242557547,5
ku-nlp/deberta-v2-large-japanese,wiki40b,3e-05,64.0,0.0,4710.4,74.13720765312343,74.65961326636807,76.83723634519801,73.15521668540164,74.88402209898923,5
ku-nlp/deberta-v2-large-japanese,wiki40b,5e-05,64.0,0.0,3686.4,73.46151031481813,73.856002174688,76.88356581488958,73.49815147229776,74.74590648729178,5
