model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
ku-nlp/roberta-large-japanese-char-wwm,bccwj,1e-05,64.0,0.0,7884.8,77.0428738607919,77.23290221408205,76.57447753499524,71.35423818557855,75.05387264488527,5
ku-nlp/roberta-large-japanese-char-wwm,bccwj,3e-05,64.0,0.0,3993.6,76.14273005560653,76.40293275872386,76.40178655499726,70.93139958279899,74.57870629884003,5
ku-nlp/roberta-large-japanese-char-wwm,bccwj,5e-05,64.0,0.0,3635.2,76.9862689558563,77.22519295515313,76.1467064662939,70.95968792055952,74.77719578066885,5
ku-nlp/roberta-large-japanese-char-wwm,bccwj,1e-05,128.0,0.0,5939.2,76.89247784423127,76.96090753831473,77.34948252698591,72.1782195522586,75.49620320585308,5
ku-nlp/roberta-large-japanese-char-wwm,bccwj,3e-05,128.0,0.0,5094.4,77.00459856517364,77.22368287440209,76.75423886574814,71.54927426921117,75.17573200312047,5
ku-nlp/roberta-large-japanese-char-wwm,bccwj,5e-05,128.0,0.0,4377.6,76.61366530272605,77.00851744954575,76.34659882614925,71.332644534908,74.895920270201,5
ku-nlp/roberta-large-japanese-char-wwm,bccwj,1e-05,256.0,0.2,3507.2,75.93058306034904,76.03976526020207,76.87446815011529,71.51977520414039,74.81133620481924,5
ku-nlp/roberta-large-japanese-char-wwm,bccwj,3e-05,256.0,0.2,2918.4,76.4722561917115,76.81376058999656,76.9174154525791,71.67934833433242,75.13684145896937,5
ku-nlp/roberta-large-japanese-char-wwm,bccwj,5e-05,256.0,0.0,2508.8,76.53569846714147,76.80241748976835,76.95366291417426,71.89042956296744,75.21550332230335,5
ku-nlp/roberta-large-japanese-char-wwm,bccwj,1e-05,512.0,0.6,1958.4,74.49072248167235,74.65705870708082,75.84255316176205,70.25525122210702,73.58495436364997,5
ku-nlp/roberta-large-japanese-char-wwm,bccwj,3e-05,512.0,0.6,1824.0,74.69874246220223,75.04122096783847,76.39457629814368,71.1208785414723,74.1855586024848,5
ku-nlp/roberta-large-japanese-char-wwm,bccwj,5e-05,512.0,0.0,1472.0,74.56706819484502,74.98028317322705,76.00763234460881,70.69637143972435,73.89476231918673,5
ku-nlp/roberta-large-japanese-char-wwm,cc100,1e-05,64.0,0.0,5734.4,72.617795653815,72.84508855316189,75.58441888165075,70.19612392976588,72.87521045485951,5
ku-nlp/roberta-large-japanese-char-wwm,cc100,3e-05,64.0,0.0,3020.8,71.46759449410281,71.65520454292462,72.94864881164472,67.50309985383015,70.70231773613315,5
ku-nlp/roberta-large-japanese-char-wwm,cc100,5e-05,64.0,0.0,1689.6,73.19904364724628,72.90132351822271,75.34500329182218,70.36856726100487,72.87163135701658,5
ku-nlp/roberta-large-japanese-char-wwm,cc100,1e-05,128.0,0.0,4096.0,71.92935083133987,71.90334454181477,75.04994112041628,69.67254871162956,72.20861145795354,5
ku-nlp/roberta-large-japanese-char-wwm,cc100,3e-05,128.0,0.0,742.4,71.76456955579867,71.77126959470287,75.70179888923838,70.18940438859066,72.55415762417731,5
ku-nlp/roberta-large-japanese-char-wwm,cc100,5e-05,128.0,0.0,1868.8,71.5047008432142,71.66340725383722,74.52881697282467,69.42244774376039,71.8715573234741,5
ku-nlp/roberta-large-japanese-char-wwm,cc100,1e-05,256.0,0.0,2624.0,70.28007010530618,70.5253166400574,74.74345127331816,69.66871444492446,71.64582745276667,5
