model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
megagonlabs/roberta-long-japanese,bccwj,1e-05,64.0,0.0,7270.4,73.97783459730715,73.97102582710514,69.63552979484598,62.73214911369839,68.7795682452165,5
megagonlabs/roberta-long-japanese,bccwj,3e-05,64.0,0.0,4505.6,73.66537237030026,73.41461677856577,69.10352335634234,62.433271097997775,68.3171370776353,5
megagonlabs/roberta-long-japanese,bccwj,5e-05,64.0,0.0,4249.6,73.35244582890596,73.03769021877304,67.45625444620656,61.31952041309182,67.27115502602382,5
megagonlabs/roberta-long-japanese,bccwj,1e-05,128.0,0.4,7398.4,73.27245083639617,73.36788015431317,69.18634630847478,62.14861798561503,68.23428148280098,5
megagonlabs/roberta-long-japanese,bccwj,3e-05,128.0,0.0,4224.0,74.19406671718055,73.98004958207873,69.70501339417953,62.92046612945044,68.8685097019029,5
megagonlabs/roberta-long-japanese,bccwj,5e-05,128.0,0.0,3251.2,74.16877662943106,74.05216374856072,69.63679721361866,63.01657139096729,68.90184411771557,5
megagonlabs/roberta-long-japanese,bccwj,1e-05,256.0,0.6,3993.6,72.43118747436743,72.7072697665692,68.0776631947324,61.116004966501066,67.30031264260089,5
megagonlabs/roberta-long-japanese,bccwj,3e-05,256.0,0.0,3379.2,73.53019981035173,73.45034216076928,68.69637093595398,61.81848545533353,67.98839951735226,5
megagonlabs/roberta-long-japanese,bccwj,5e-05,256.0,0.0,2803.2,73.67833466423848,73.59269170745853,69.13594618884831,62.349795972714446,68.35947795634044,5
megagonlabs/roberta-long-japanese,bccwj,1e-05,512.0,1.0,2041.6,70.85258080809824,71.35186688299783,67.0119205632712,59.91393956330778,66.09257566985893,5
megagonlabs/roberta-long-japanese,bccwj,3e-05,512.0,0.8,1977.6,71.4733198451641,71.48081187041645,66.74538112716309,59.909846653299425,66.04534655029299,5
megagonlabs/roberta-long-japanese,bccwj,5e-05,512.0,0.8,1952.0,71.4166223390134,71.43072007777198,67.03071213663176,60.17620403599657,66.21254541680011,5
megagonlabs/roberta-long-japanese,cc100,1e-05,64.0,0.0,6912.0,73.31953565252073,73.45719804436587,69.4676229621322,62.82758386681691,68.58413495777165,5
megagonlabs/roberta-long-japanese,cc100,3e-05,64.0,0.0,6400.0,73.28238160213934,73.12414540872886,68.38039346280439,62.571681650518826,68.02540684068403,5
megagonlabs/roberta-long-japanese,cc100,5e-05,64.0,0.0,3072.0,73.26363053203563,73.27436574893831,68.9637476838259,62.61357352045569,68.2838956510733,5
megagonlabs/roberta-long-japanese,cc100,1e-05,128.0,0.0,6886.4,72.5054935967974,72.68155706581146,68.83969608459515,62.207027984777184,67.90942704506126,5
megagonlabs/roberta-long-japanese,cc100,3e-05,128.0,0.0,4147.2,72.6588056131477,72.80577224420975,69.12981717075502,62.720640342707874,68.21874325255754,5
megagonlabs/roberta-long-japanese,cc100,5e-05,128.0,0.0,2713.6,72.84784598676148,72.89888405914172,68.18510202375269,62.13483995633169,67.73960867974202,5
megagonlabs/roberta-long-japanese,cc100,1e-05,256.0,0.8,4032.0,71.60303796402431,72.05013953042899,68.15222874429564,61.28991643924868,67.16409490465777,5
megagonlabs/roberta-long-japanese,cc100,3e-05,256.0,0.0,3289.6,72.84714921999786,72.98298166049423,68.94024896493734,62.54897105628773,68.15740056057311,5
megagonlabs/roberta-long-japanese,cc100,5e-05,256.0,0.0,2252.8,72.68314455677145,72.81893699364232,69.04175666405311,62.658232903393504,68.17297552036298,5
megagonlabs/roberta-long-japanese,cc100,1e-05,512.0,1.0,2009.6,70.29602366610668,70.87980622443,67.21755797866288,60.292755265396295,66.13003982282973,5
megagonlabs/roberta-long-japanese,cc100,3e-05,512.0,0.2,1849.6,72.29451637059182,72.543606030073,68.37710978911043,61.811839181886896,67.57751833369011,5
megagonlabs/roberta-long-japanese,cc100,5e-05,512.0,0.2,1664.0,72.82706384237599,72.82593593633392,68.42044490518651,61.936608468091116,67.72766310320385,5
megagonlabs/roberta-long-japanese,wiki40b,1e-05,64.0,0.0,11110.4,74.14620006209859,73.95805693139725,69.55656261748292,63.38478646495705,68.96646867127909,5
megagonlabs/roberta-long-japanese,wiki40b,3e-05,64.0,0.0,8294.4,74.52521811456513,73.95181463511085,68.71668712218438,63.101232911419814,68.58991155623835,5
megagonlabs/roberta-long-japanese,wiki40b,5e-05,64.0,0.0,6144.0,74.31366173151339,74.06517276683215,68.71747462708507,62.84698289247622,68.54321009546447,5
megagonlabs/roberta-long-japanese,wiki40b,1e-05,128.0,0.4,7859.2,71.93152342259144,72.16195113588647,68.47042270351827,61.73016915842801,67.45418099927758,5
megagonlabs/roberta-long-japanese,wiki40b,3e-05,128.0,0.2,6758.4,73.40165704699582,73.2569129968795,69.33569273488125,63.022502489341456,68.53836940703407,5
megagonlabs/roberta-long-japanese,wiki40b,5e-05,128.0,0.0,6732.8,74.04551539209615,73.71688357215089,68.72849508621051,63.17533755271226,68.54023873702455,5
megagonlabs/roberta-long-japanese,wiki40b,1e-05,256.0,1.0,4083.2,69.97532003584587,70.51940174939719,67.49416421655539,60.519768309323965,66.17777809175887,5
megagonlabs/roberta-long-japanese,wiki40b,3e-05,256.0,0.2,3724.8,71.76878135566025,71.92391623183279,68.25903152894668,61.556804601732914,67.24658412083747,5
megagonlabs/roberta-long-japanese,wiki40b,5e-05,256.0,0.0,3456.0,72.80836938145251,72.78147488738895,68.8457627753407,62.42062614883609,68.01595460385525,5
megagonlabs/roberta-long-japanese,wiki40b,1e-05,512.0,1.0,1996.8,68.70983378272956,69.3746686294952,66.76238930304912,59.69118493713317,65.27608095655917,5
megagonlabs/roberta-long-japanese,wiki40b,3e-05,512.0,0.8,1996.8,71.85337786929121,72.09739164667323,68.21946759752004,61.346367919231525,67.2210757211416,5
megagonlabs/roberta-long-japanese,wiki40b,5e-05,512.0,0.6,1958.4,72.16755505522538,72.28359841228857,68.58110712369431,61.85557955290915,67.57342836296401,5
megagonlabs/roberta-long-japanese,wikipedia,1e-05,64.0,0.0,10700.8,73.89317088200785,73.78427340875231,69.28766231815897,63.22079154797664,68.76424242496265,5
megagonlabs/roberta-long-japanese,wikipedia,3e-05,64.0,0.0,10803.2,74.58301144104914,73.99315063160168,68.34660473882484,63.05006277306802,68.46327271449817,5
megagonlabs/roberta-long-japanese,wikipedia,5e-05,64.0,0.0,6809.6,74.27143333077126,73.74375048045712,68.85640710064163,63.13619346323662,68.57878368144512,5
megagonlabs/roberta-long-japanese,wikipedia,1e-05,128.0,0.8,7961.6,72.44955534033505,72.67074115295142,68.99994027718468,62.37497008686694,68.01521717233435,5
megagonlabs/roberta-long-japanese,wikipedia,3e-05,128.0,0.6,7398.4,74.0287176061892,73.8051273278228,69.67869700799798,63.56437194670715,69.0160654275093,5
megagonlabs/roberta-long-japanese,wikipedia,5e-05,128.0,0.0,6067.2,74.60456493439838,74.13819318135491,68.87198269998814,63.18656696845659,68.73224761659988,5
megagonlabs/roberta-long-japanese,wikipedia,1e-05,256.0,1.0,4096.0,70.09059468039956,70.6562782919993,67.79909693006599,61.062436934458944,66.50593738550808,5
megagonlabs/roberta-long-japanese,wikipedia,3e-05,256.0,0.4,3827.2,73.01713268084606,73.11756982423405,69.11766730720724,62.712740985766686,68.315992705736,5
megagonlabs/roberta-long-japanese,wikipedia,5e-05,256.0,0.0,3072.0,73.34481965222218,73.27677821506202,69.33173826464115,62.89200881596008,68.50017509855442,5
megagonlabs/roberta-long-japanese,wikipedia,1e-05,512.0,1.0,2028.8,69.07551747600556,69.76546603882535,66.97434734043598,60.02497006502629,65.58826114809588,5
megagonlabs/roberta-long-japanese,wikipedia,3e-05,512.0,0.8,2016.0,72.35124293097822,72.58081630106184,68.76280931781005,62.09383266492288,67.81248609459826,5
megagonlabs/roberta-long-japanese,wikipedia,5e-05,512.0,0.4,1939.2,72.98989489357231,73.04295406897869,69.01224826769192,62.54119934834405,68.19880056167156,5
