model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
nlp-waseda/roberta-base-japanese,bccwj,1e-05,64.0,0.0,12083.2,77.6856951057777,77.88704816971186,78.60835030400114,73.43762610837538,76.6443415273628,5
nlp-waseda/roberta-base-japanese,bccwj,3e-05,64.0,0.0,6553.6,78.42406209417256,78.50974639839964,78.49724619730151,73.22423450911458,76.7437423682719,5
nlp-waseda/roberta-base-japanese,bccwj,5e-05,64.0,0.0,4915.2,78.52623140059205,78.44043132339189,78.71078386628936,73.73524541996358,76.96215353654827,5
nlp-waseda/roberta-base-japanese,bccwj,1e-05,128.0,0.0,6681.6,77.08438664992839,77.46915432288597,77.65582707139481,72.30962974542422,75.81153704656833,5
nlp-waseda/roberta-base-japanese,bccwj,3e-05,128.0,0.0,2918.4,77.01640135024601,77.29833067625661,78.00590538927376,72.56475926705575,75.95633177752872,5
nlp-waseda/roberta-base-japanese,bccwj,5e-05,128.0,0.0,3481.6,77.5054125723736,77.82489348500471,78.6469223617335,73.57542810830869,76.68241465168231,5
nlp-waseda/roberta-base-japanese,bccwj,1e-05,256.0,0.2,3328.0,76.53594921382106,76.83921234708323,77.49401807138949,71.93036987749134,75.42120009865468,5
nlp-waseda/roberta-base-japanese,bccwj,3e-05,256.0,0.0,2432.0,76.6827329514347,77.11875291714392,77.59898152986172,72.3179393418956,75.67855792963374,5
nlp-waseda/roberta-base-japanese,bccwj,5e-05,256.0,0.0,1331.2,77.60278244514323,77.86561333197731,78.38635422646992,72.91393671278185,76.38863475707636,5
nlp-waseda/roberta-base-japanese,bccwj,1e-05,512.0,0.2,1606.4,76.45087758045717,76.71361982954195,77.52176389000951,71.96442473624029,75.39993615193058,5
nlp-waseda/roberta-base-japanese,bccwj,3e-05,512.0,0.0,1401.6,76.97239756531778,77.30746910077097,78.42230788984735,73.13043746824322,76.28673815295383,5
nlp-waseda/roberta-base-japanese,bccwj,5e-05,512.0,0.0,915.2,77.15889104606512,77.48670713128163,78.68233500563352,73.35012820623265,76.5063901143826,5
nlp-waseda/roberta-base-japanese,cc100,1e-05,64.0,0.0,5888.0,71.61450187713615,72.03880653159095,76.92060441544473,71.59704378790278,73.51881824497949,5
nlp-waseda/roberta-base-japanese,cc100,3e-05,64.0,0.2,7014.4,71.445484130193,71.60945407465631,76.86672085503885,71.74882917383573,73.40833470117697,5
nlp-waseda/roberta-base-japanese,cc100,5e-05,64.0,0.0,3584.0,73.05786488906946,73.29353970822115,77.11591735003012,72.15467045729059,74.18804250518062,5
nlp-waseda/roberta-base-japanese,cc100,1e-05,128.0,0.0,3430.4,71.22440998582947,71.54514859582673,76.78592473352018,71.5666350197882,73.29923611637837,5
nlp-waseda/roberta-base-japanese,cc100,3e-05,128.0,0.0,2841.6,71.06410317145848,71.40053636719,76.95386138785295,71.85133025121208,73.40190933541835,5
nlp-waseda/roberta-base-japanese,cc100,5e-05,128.0,0.0,1587.2,72.35292903422939,72.49367395932696,76.46089926160316,71.03064435546722,73.3284058587991,5
nlp-waseda/roberta-base-japanese,cc100,1e-05,256.0,0.0,2496.0,70.69865562300149,71.03509233815787,76.5866839340134,71.2106519256585,72.94414273260992,5
nlp-waseda/roberta-base-japanese,cc100,3e-05,256.0,0.0,1267.2,71.2914113234169,71.64313002402329,76.67975658110139,71.14587944805135,73.15625535105868,5
nlp-waseda/roberta-base-japanese,cc100,5e-05,256.0,0.0,768.0,70.82992095715508,71.08564262008187,76.654965128211,71.20716061634907,72.98258945488065,5
nlp-waseda/roberta-base-japanese,cc100,1e-05,512.0,0.0,1196.8,70.47736596489793,70.9650137337431,75.99705659662176,70.57101533543366,72.51102855526617,5
nlp-waseda/roberta-base-japanese,cc100,3e-05,512.0,0.2,819.2,71.84657449349447,72.26318460089716,77.28952766591658,71.76069211622467,73.77113479434614,5
nlp-waseda/roberta-base-japanese,cc100,5e-05,512.0,0.0,678.4,72.04697422911296,72.33116302316539,76.83075365081207,71.39693573666511,73.51961747021419,5
nlp-waseda/roberta-base-japanese,wiki40b,1e-05,64.0,0.0,9779.2,75.16328697914274,75.59601817883203,78.12939870180635,73.37169055496025,75.69903581186621,5
nlp-waseda/roberta-base-japanese,wiki40b,3e-05,64.0,0.0,8448.0,77.41651146035166,77.45182671116387,79.04836833181338,74.39400485217577,76.96473329838435,5
nlp-waseda/roberta-base-japanese,wiki40b,5e-05,64.0,0.0,4608.0,77.54191454224777,77.47499741992249,78.95121356386915,74.08628856859438,76.83749985079534,5
nlp-waseda/roberta-base-japanese,wiki40b,1e-05,128.0,0.0,6528.0,77.23827586910896,77.43640799861637,79.42966578978766,74.53825825690883,77.13477734843761,5
nlp-waseda/roberta-base-japanese,wiki40b,3e-05,128.0,0.0,4889.6,76.51123830407747,77.00400183488631,79.26239363858136,74.2073108806818,76.82456878471649,5
nlp-waseda/roberta-base-japanese,wiki40b,5e-05,128.0,0.0,2483.2,76.80421360687353,77.03978394943388,79.45496522119228,74.87497612292242,77.1232417645162,5
nlp-waseda/roberta-base-japanese,wiki40b,1e-05,256.0,0.2,3545.6,74.38361847126377,74.87108467967937,79.3153624002675,74.23501925777376,76.14048877924021,5
nlp-waseda/roberta-base-japanese,wiki40b,3e-05,256.0,0.0,2022.4,76.29686825222878,76.65924089543958,79.64567413993511,74.53226048742508,76.94572517426658,5
nlp-waseda/roberta-base-japanese,wiki40b,5e-05,256.0,0.0,1472.0,77.06492247027799,77.41340874090938,78.54313334562602,73.30864604506539,76.42172937720025,5
nlp-waseda/roberta-base-japanese,wiki40b,1e-05,512.0,0.2,1811.2,73.94548822130432,74.41868208855419,79.08449610405196,74.00053781246777,75.8345720016913,5
nlp-waseda/roberta-base-japanese,wiki40b,3e-05,512.0,0.0,1216.0,76.47025432972727,76.69881746489291,79.20641569784424,74.13641624080245,76.68054980117986,5
nlp-waseda/roberta-base-japanese,wiki40b,5e-05,512.0,0.0,934.4,74.91843325338178,75.51482560360634,78.66867724556171,73.47063473573449,75.88471252830085,5
nlp-waseda/roberta-base-japanese,wikipedia,1e-05,64.0,0.0,10035.2,76.6269796072074,76.97182646351307,79.8526882299823,75.12747297337073,77.3173292222887,5
nlp-waseda/roberta-base-japanese,wikipedia,3e-05,64.0,0.0,7833.6,78.90576099440705,78.71218399030583,79.41332186318482,74.80796018431423,77.64448867926829,5
nlp-waseda/roberta-base-japanese,wikipedia,5e-05,64.0,0.0,4556.8,77.90697960899215,77.95274658022197,79.76436524414959,75.17735288836869,77.63148823758009,5
nlp-waseda/roberta-base-japanese,wikipedia,1e-05,128.0,0.0,4736.0,75.24446234281169,75.6071598048525,79.58763599715397,74.62695734653497,76.6072510495138,5
nlp-waseda/roberta-base-japanese,wikipedia,3e-05,128.0,0.0,3251.2,75.76925701099279,76.2008413087112,79.51031497146573,74.70147922993338,76.80421183670344,5
nlp-waseda/roberta-base-japanese,wikipedia,5e-05,128.0,0.0,3916.8,76.98672249952187,77.24277826072918,80.01272195546817,75.32879722825616,77.52809914815117,5
nlp-waseda/roberta-base-japanese,wikipedia,1e-05,256.0,0.2,3046.4,76.66912248358359,77.05320318497404,79.40856321088211,74.37625519472712,76.94600719686109,5
nlp-waseda/roberta-base-japanese,wikipedia,3e-05,256.0,0.0,2483.2,76.53595269384486,76.93656966294652,79.74843896087896,74.78860838366715,77.15787233583087,5
nlp-waseda/roberta-base-japanese,wikipedia,5e-05,256.0,0.0,2163.2,76.73626191939192,77.10648116758527,79.93421220359761,75.02306249851566,77.35458528989952,5
nlp-waseda/roberta-base-japanese,wikipedia,1e-05,512.0,0.4,1856.0,74.82439913534131,75.09645378844063,79.15995479373673,74.11096011570339,76.12245623262692,5
nlp-waseda/roberta-base-japanese,wikipedia,3e-05,512.0,0.0,1171.2,76.44001102166297,76.676396790913,79.74944555709696,74.58133259303837,77.00239164701611,5
nlp-waseda/roberta-base-japanese,wikipedia,5e-05,512.0,0.0,832.0,75.70809390235603,76.06109067189483,79.98027232902456,74.8277409669158,76.95636798927839,5
