model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
nlp-waseda/roberta-large-japanese,bccwj,1e-05,64.0,0.0,2611.2,82.79356035104942,82.59090079915131,81.41713231431227,76.36652555142321,80.12485288829559,5
nlp-waseda/roberta-large-japanese,bccwj,3e-05,64.0,0.0,819.2,82.76009801356626,82.5217333014137,81.20398612529466,76.05850605128617,79.92807515933151,5
nlp-waseda/roberta-large-japanese,bccwj,5e-05,64.0,0.0,972.8,83.127354615557,82.76538121589927,81.5183667370305,76.58325906842268,80.28900234045082,5
nlp-waseda/roberta-large-japanese,bccwj,1e-05,128.0,0.0,1228.8,82.92572505603547,82.6711510717674,81.60723567528342,76.50620536495299,80.26153070400127,5
nlp-waseda/roberta-large-japanese,bccwj,3e-05,128.0,0.0,460.8,82.97359558141265,82.72728784089303,81.4390919781545,76.25893337203085,80.1417710636928,5
nlp-waseda/roberta-large-japanese,bccwj,5e-05,128.0,0.0,435.2,82.6845706747911,82.45633897563872,81.34587159672353,76.17043308015451,79.99088121750557,5
nlp-waseda/roberta-large-japanese,bccwj,1e-05,256.0,0.0,563.2,83.1632656535027,82.84455887660478,81.55754257159694,76.54625310147364,80.31611818322513,5
nlp-waseda/roberta-large-japanese,bccwj,3e-05,256.0,0.0,332.8,83.01357180377413,82.70643935737314,81.42716643399802,76.53602615899077,80.22321065012065,5
nlp-waseda/roberta-large-japanese,bccwj,5e-05,256.0,0.0,294.4,83.12601674364097,82.74472516356596,81.5361079603098,76.6426537448975,80.30782895625777,5
nlp-waseda/roberta-large-japanese,bccwj,1e-05,512.0,0.0,300.8,83.24309488457065,82.84024121572392,81.4786936608111,76.48291789039844,80.2672842556445,5
nlp-waseda/roberta-large-japanese,bccwj,3e-05,512.0,0.0,185.6,83.33691141196209,82.93179444740522,81.52809578146521,76.7771512164907,80.4123471484537,5
nlp-waseda/roberta-large-japanese,bccwj,5e-05,512.0,0.0,192.0,83.1160645334256,82.71778297772184,81.43331392539616,76.72518435732508,80.29209375348103,5
nlp-waseda/roberta-large-japanese,cc100,1e-05,64.0,0.0,2099.2,81.76926368906693,81.59440329825078,81.01495726509474,75.7029504535335,79.43743700562634,5
nlp-waseda/roberta-large-japanese,cc100,3e-05,64.0,0.0,1433.6,81.5776468713868,81.45195235487076,81.00389962470457,75.80932509477996,79.42172569145177,5
nlp-waseda/roberta-large-japanese,cc100,5e-05,64.0,0.0,1331.2,82.35507474453155,81.9779972657417,81.36959513879816,76.2502033907411,79.86593193176031,5
nlp-waseda/roberta-large-japanese,cc100,1e-05,128.0,0.0,1766.4,81.79348912975705,81.60664014954213,81.16572260611706,75.81603577454152,79.52946617673356,5
nlp-waseda/roberta-large-japanese,cc100,3e-05,128.0,0.0,1561.6,82.39428121420403,82.02889711121789,81.39198365907207,76.13746216439856,79.8527809782295,5
nlp-waseda/roberta-large-japanese,cc100,5e-05,128.0,0.0,1075.2,81.74095755929858,81.41434276570892,80.99966422842314,75.9885430003615,79.4675166648312,5
nlp-waseda/roberta-large-japanese,cc100,1e-05,256.0,0.0,844.8,81.75273673241774,81.47417452887527,80.95079176980987,75.66177689726024,79.3622477319818,5
nlp-waseda/roberta-large-japanese,cc100,3e-05,256.0,0.0,409.6,82.07499191798578,81.78080907320349,81.1552364452044,76.00844278635039,79.64816276825276,5
nlp-waseda/roberta-large-japanese,cc100,5e-05,256.0,0.0,409.6,81.94551734166745,81.70066915187293,80.95574627447061,75.78617574707046,79.48086372447133,5
nlp-waseda/roberta-large-japanese,cc100,1e-05,512.0,0.0,531.2,81.70765220907849,81.44385084534024,81.01461774249267,75.73795881061874,79.3988091328172,5
nlp-waseda/roberta-large-japanese,cc100,3e-05,512.0,0.0,281.6,81.71442504041559,81.46759102680345,80.99050233673469,75.84236829801348,79.43348722051721,5
nlp-waseda/roberta-large-japanese,cc100,5e-05,512.0,0.0,300.8,81.4301677556745,81.20181903427037,81.04547588547464,75.92151123981212,79.38960205318571,5
nlp-waseda/roberta-large-japanese,wiki40b,1e-05,64.0,0.0,5478.4,82.87395713670477,82.40627742903582,81.4240643429444,76.15169108298738,79.99401095165588,5
nlp-waseda/roberta-large-japanese,wiki40b,3e-05,64.0,0.0,2201.6,82.93784059249114,82.55699443801083,81.27806979535349,76.03929402405905,79.95811941914113,5
nlp-waseda/roberta-large-japanese,wiki40b,5e-05,64.0,0.0,1382.4,82.384368243918,82.0120190677656,81.36427451069262,76.0211236705544,79.7991390830042,5
