model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
studio-ousia/mluke-large-lite,bccwj,1e-05,64.0,0.0,13875.2,80.285596566354,79.47670964389411,77.39605671243254,72.89913209382141,76.59063281671601,5
studio-ousia/mluke-large-lite,bccwj,3e-05,64.0,0.2,14438.4,80.53112507113333,79.87463056760797,77.74992152799084,73.10629339796394,76.91028183118758,5
studio-ousia/mluke-large-lite,bccwj,5e-05,64.0,0.0,9267.2,80.26386212589016,79.45021400349499,77.48149774672753,73.01656301487776,76.64942492170009,5
studio-ousia/mluke-large-lite,bccwj,1e-05,128.0,0.2,6579.2,79.57984780813585,78.52760129659556,75.54939858346228,71.3889053291595,75.15530173640579,5
studio-ousia/mluke-large-lite,bccwj,3e-05,128.0,0.4,7321.6,80.09819627378184,79.21188144513835,76.7930038745981,72.33266261490635,76.11251597821426,5
studio-ousia/mluke-large-lite,bccwj,5e-05,128.0,0.4,7270.4,79.96723774580354,79.23082582949112,76.82859870692843,72.17155873219103,76.07699442287019,5
studio-ousia/mluke-large-lite,bccwj,1e-05,256.0,0.8,3840.0,79.57293111467423,78.45669307026473,75.63054891267022,71.4237629779386,75.17033498695784,5
studio-ousia/mluke-large-lite,bccwj,3e-05,256.0,0.0,2918.4,79.38444769960968,78.37774919002916,75.5782040705644,71.21660952928379,75.05752092995911,5
studio-ousia/mluke-large-lite,bccwj,5e-05,256.0,0.4,3072.0,79.78249757094893,78.93297566905645,76.33106926951828,71.91392189662254,75.72598894506575,5
studio-ousia/mluke-large-lite,bccwj,1e-05,512.0,0.2,1881.6,78.60768952114601,77.48693173113008,74.04113823671426,70.10685958879685,73.87830985221373,5
studio-ousia/mluke-large-lite,bccwj,3e-05,512.0,0.8,1740.8,79.33438148179799,78.33218302995039,75.29858117208126,70.96440851048997,74.86505757084055,5
studio-ousia/mluke-large-lite,bccwj,5e-05,512.0,0.4,1708.8,79.29929867576358,78.42520106137754,75.75186645110685,71.33087117043046,75.16931289430494,5
studio-ousia/mluke-large-lite,cc100,1e-05,64.0,0.2,12288.0,79.24281963880696,78.29474662825237,76.39177562667587,71.88009251255126,75.52220492249316,5
studio-ousia/mluke-large-lite,cc100,3e-05,64.0,0.0,7731.2,79.72919028647816,78.71672873608125,76.87482349485909,72.32497813538336,75.97217678877456,5
studio-ousia/mluke-large-lite,cc100,5e-05,64.0,0.2,12339.2,79.54605472712,78.69622750272403,76.66279311246129,71.9023642428256,75.7537949526703,5
studio-ousia/mluke-large-lite,cc100,1e-05,128.0,0.0,4608.0,78.70923935425694,77.46322120367037,74.87974305178379,70.72929393885386,74.35741939810268,5
studio-ousia/mluke-large-lite,cc100,3e-05,128.0,0.0,3942.4,78.76617791601066,77.90508866576937,75.28215199962305,70.81910710803228,74.66878259114158,5
studio-ousia/mluke-large-lite,cc100,5e-05,128.0,0.0,6220.8,79.12318644017091,78.15193744041272,76.40467025073195,71.62318697583787,75.39326488899417,5
studio-ousia/mluke-large-lite,cc100,1e-05,256.0,0.0,1804.8,78.46778946325415,77.46091306245471,74.23992252165783,70.11651421893372,73.93911660101541,5
studio-ousia/mluke-large-lite,cc100,3e-05,256.0,0.2,1446.4,78.2513039581897,77.21440124430667,74.26324373750721,70.15443795757851,73.87736097979746,5
studio-ousia/mluke-large-lite,cc100,5e-05,256.0,0.0,3161.6,78.89357643578775,77.86808155028805,75.60065585923614,71.07240347387423,74.8470469611328,5
studio-ousia/mluke-large-lite,cc100,1e-05,512.0,0.0,512.0,78.07323552952984,76.97103444250929,73.52680242523665,69.68855985079553,73.39546557284714,5
studio-ousia/mluke-large-lite,cc100,3e-05,512.0,0.4,908.8,78.80899966671242,77.74027759997531,75.20183648308193,71.0338298883167,74.65864799045798,5
studio-ousia/mluke-large-lite,cc100,5e-05,512.0,0.0,1088.0,78.61284593129214,77.53781745567692,74.8841119642721,70.65029833408768,74.35740925134556,5
studio-ousia/mluke-large-lite,wiki40b,1e-05,64.0,0.2,14950.4,80.01088904133036,79.0939734991736,76.9611674768274,72.64482322030175,76.23332139876759,5
studio-ousia/mluke-large-lite,wiki40b,3e-05,64.0,0.4,13363.2,80.38414472757637,79.43942506051603,77.65803764031776,73.11005800607506,76.73584023563629,5
