model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
xlm-roberta-base,bccwj,1e-05,64.0,0.0,11059.2,78.84659974655867,78.64688548673622,71.4267338845116,67.3452912384914,72.4729702032464,5
xlm-roberta-base,bccwj,3e-05,64.0,0.0,8294.4,79.27268925332996,78.63063954973138,71.31482433585941,66.98441746330477,72.30996044963186,5
xlm-roberta-base,bccwj,5e-05,64.0,0.0,7936.0,78.70321430759421,78.16251408574452,69.95312397656511,65.70625721990857,71.27396509407274,5
xlm-roberta-base,bccwj,1e-05,128.0,0.4,6988.8,79.34536496299879,79.1778251158322,71.1807957228596,67.0539570176625,72.47085928545144,5
xlm-roberta-base,bccwj,3e-05,128.0,0.0,6451.2,78.7582708386934,78.38948310440807,71.82492749219969,67.28796609169623,72.50079222943467,5
xlm-roberta-base,bccwj,5e-05,128.0,0.0,1920.0,74.40936920941571,73.39946656403099,67.8826302340305,63.92478258967742,68.4022931292463,5
xlm-roberta-base,bccwj,1e-05,256.0,0.6,3980.8,78.09974612877838,78.05858138398871,69.99783375181464,66.26434231355128,71.4402524831182,5
xlm-roberta-base,bccwj,3e-05,256.0,0.0,2624.0,79.10254355454929,78.76192480548806,70.8659464404544,66.43577541057965,72.02121555217403,5
xlm-roberta-base,bccwj,5e-05,256.0,0.0,2483.2,78.88329648726929,78.31758241025082,71.16812771311598,66.43527169181186,71.97366060505956,5
xlm-roberta-base,bccwj,1e-05,512.0,0.6,1932.8,77.80955323556948,77.7427294822391,69.71857975419503,65.87301801353823,71.11144241665745,5
xlm-roberta-base,bccwj,3e-05,512.0,0.2,1619.2,78.61910606161712,78.19351464750086,71.14600226559263,66.59821958122043,71.97924549810463,5
xlm-roberta-base,bccwj,5e-05,512.0,0.2,1625.6,78.26656028550043,77.55998669076027,70.62195015142139,65.38794326972874,71.18996003730346,5
xlm-roberta-base,cc100,1e-05,64.0,0.0,12851.2,77.91289894428469,78.05327213125953,69.89457766063217,65.90160977770441,71.28315318986537,5
xlm-roberta-base,cc100,3e-05,64.0,0.0,7270.4,78.19818755514129,77.80485821966899,70.27878947386553,66.36187147164476,71.48183972172642,5
xlm-roberta-base,cc100,5e-05,64.0,0.0,6144.0,78.4073879943813,78.02159827295549,68.85771684861109,64.71679269235271,70.53203593797309,5
xlm-roberta-base,cc100,1e-05,128.0,0.6,7577.6,77.14265389087505,77.3378271603608,69.09678860284706,65.12014126745261,70.51825234355348,5
xlm-roberta-base,cc100,3e-05,128.0,0.4,7321.6,78.54865257963513,78.47395275506126,70.86745704241238,66.40096893930954,71.91412624559439,5
xlm-roberta-base,cc100,5e-05,128.0,0.0,5299.2,78.61817307231553,78.343244175478,70.58411142276006,66.06945924054324,71.66560494626043,5
xlm-roberta-base,cc100,1e-05,256.0,0.6,3942.4,74.84770884939587,75.11843212477507,68.41790686860054,64.61962283187738,69.38532060841767,5
xlm-roberta-base,cc100,3e-05,256.0,0.4,3827.2,78.20702559081198,78.286544794675,69.59085271077359,65.56820357838536,71.1485336946113,5
xlm-roberta-base,cc100,5e-05,256.0,0.0,2841.6,78.45565481216741,78.13741063841601,70.34122043531843,65.81382724865152,71.43081944079533,5
xlm-roberta-base,cc100,1e-05,512.0,0.2,1907.2,74.42228972923515,74.62772717575236,68.01332334231874,64.19149562646876,68.94418204817995,5
xlm-roberta-base,cc100,3e-05,512.0,0.4,1900.8,77.74926194448076,77.60472221260069,69.26526031012305,65.47175281786181,70.78057844686185,5
xlm-roberta-base,cc100,5e-05,512.0,0.6,1971.2,77.52138873810144,77.35665012374405,68.34505971357721,64.5564902963559,70.08606671122573,5
xlm-roberta-base,wiki40b,1e-05,64.0,0.2,13209.6,77.99843199859558,78.22455512690226,70.15575082629171,65.74898679500869,71.37643091606756,5
