model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
nlp-waseda/roberta-large-japanese,wiki40b,3e-05,64.0,0.0,2201.6,82.93784059249114,82.55699443801083,81.27806979535349,76.03929402405905,79.95811941914113,5
cl-tohoku/bert-large-japanese-v2,wiki40b,3e-05,64.0,0.0,11110.4,79.54364056426836,79.13910382976294,81.00418415270447,77.17603817609744,79.10644205285496,5
xlm-roberta-large,wiki40b,1e-05,64.0,0.0,11417.6,81.50159251778176,80.80085610613348,79.09071835511716,74.65534882773429,78.18230776299497,5
studio-ousia/luke-japanese-large-lite,wiki40b,3e-05,64.0,0.0,4659.2,79.01993483024896,78.63866352714524,79.71350899717939,75.60669688967413,77.98628980466624,5
cl-tohoku/bert-large-japanese-char-v2,wiki40b,1e-05,64.0,0.2,14080.0,79.06618995506764,78.72771321511867,79.09630983591885,75.67503159467526,77.8330182152376,5
cl-tohoku/bert-base-japanese-v3,wiki40b,5e-05,64.0,0.0,7372.8,79.16574134590171,78.4661929718187,78.70309718847219,74.82432733329547,77.33120583119545,5
studio-ousia/luke-japanese-base-lite,wiki40b,1e-05,64.0,0.0,5273.6,81.28844137503776,80.29130832694166,78.11991932293526,72.91046214324868,77.10722993104187,5
nlp-waseda/roberta-base-japanese,wiki40b,5e-05,64.0,0.0,4608.0,77.54191454224777,77.47499741992249,78.95121356386915,74.08628856859438,76.83749985079534,5
studio-ousia/mluke-large-lite,wiki40b,3e-05,64.0,0.4,13363.2,80.38414472757637,79.43942506051603,77.65803764031776,73.11005800607506,76.73584023563629,5
cl-tohoku/bert-base-japanese-v2,wiki40b,1e-05,128.0,0.2,6041.6,80.24718529754212,79.71571236902525,77.64654683258723,72.75386384851691,76.70537435004313,5
cl-tohoku/bert-base-japanese-char-v3,wiki40b,3e-05,64.0,0.2,13209.6,78.38536572757974,78.18015028263588,77.73510778032991,73.35835902189983,76.42453902828854,5
cl-tohoku/bert-large-japanese,wiki40b,5e-05,64.0,0.0,5120.0,78.53870479447757,78.29838345270842,76.73656658390773,72.87179098185022,75.96891367282214,5
cl-tohoku/bert-base-japanese-whole-word-masking,wiki40b,1e-05,64.0,0.0,11264.0,77.52135565992731,77.37191849573912,77.13635510919337,73.23380663822246,75.91402674771832,5
ku-nlp/roberta-large-japanese-char-wwm,wiki40b,3e-05,128.0,0.2,6630.4,76.88558735163615,76.88264201441088,77.52415283900584,72.92628887158328,75.777694575,5
cl-tohoku/bert-base-japanese-char-v2,wiki40b,1e-05,64.0,0.0,11827.2,79.28622668096128,79.0033730872068,75.59687413340558,71.36045585835379,75.3202343596554,5
studio-ousia/mluke-base-lite,wiki40b,5e-05,64.0,0.0,11417.6,80.38077726577487,79.83340553801045,75.31281628530074,70.79258001415522,75.31293394582215,5
ku-nlp/deberta-v2-large-japanese,wiki40b,5e-05,128.0,0.0,4300.8,74.60314220798028,74.94881554694311,77.3362503578704,73.49087157847634,75.25864582776327,5
cl-tohoku/bert-base-japanese,wiki40b,5e-05,256.0,0.0,3033.6,76.93934646495424,76.903875748805,75.92124083473784,72.29084701659028,75.03865453337771,5
ku-nlp/deberta-v2-base-japanese,wiki40b,5e-05,512.0,0.0,825.6,75.5128728606953,75.22688401576568,76.53700343114707,72.0720066340253,74.61196469364602,5
cl-tohoku/bert-base-japanese-char,wiki40b,5e-05,128.0,0.0,4531.2,77.2706419266343,76.94415175672088,73.00433899091352,69.25121379921191,73.06656818228211,5
bert-base-multilingual-cased,wiki40b,5e-05,64.0,0.0,11212.8,78.45110338348748,78.2327092011449,72.35506232837216,67.59637356285262,72.72804836412323,5
ku-nlp/roberta-base-japanese-char-wwm,wiki40b,5e-05,64.0,0.2,9164.8,72.20707132937778,72.20930702170617,74.68721774918956,69.73427552015062,72.21026676368211,5
xlm-roberta-base,wiki40b,3e-05,64.0,0.2,9523.2,78.70497000328604,78.37001383902209,71.28200164105536,66.62819344071639,72.09340297359795,5
megagonlabs/roberta-long-japanese,wiki40b,3e-05,64.0,0.0,8294.4,74.52521811456513,73.95181463511085,68.71668712218438,63.101232911419814,68.58991155623835,5
