model_name,dataset_name,lr,batch_size,best-epoch,best-step,best-dev,jsick,jsts-val,jsts-train,avg,count
nlp-waseda/roberta-large-japanese,wikipedia,5e-05,128.0,0.0,1740.8,83.22369559743449,82.68873500353916,81.31141808339804,76.33239689360434,80.11084999351385,5
cl-tohoku/bert-large-japanese-v2,wikipedia,5e-05,64.0,0.0,8448.0,79.62643039897424,79.3985324063623,80.2760725302692,77.18438854288107,78.9529978265042,5
cl-tohoku/bert-large-japanese-char-v2,wikipedia,3e-05,64.0,0.0,6400.0,80.82037081549774,80.42050863343604,79.1690841275445,75.60120054950815,78.39693110349623,5
studio-ousia/luke-japanese-large-lite,wikipedia,5e-05,64.0,0.0,6144.0,78.92897226157717,78.33755249489538,79.61369771745753,75.83394387096592,77.92839802777294,5
nlp-waseda/roberta-base-japanese,wikipedia,3e-05,64.0,0.0,7833.6,78.90576099440705,78.71218399030583,79.41332186318482,74.80796018431423,77.64448867926829,5
cl-tohoku/bert-base-japanese-v3,wikipedia,5e-05,64.0,0.0,5580.8,79.77509256716598,78.8900449261055,78.67205119118803,75.10499165665559,77.55569592464971,5
xlm-roberta-large,wikipedia,3e-05,64.0,0.0,6912.0,81.51869875193518,80.74151499539168,77.99720976125468,73.81646873453181,77.51839783039273,5
studio-ousia/mluke-large-lite,wikipedia,5e-05,64.0,0.0,14336.0,80.69741274227025,80.1472428231377,78.19259385545311,73.8433638349793,77.39440017119004,5
studio-ousia/luke-japanese-base-lite,wikipedia,1e-05,128.0,0.0,2739.2,81.18541659827589,80.13920416473785,78.39588186352121,73.035213429887,77.19009981938203,5
cl-tohoku/bert-large-japanese,wikipedia,5e-05,128.0,0.0,1638.4,79.00750960974011,78.72260396466466,78.15099913411848,74.43769839696601,77.10376716524972,5
cl-tohoku/bert-base-japanese-v2,wikipedia,1e-05,128.0,0.2,5452.8,80.5092508225641,79.75526633094401,77.77504284155555,73.07007525348101,76.86679480866017,5
cl-tohoku/bert-base-japanese-char-v3,wikipedia,5e-05,128.0,0.2,6579.2,77.980974347533,77.93399550435343,77.7782362545255,73.23550757187198,76.3159131102503,5
cl-tohoku/bert-base-japanese-char-v2,wikipedia,3e-05,128.0,0.0,4428.8,79.81232996812349,79.45030960132326,76.01513918124205,71.70606076011481,75.7238365142267,5
cl-tohoku/bert-base-japanese,wikipedia,5e-05,256.0,0.0,2035.2,77.55477407822293,77.40534071913972,76.42284910160528,72.98510880798582,75.60443287624359,5
ku-nlp/roberta-large-japanese-char-wwm,wikipedia,5e-05,64.0,0.2,9318.4,78.21927659094204,78.1640658259732,76.63735540889665,71.94170845285012,75.58104322924,5
ku-nlp/deberta-v2-large-japanese,wikipedia,5e-05,128.0,0.0,3865.6,74.61640937778782,75.0890552077838,77.324587337917,73.84637913454316,75.42000722674798,5
cl-tohoku/bert-base-japanese-whole-word-masking,wikipedia,3e-05,64.0,0.0,5529.6,77.70193897796167,77.23255826034635,76.12851539515347,72.53353879870649,75.29820415140212,5
ku-nlp/deberta-v2-base-japanese,wikipedia,3e-05,256.0,0.0,2137.6,76.0214993602769,75.69443415855423,76.70586079050848,72.1932372760129,74.86451074169187,5
studio-ousia/mluke-base-lite,wikipedia,5e-05,64.0,0.0,9932.8,80.3703008709246,79.59788258163917,74.63341345955551,70.30679219677077,74.84602941265516,5
cl-tohoku/bert-base-japanese-char,wikipedia,3e-05,128.0,0.0,5145.6,78.12979820156156,77.66431641480123,73.54054187993242,69.52365806717252,73.57617212063539,5
ku-nlp/roberta-base-japanese-char-wwm,wikipedia,3e-05,64.0,0.0,11008.0,74.01270781214383,73.70514502238213,75.16888403122677,70.58246396474783,73.15216433945224,5
bert-base-multilingual-cased,wikipedia,3e-05,64.0,0.0,11315.2,78.80776746419212,78.5665664886599,72.08835945926415,67.30221663749705,72.65238086180703,5
xlm-roberta-base,wikipedia,3e-05,64.0,0.0,8601.6,78.48821497593413,78.15541742108321,70.64285251056795,66.16258973404493,71.65361988856536,5
megagonlabs/roberta-long-japanese,wikipedia,5e-05,128.0,0.0,6067.2,74.60456493439838,74.13819318135491,68.87198269998814,63.18656696845659,68.73224761659988,5
